file,name,value
paula/tree/Alexis/ogr040.Alexis.anno_feat.xml,text,Alexis
paula/tree/Alexis/ogr040.Alexis.anno_feat.xml,lang,fro
paula/tree/Alexis/ogr040.Alexis.anno_feat.xml,lang_other,---
paula/tree/Alexis/ogr040.Alexis.anno_feat.xml,ms_cent,12
paula/tree/Alexis/ogr040.Alexis.anno_feat.xml,ms_origin,England
paula/tree/Alexis/ogr040.Alexis.anno_feat.xml,text_cent,11
paula/tree/Alexis/ogr040.Alexis.anno_feat.xml,text_origin,Normandy
paula/tree/Alexis/ogr040.Alexis.anno_feat.xml,title_en,Life of Saint Alexis
paula/tree/Alexis/ogr040.Alexis.anno_feat.xml,title_fr,Vie de saint Alexis
paula/tree/Alexis/ogr040.Alexis.anno_feat.xml,author,anonymous
paula/tree/Alexis/ogr040.Alexis.anno_feat.xml,ms,"Hildesheim, Sankt Godehardi"
paula/tree/Alexis/ogr040.Alexis.anno_feat.xml,form,verse
paula/tree/Alexis/ogr040.Alexis.anno_feat.xml,source,ms. image
paula/tree/Boeci/ogr040.Boeci.anno_feat.xml,text,Boeci
paula/tree/Boeci/ogr040.Boeci.anno_feat.xml,lang,pro
paula/tree/Boeci/ogr040.Boeci.anno_feat.xml,lang_other,---
paula/tree/Boeci/ogr040.Boeci.anno_feat.xml,ms_cent,11..12
paula/tree/Boeci/ogr040.Boeci.anno_feat.xml,ms_origin,Burgundy
paula/tree/Boeci/ogr040.Boeci.anno_feat.xml,text_cent,11
paula/tree/Boeci/ogr040.Boeci.anno_feat.xml,text_origin,Limousin
paula/tree/Boeci/ogr040.Boeci.anno_feat.xml,title_en,Boeci fragment
paula/tree/Boeci/ogr040.Boeci.anno_feat.xml,title_fr,Fragment d'une paraphrase de Boèce
paula/tree/Boeci/ogr040.Boeci.anno_feat.xml,author,anonymous
paula/tree/Boeci/ogr040.Boeci.anno_feat.xml,ms,"Orleans, Bibliothèque municipale, 444"
paula/tree/Boeci/ogr040.Boeci.anno_feat.xml,form,verse
paula/tree/Boeci/ogr040.Boeci.anno_feat.xml,source,ms. image
paula/tree/Eulalie/ogr040.Eulalie.anno_feat.xml,text,Eulalie
paula/tree/Eulalie/ogr040.Eulalie.anno_feat.xml,lang,fro
paula/tree/Eulalie/ogr040.Eulalie.anno_feat.xml,lang_other,---
paula/tree/Eulalie/ogr040.Eulalie.anno_feat.xml,ms_cent,9
paula/tree/Eulalie/ogr040.Eulalie.anno_feat.xml,ms_origin,Hainaut
paula/tree/Eulalie/ogr040.Eulalie.anno_feat.xml,text_cent,9
paula/tree/Eulalie/ogr040.Eulalie.anno_feat.xml,text_origin,Hainaut
paula/tree/Eulalie/ogr040.Eulalie.anno_feat.xml,title_en,Sequence of Saint Eulalia
paula/tree/Eulalie/ogr040.Eulalie.anno_feat.xml,title_fr,Séquence de sainte Eulalie
paula/tree/Eulalie/ogr040.Eulalie.anno_feat.xml,author,anonymous
