line_id,line_no,stwd,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,el1,el2,el3,el4,el5,el6,el7,el8,el9,el10,el11,el12,el13,el14,el15,el16,el17,el18,el19,el20,correct,count,length,ending,cespos,cestype,opt_rules
1,---,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,--,10,,--,"el_d = ""R1,R2,R3,R7,R8,R10,R21a,R21b,R20"" applied = """" result = ""short,cesura"" counted sylls = """"",--
2,1,2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,True,15,15,m,8,lyric,--
3,2,9,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,,,,,,,,,,,,,,,,,,,,,,,,,,True,15,15,m,8,lyric,--
4,3,16,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,,,,,,,,,,,,,,,,,,,,,,,,,,True,15,15,m,8,lyric,--
5,4,21,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,,,,,,,,,,,,,,,,,,,,,,,,,False,16,15,,--,"el_d = ""R1,R2,R3,R7,R8,R10,R21a,R21b,R20"" applied = """" result = ""long"" counted sylls = ""45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60""",--
6,5,28,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,,,,,,,,,,,,,,,,,,,,,,,,,,True,15,15,m,8,lyric,--
7,6,36,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,,,,,,,,,,,,,,,,,,,,,,,,,,True,15,15,m,8,lyric,--
8,7,44,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,,,,,,,,,,,,,,,,,,,,,,,,,,True,15,15,m,8,lyric,--
9,8,51,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,,,,,,,,,,,,,,,,,,,,,,,,,,True,15,15,m,8,lyric,--
10,9,58,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,,,,,,,,,,,,,,,,,,,,,,,,,,True,15,15,m,8,lyric,--
11,10,64,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,,,,,,,,,,,,,,,,,,,,,,,,,,True,15,15,m,8,lyric,--
12,---,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,--,10,,--,"el_d = ""R1,R2,R3,R7,R8,R10,R21a,R21b,R20"" applied = """" result = ""short,cesura"" counted sylls = """"",--
13,11,71,151,152,153,154,156,157,158,159,160,161,,,,,,,,,,,,,,,155,,,,,,,,,,,,,,,,True,10,10,m,4,epic,--
14,12,77,162,163,164,165,166,167,168,169,170,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,10,10,m,4,normal,--
15,13,82,172,173,174,175,176,177,178,179,180,181,182,183,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,13,15,,--,"el_d = ""R1,R2,R3,R7,R8,R10,R21a,R21b,R20"" applied = """" result = ""short"" counted sylls = ""172,173,174,175,176,177,178,179,180,181,182,183,184""",--
16,14,89,185,186,187,188,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,5,10,,--,"el_d = ""R1,R2,R3,R7,R8,R10,R21a,R21b,R20"" applied = """" result = ""short,cesura"" counted sylls = ""185,186,187,188,189""",--
17,15,93,190,191,192,193,194,195,196,197,198,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,10,10,m,4,normal,--
18,16,99,200,201,202,203,205,206,207,208,209,210,,,,,,,,,,,,,,,204,,,,,,,,,,,,,,,,True,10,10,m,4,epic,--
19,17,106,211,212,213,214,216,217,218,219,220,221,,,,,,,,,,,,,,,215,,,,,,,,,,,,,,,,True,10,10,m,4,epic,--
20,18,113,222,223,224,225,226,227,228,229,230,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,10,10,m,4,normal,--
21,19,119,232,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,2,10,,--,"el_d = ""R1,R2,R3,R7,R8,R10,R21a,R21b,R20"" applied = """" result = ""short,cesura"" counted sylls = ""232,233""",--
22,20,120,234,235,236,237,238,239,240,241,242,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,10,10,m,4,normal,--
23,21,126,244,245,246,247,248,249,250,251,252,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,10,10,m,4,normal,--
24,22,133,254,255,256,257,258,259,260,261,262,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,10,10,m,4,normal,--
25,23,138,264,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,2,10,,--,"el_d = ""R1,R2,R3,R7,R8,R10,R21a,R21b,R20"" applied = """" result = ""short,cesura"" counted sylls = ""264,265""",--
26,24,139,266,267,268,269,270,271,272,273,274,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,10,10,m,4,normal,--
27,25,146,276,277,278,279,280,281,282,283,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,9,10,,--,"el_d = ""R1,R2,R3,R7,R8,R10,R21a,R21b,R20"" applied = """" result = ""short,cesura"" counted sylls = ""276,277,278,279,280,281,282,283,284""",--
28,26,151,285,286,287,288,289,290,291,292,293,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,10,10,m,4,normal,--
29,27,157,295,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,2,10,,--,"el_d = ""R1,R2,R3,R7,R8,R10,R21a,R21b,R20"" applied = """" result = ""short,cesura"" counted sylls = ""295,296""",--
30,---,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,--,10,,--,"el_d = ""R1,R2,R3,R7,R8,R10,R21a,R21b,R20"" applied = """" result = ""short,cesura"" counted sylls = """"",--
