syll.ix,line_id,value,form,elidable,mergeable,mergeable2,stress,lstress,has_onset,has_enclitic,is_final,is_monosyllable,is_syncopated,wd_id,all_wd_ids,in_word,in_line,metpos,onset,rhyme,onset_written,rhyme_written,words,cat
0,1,,Q/V\,n,n,n,y,y,y,,n,n,n,1,1,--,1,0111-,,,,,phebi,sy
1,1,,Q/V\,n,n,n,n,n,y,,y,n,n,1,1,--,2,0210-,,,,,phebi,sy
2,1,,QL/V\,n,n,n,y,y,y,,n,n,n,2,2,--,3,0309-,,,,,claro,sy
3,1,,R/V\,n,n,n,n,n,y,,y,n,n,2,2,--,4,0408c,,,,,claro,sy
4,1,,N/V\N,n,n,n,y,y,y,,n,n,n,3,3,--,5,0507-,,,,,nondum,sy
5,1,,Q/V\N,n,n,n,n,n,y,,y,n,n,3,3,--,6,0606-,,,,,nondum,sy
6,1,,/V\R,n,n,n,y,y,n,,n,n,n,4,4,--,7,0705-,,,,,orto,sy
7,1,,Q/V\,n,n,n,n,n,y,,y,n,n,4,4,--,8,0804-,,,,,orto,sy
8,1,,R/V\,n,n,n,n,n,y,,n,n,n,5,5,--,9,0903-,,,,,iubare,sy
9,1,,Q/V\,n,n,n,y,y,y,,n,n,n,5,5,--,10,1002-,,,,,iubare,sy
10,1,,R/V\,n,n,n,y,y,y,,y,n,n,5,5,--,11,1101r,,,,,iubare,sy
11,2,,Q/V\RQ,n,n,n,n,y,y,,n,y,n,6,6,--,1,0111-,,,,,fert,sy
12,2,,/V\,n,n,n,n,n,n,,n,n,n,7,7,--,2,0210-,,,,,aurora,sy
13,2,,R/V\,n,n,n,y,y,y,,n,n,n,7,7,--,3,0309-,,,,,aurora,sy
14,2,,R/V\,n,n,n,n,n,y,,y,n,n,7,7,--,4,0408c,,,,,aurora,sy
15,2,,L/V\,n,n,n,y,y,y,,n,n,n,8,8,--,5,0507-,,,,,lumen,sy
16,2,,N/V\N,n,n,n,n,n,y,,y,n,n,8,8,--,6,0606-,,,,,lumen,sy
17,2,,Q/V\R,n,n,n,y,y,y,,n,n,n,9,9,--,7,0705-,,,,,terris,sy
18,2,,R/V\Q,n,n,n,n,n,y,,y,n,n,9,9,--,8,0804-,,,,,terris,sy
19,2,,Q/V\,n,n,n,y,y,y,,n,n,n,10,10,--,9,0903-,,,,,tenue,sy
20,2,,N/V\,n,n,n,n,n,y,,n,n,n,10,10,--,10,1002-,,,,,tenue,sy
21,2,,/V\,n,n,n,y,y,n,,y,n,n,10,10,--,11,1101r,,,,,tenue,sy
22,3,,QQ/V\,n,n,n,n,n,y,,n,n,n,11,11,--,1,0111-,,,,,spiculator,sy
23,3,,Q/V\,n,n,n,n,n,y,,n,n,n,11,11,--,2,0210-,,,,,spiculator,sy
24,3,,L/V\,n,n,n,y,y,y,,n,n,n,11,11,--,3,0309-,,,,,spiculator,sy
25,3,,Q/V\R,n,n,n,n,n,y,,y,n,n,11,11,--,4,0408c,,,,,spiculator,sy
26,3,,Q/V\,n,n,n,y,y,y,,n,n,n,12,12,--,5,0507-,,,,,pigris,sy
27,3,,QR/V\Q,n,n,n,n,n,y,,y,n,n,12,12,--,6,0606-,,,,,pigris,sy
28,3,,QL/V\,n,n,n,y,y,y,,n,n,n,13,13,--,7,0705-,,,,,clamat,sy
29,3,,N/V\Q,n,n,n,n,n,y,,y,n,n,13,13,--,8,0804-,,,,,clamat,sy
30,3,,Q/V\R,n,n,n,y,y,y,,n,n,n,14,14,--,9,0903-,,,,,surgite,sy
31,3,,Q/V\,n,n,n,n,n,y,,n,n,n,14,14,--,10,1002-,,,,,surgite,sy
32,3,,Q/V\,n,n,n,y,y,y,,y,n,n,14,14,--,11,1101r,,,,,surgite,sy
33,4,,L/A\L,n,n,n,y,y,y,,n,n,n,16,"15, 16",--,1,0109-,,,,,l alba,sy
34,4,,b/A\,y,n,n,n,n,y,,y,n,n,16,16,--,2,0208-,,,,,alba,sy
35,4,,p/A\rT,n,n,n,n,y,y,,n,y,n,17,17,--,3,0307-,,,,,part,sy
36,4,,/y\,n,n,n,y,y,n,,n,n,n,18,18,--,4,0406-,,,,,umet,sy
37,4,,m/E\T,n,n,n,n,n,y,,y,n,n,18,18,--,5,0505-,,,,,umet,sy
38,4,,m/A\r,n,n,n,n,y,y,,n,y,n,19,19,--,6,0604-,,,,,mar,sy
39,4,,/A\,n,n,n,y,y,n,,n,n,n,20,20,--,7,0703-,,,,,atra,sy
40,4,,tr/A\,y,n,n,n,n,y,,y,n,n,20,20,--,8,0802-,,,,,atra,sy
41,4,,S/o\l,n,n,n,n,y,y,,n,y,n,21,21,--,9,0901r,,,,,sol,sy
42,5,,p/ɔ\i,n,n,n,n,y,y,True,n,y,n,22,"22, 23",--,1,0110-,,,,,po y,sy
43,5,,p/A\,n,n,n,y,y,y,,n,n,n,24,24,--,2,0209-,,,,,pasa,sy
44,5,,z/A\,y,n,n,n,n,y,,y,n,n,24,24,--,3,0308-,,,,,pasa,sy
45,5,,b/i\,n,n,n,y,y,y,,n,n,n,25,25,--,4,0407-,,,,,bigil,sy
46,5,,ʤ/i\l,n,n,n,n,n,y,,y,n,n,25,25,--,5,0506-,,,,,bigil,sy
47,5,,m/i\,n,n,n,y,y,y,,n,n,n,26,26,--,6,0605-,,,,,mira,sy
48,5,,r/A\,y,n,n,n,n,y,,y,n,n,26,26,--,7,0704-,,,,,mira,sy
49,5,,kL/A\r,n,n,n,n,y,y,,n,y,n,27,27,--,8,0803-,,,,,clar,sy
50,5,,t/E\,n,n,n,n,n,y,,n,n,n,28,28,--,9,0902-,,,,,tenebras,sy
51,5,,n/ɛ\,n,n,n,y,y,y,,n,n,n,28,28,--,10,1001r,,,,,tenebras,sy
52,5,,br/A\S,n,n,n,n,n,y,,y,n,n,28,28,--,el,----r,,,,,tenebras,el
53,6,,/V\N,n,n,n,n,y,n,,n,y,n,29,29,--,1,0111-,,,,,en,sy
54,6,,/V\N,n,n,n,n,n,n,,n,n,n,30,30,--,2,0210-,,,,,incautos,sy
55,6,,Q/V\,n,n,n,y,y,y,,n,n,n,30,30,--,3,0309-,,,,,incautos,sy
56,6,,Q/V\Q,n,n,n,n,n,y,,y,n,n,30,30,--,4,0408c,,,,,incautos,sy
57,6,,/V\Q,n,n,n,y,y,n,,n,n,n,31,31,--,5,0507-,,,,,ostium,sy
58,6,,Q/V\,n,n,n,n,n,y,,n,n,n,31,31,--,6,0606-,,,,,ostium,sy
59,6,,/V\N,n,n,n,n,n,n,,y,n,n,31,31,--,7,0705-,,,,,ostium,sy
60,6,,/V\N,n,n,n,n,n,n,,n,n,n,32,32,--,8,0804-,,,,,insidie,sy
61,6,,Q/V\,n,n,n,y,y,y,,n,n,n,32,32,--,9,0903-,,,,,insidie,sy
62,6,,Q/V\,n,n,n,n,n,y,,n,n,n,32,32,--,10,1002-,,,,,insidie,sy
63,6,,/V\,n,n,n,y,y,n,,y,n,n,32,32,--,11,1101r,,,,,insidie,sy
