syll.ix,line_id,value,form,elidable,mergeable,mergeable2,stress,lstress,has_onset,has_enclitic,is_final,is_monosyllable,is_syncopated,wd_id,all_wd_ids,in_word,in_line,metpos,onset,rhyme,onset_written,rhyme_written,words,cat
0,1,,d/i\T,n,n,n,n,y,y,,n,y,n,1,1,--,1,0108-,,,,,dit,sy
1,1,,S/A\,n,n,n,n,n,y,,n,n,n,2,2,--,2,0207-,,,,,salomon,sy
2,1,,l/o\,n,n,n,n,n,y,,n,n,n,2,2,--,3,0306-,,,,,salomon,sy
3,1,,m/O\n,n,n,n,y,y,y,,y,n,n,2,2,--,4,0405-,,,,,salomon,sy
4,1,,/A\L,n,n,n,n,y,n,True,n,y,n,3,"3, 4",--,5,0504-,,,,,a l,sy
5,1,,pr/i\,n,n,n,n,n,y,,n,n,n,5,5,--,6,0603-,,,,,primyer,sy
6,1,,m/iE\r,n,n,n,y,y,y,,y,n,n,5,5,--,7,0702-,,,,,primyer,sy
7,1,,p/A\S,n,n,n,n,y,y,,n,y,n,6,6,--,8,0801r,,,,,pas,sy
8,2,,d/i\T,n,n,n,n,y,y,,n,y,n,7,7,--,1,0108-,,,,,dit,sy
9,2,,S/A\,n,n,n,n,n,y,,n,n,n,8,8,--,2,0207-,,,,,salomon,sy
10,2,,l/o\,n,n,n,n,n,y,,n,n,n,8,8,--,3,0306-,,,,,salomon,sy
11,2,,m/O\n,n,n,n,y,y,y,,y,n,n,8,8,--,4,0405-,,,,,salomon,sy
12,2,,/A\L,n,n,n,n,y,n,True,n,y,n,9,"9, 10",--,5,0504-,,,,,a l,sy
13,2,,pr/i\,n,n,n,n,n,y,,n,n,n,11,11,--,6,0603-,,,,,primier,sy
14,2,,m/iE\r,n,n,n,y,y,y,,y,n,n,11,11,--,7,0702-,,,,,primier,sy
15,2,,p/A\S,n,n,n,n,y,y,,n,y,n,12,12,--,8,0801r,,,,,pas,sy
16,3,,k/A\NT,n,n,n,n,y,y,,n,y,n,13,13,--,1,0108-,,,,,quant,sy
17,3,,d/E\,y,n,n,n,y,y,,n,y,n,14,14,--,2,0207-,,,,,de,sy
18,3,,S/O\n,n,n,n,n,y,y,,n,y,n,15,15,--,3,0306-,,,,,son,sy
19,3,,L/i\,n,n,n,y,y,y,,n,n,n,16,16,--,4,0405-,,,,,libre,sy
20,3,,br/E\,y,n,n,n,n,y,,y,n,n,16,16,--,5,0504-,,,,,libre,sy
21,3,,m/o\T,n,n,n,n,y,y,,n,y,n,17,17,--,6,0603-,,,,,mot,sy
22,3,,L/o\,y,n,n,n,y,y,,n,y,n,18,18,--,7,0702-,,,,,lo,sy
23,3,,kL/A\S,n,n,n,n,y,y,,n,y,n,19,19,--,8,0801r,,,,,clas,sy
