syll.ix,line_id,value,form,elidable,mergeable,mergeable2,stress,lstress,has_onset,has_enclitic,is_final,is_monosyllable,is_syncopated,wd_id,all_wd_ids,in_word,in_line,metpos,onset,rhyme,onset_written,rhyme_written,words,cat
0,1,,k/A\NT,n,n,n,n,y,y,,n,y,n,1,1,--,1,0110-,,,,,quant,sy
1,1,,L/i\,n,n,n,n,y,y,,n,y,n,2,2,--,2,0209-,,,,,li,sy
2,1,,S/o\,n,n,n,n,n,y,,n,n,n,3,3,--,3,0308-,,,,,solleiz,sy
3,1,,l/E\iÇ,n,n,n,y,y,y,,y,n,n,3,3,--,4,0407c,,,,,solleiz,sy
4,1,,k/O\N,n,n,n,n,n,y,,n,n,n,4,4,--,5,0506-,,,,,converset,sy
5,1,,v/ɛ\r,n,n,n,y,y,y,,n,n,n,4,4,--,6,0605-,,,,,converset,sy
6,1,,S/V\,n,n,n,n,n,y,,y,n,n,4,4,--,7,0704-,,,,,converset,sy
7,1,,/E\n,n,n,n,n,y,n,,n,y,n,5,5,--,8,0803-,,,,,en,sy
8,1,,L/E\,n,n,n,n,n,y,,n,n,n,6,6,--,9,0902-,,,,,leon,sy
9,1,,/O\n,n,n,n,y,y,n,,y,n,n,6,6,--,10,1001r,,,,,leon,sy
10,2,,/E\n,n,n,n,n,y,n,,n,y,n,7,7,--,1,0110-,,,,,en,sy
11,2,,/i\,n,n,n,n,n,n,,n,n,n,8,8,--,2,0209-,,,,,icel,sy
12,2,,ʦ/e\l,n,n,n,y,y,y,,y,n,n,8,8,--,3,0308-,,,,,icel,sy
13,2,,t/E\NS,n,n,n,n,y,y,,n,y,n,9,9,--,4,0407c,,,,,tens,sy
14,2,,k/ɛ\ST,n,n,n,n,y,y,,n,y,n,11,"10, 11",--,5,0506-,,,,,qu est,sy
15,2,,/ɔ\r,n,n,n,n,n,n,,n,n,n,12,12,--,6,0605-,,,,,ortus,sy
16,2,,t/y\S,n,n,n,y,y,y,,y,n,n,12,12,--,7,0704-,,,,,ortus,sy
17,2,,pL/i\,n,n,n,n,n,y,,n,n,n,13,13,--,8,0803-,,,,,pliadon,sy
18,2,,/A\,n,n,n,n,n,n,,n,n,n,13,13,--,9,0902-,,,,,pliadon,sy
19,2,,d/O\n,n,n,n,y,y,y,,y,n,n,13,13,--,10,1001r,,,,,pliadon,sy
20,3,,p/E\r,n,n,n,n,y,y,,n,y,n,14,14,--,1,0104-,,,,,per,sy
21,3,,/y\N,n,n,n,n,y,n,,n,y,n,15,15,--,2,0203-,,,,,unt,sy
22,3,,m/A\,n,n,n,n,n,y,,n,n,n,16,16,--,3,0302-,,,,,matin,sy
23,3,,t/i\n,n,n,n,y,y,y,,y,n,n,16,16,--,4,0401r,,,,,matin,sy
24,4,,/y\,n,n,n,y,y,n,,n,n,n,17,17,--,1,0110-,,,,,une,sy
25,4,,n/V\,y,n,n,n,n,y,,y,n,n,17,17,--,2,0209-,,,,,une,sy
26,4,,p/y\L,n,n,n,n,n,y,,n,n,n,18,18,--,3,0308-,,,,,pulcellet,sy
27,4,,Ç/ɛ\,n,n,n,y,y,y,,n,n,n,18,18,--,4,0407c,,,,,pulcellet,sy
28,4,,l/V\,y,n,n,n,n,y,,y,n,n,18,18,--,el,----c,,,,,pulcellet,el
29,4,,/ɔ\,n,n,n,n,n,n,,n,n,n,19,19,--,5,0506-,,,,,odit,sy
30,4,,ð/i\,n,n,n,y,y,y,,y,n,n,19,19,--,6,0605-,,,,,odit,sy
31,4,,m/o\LT,n,n,n,n,y,y,,n,y,n,20,20,--,7,0704-,,,,,molt,sy
32,4,,ʤ/E\NT,n,n,n,n,y,y,,n,y,n,21,21,--,8,0803-,,,,,gent,sy
33,4,,pL/o\,n,n,n,n,n,y,,n,n,n,22,22,--,9,0902-,,,,,plorer,sy
34,4,,r/æ\r,n,n,n,y,y,y,,y,n,n,22,22,--,10,1001r,,,,,plorer,sy
35,5,,/e\,n,n,n,n,y,n,,n,y,n,23,23,--,1,0110-,,,,,et,sy
36,5,,S/O\n,n,n,n,n,y,y,,n,y,n,24,24,--,2,0209-,,,,,son,sy
37,5,,/A\,n,n,n,n,n,n,,n,n,n,25,25,--,3,0308-,,,,,ami,sy
38,5,,m/i\,n,n,n,y,y,y,,y,n,n,25,25,--,4,0407c,,,,,ami,sy
39,5,,d/o\L,n,n,n,n,n,y,,n,n,n,26,26,--,5,0506-,,,,,dolcement,sy
40,5,,Ç/E\,n,n,n,n,n,y,,n,n,n,26,26,--,6,0605-,,,,,dolcement,sy
41,5,,m/E\NT,n,n,n,y,y,y,,y,n,n,26,26,--,7,0704-,,,,,dolcement,sy
42,5,,r/E\,n,n,n,n,n,y,,n,n,n,27,27,--,8,0803-,,,,,regreter,sy
43,5,,gr/E\,n,n,n,n,n,y,,n,n,n,27,27,--,9,0902-,,,,,regreter,sy
44,5,,t/æ\r,n,n,n,y,y,y,,y,n,n,27,27,--,10,1001r,,,,,regreter,sy
45,6,,/e\,n,n,n,n,y,n,,n,y,n,28,28,--,1,0104-,,,,,et,sy
46,6,,ʤ/ɔ\,n,n,n,n,y,y,,n,y,n,29,29,--,2,0203-,,,,,jo,sy
47,6,,L/i\,n,n,n,n,y,y,,n,y,n,30,30,--,3,0302-,,,,,lli,sy
48,6,,d/i\S,n,n,n,n,y,y,,n,y,n,31,31,--,4,0401r,,,,,dis,sy
49,7,,ʤ/E\N,n,n,n,n,n,y,,n,n,n,32,32,--,1,0110-,,,,,gentilz,sy
50,7,,t/i\LS,n,n,n,y,y,y,,y,n,n,32,32,--,2,0209-,,,,,gentilz,sy
51,7,,p/y\,n,n,n,n,n,y,,n,n,n,33,33,--,3,0308-,,,,,pucellet,sy
52,7,,ʦ/ɛ\,n,n,n,y,y,y,,n,n,n,33,33,--,4,0407c,,,,,pucellet,sy
53,7,,l/V\,y,n,n,n,n,y,,y,n,n,33,33,--,el,----c,,,,,pucellet,el
54,7,,m/o\LT,n,n,n,n,y,y,,n,y,n,34,34,--,5,0506-,,,,,molt,sy
55,7,,t/A\i,n,n,n,n,y,y,,n,y,n,36,"35, 36",--,6,0605-,,,,,t ai,sy
56,7,,/ɔ\,n,n,n,n,n,n,,n,n,n,37,37,--,7,0704-,,,,,odit,sy
57,7,,ð/i\,n,n,n,y,y,y,,y,n,n,37,37,--,8,0803-,,,,,odit,sy
58,7,,pL/o\,n,n,n,n,n,y,,n,n,n,38,38,--,9,0902-,,,,,plorer,sy
59,7,,r/æ\r,n,n,n,y,y,y,,y,n,n,38,38,--,10,1001r,,,,,plorer,sy
60,8,,/e\,n,n,n,n,y,n,,n,y,n,39,39,--,1,0110-,,,,,e,sy
61,8,,t/O\m,n,n,n,n,y,y,,n,y,n,40,40,--,2,0209-,,,,,tum,sy
62,8,,/A\,n,n,n,n,n,n,,n,n,n,41,41,--,3,0308-,,,,,ami,sy
63,8,,m/i\,n,n,n,y,y,y,,y,n,n,41,41,--,4,0407c,,,,,ami,sy
64,8,,d/o\L,n,n,n,n,n,y,,n,n,n,42,42,--,5,0506-,,,,,dolcement,sy
65,8,,Ç/E\,n,n,n,n,n,y,,n,n,n,42,42,--,6,0605-,,,,,dolcement,sy
66,8,,m/E\NT,n,n,n,y,y,y,,y,n,n,42,42,--,7,0704-,,,,,dolcement,sy
67,8,,r/E\,n,n,n,n,n,y,,n,n,n,43,43,--,8,0803-,,,,,regreter,sy
68,8,,gr/E\,n,n,n,n,n,y,,n,n,n,43,43,--,9,0902-,,,,,regreter,sy
69,8,,t/æ\r,n,n,n,y,y,y,,y,n,n,43,43,--,10,1001r,,,,,regreter,sy
70,9,,/e\,n,n,n,n,y,n,,n,y,n,44,44,--,1,0105-,,,,,et,sy
71,9,,k/i\,n,n,n,n,y,y,,n,y,n,45,45,--,2,0204-,,,,,chi,sy
72,9,,/ɛ\ST,n,n,n,n,y,n,,n,y,n,46,46,--,3,0303-,,,,,est,sy
73,9,,/i\,n,n,n,n,n,n,,n,n,n,47,47,--,4,0402-,,,,,illi,sy
74,9,,l/i\,n,n,n,y,y,y,,y,n,n,47,47,--,5,0501r,,,,,illi,sy
75,10,,f/y\,n,n,n,n,y,y,,n,y,n,49,49,--,1,0103-,,,,,fud,sy
76,10,,d/E\,y,n,n,n,y,y,,n,y,n,50,50,--,2,0202-,,,,,de,sy
77,10,,b/O\n,n,n,n,n,y,y,,n,y,n,51,51,--,3,0301r,,,,,bon,sy
78,11,,S/i\,n,n,n,n,y,y,,n,y,n,53,53,--,1,0101r,,,,,si,sy
79,12,,S/o\,n,n,n,n,y,y,,n,y,n,57,57,--,1,0104-,,,,,so,sy
80,12,,S/O\n,n,n,n,n,y,y,,n,y,n,58,58,--,2,0203-,,,,,son,sy
81,12,,/A\,n,n,n,n,n,n,,n,n,n,59,59,--,3,0302-,,,,,ami,sy
82,12,,m/i\,n,n,n,y,y,y,,y,n,n,59,59,--,4,0401r,,,,,ami,sy
83,13,,L/i\,n,n,n,n,y,y,,n,y,n,60,60,--,1,0110-,,,,,li,sy
84,13,,m/iE\NS,n,n,n,n,y,y,,n,y,n,61,61,--,2,0209-,,,,,miens,sy
85,13,,/A\,n,n,n,n,n,n,,n,n,n,62,62,--,3,0308-,,,,,amis,sy
86,13,,m/i\S,n,n,n,y,y,y,,y,n,n,62,62,--,4,0407c,,,,,amis,sy
87,13,,/i\l,n,n,n,n,y,n,,n,y,n,63,63,--,5,0506-,,,,,il,sy
88,13,,/ɛ\ST,n,n,n,n,y,n,,n,y,n,64,64,--,6,0605-,,,,,est,sy
89,13,,d/E\,y,n,n,n,y,y,,n,y,n,65,65,--,7,0704-,,,,,de,sy
90,13,,t/æ\l,n,n,n,n,y,y,,n,y,n,66,66,--,8,0803-,,,,,tel,sy
91,13,,p/A\,n,n,n,n,n,y,,n,n,n,67,67,--,9,0902-,,,,,paraget,sy
92,13,,r/a\,n,n,n,y,y,y,,n,n,n,67,67,--,10,1001r,,,,,paraget,sy
93,13,,ʤ/V\,y,n,n,n,n,y,,y,n,n,67,67,--,el,----r,,,,,paraget,el
94,14,,k/E\,y,n,n,n,y,y,,n,y,n,68,68,--,1,0110-,,,,,que,sy
95,14,,n/E\,n,n,n,n,n,y,,n,n,n,69,69,--,2,0209-,,,,,neuls,sy
96,14,,/y\LS,n,n,n,y,y,n,,y,n,n,69,69,--,3,0308-,,,,,neuls,sy
97,14,,/O\n,n,n,n,n,y,n,,n,y,n,70,70,--,4,0407c,,,,,on,sy
98,14,,n/E\n,n,n,n,n,y,y,,n,y,n,72,"71, 72",--,5,0506-,,,,,n en,sy
99,14,,S/E\iT,n,n,n,n,y,y,,n,y,n,73,73,--,6,0605-,,,,,seit,sy
100,14,,k/O\N,n,n,n,n,n,y,,n,n,n,74,74,--,7,0704-,,,,,conter,sy
101,14,,t/æ\r,n,n,n,y,y,y,,y,n,n,74,74,--,8,0803-,,,,,conter,sy
102,14,,L/i\,n,n,n,n,n,y,,n,n,n,75,75,--,9,0902-,,,,,lignaget,sy
103,14,,ɲ/a\,n,n,n,y,y,y,,n,n,n,75,75,--,10,1001r,,,,,lignaget,sy
104,14,,ʤ/V\,y,n,n,n,n,y,,y,n,n,75,75,--,el,----r,,,,,lignaget,el
105,15,,d/E\,y,n,n,n,y,y,,n,y,n,76,76,--,1,0104-,,,,,de,sy
106,15,,L/y\,n,n,n,y,y,y,,n,n,n,78,"77, 78",--,2,0203-,,,,,l une,sy
107,15,,n/V\,y,n,n,n,n,y,,y,n,n,78,78,--,3,0302-,,,,,une,sy
108,15,,p/a\rT,n,n,n,n,y,y,,n,y,n,79,79,--,4,0401r,,,,,part,sy
109,16,,/i\l,n,n,n,n,y,n,,n,y,n,80,80,--,1,0110-,,,,,il,sy
110,16,,/ɛ\ST,n,n,n,n,y,n,,n,y,n,81,81,--,2,0209-,,,,,est,sy
111,16,,pL/y\S,n,n,n,n,y,y,,n,y,n,82,82,--,3,0308-,,,,,plus,sy
112,16,,ʤ/E\NS,n,n,n,n,y,y,,n,y,n,83,83,--,4,0407c,,,,,gensz,sy
113,16,,k/E\,y,n,n,n,y,y,,n,y,n,84,84,--,5,0506-,,,,,que,sy
114,16,,S/o\,n,n,n,n,n,y,,n,n,n,85,85,--,6,0605-,,,,,solleiz,sy
115,16,,l/E\iÇ,n,n,n,y,y,y,,y,n,n,85,85,--,7,0704-,,,,,solleiz,sy
116,16,,/E\n,n,n,n,n,y,n,,n,y,n,86,86,--,8,0803-,,,,,enn,sy
117,16,,/E\S,n,n,n,n,n,n,,n,n,n,87,87,--,9,0902-,,,,,ested,sy
118,16,,t/æ\,n,n,n,y,y,y,,y,n,n,87,87,--,10,1001r,,,,,ested,sy
119,17,,v/ɛ\rS,n,n,n,n,y,y,,n,y,n,88,88,--,1,0110-,,,,,vers,sy
120,17,,L/y\i,n,n,n,n,y,y,,n,y,n,89,89,--,2,0209-,,,,,lui,sy
121,17,,n/E\,y,n,n,n,y,y,,n,y,n,90,90,--,3,0308-,,,,,ne,sy
122,17,,p/uE\T,n,n,n,n,y,y,,n,y,n,91,91,--,4,0407c,,,,,pued,sy
