syll.ix,line_id,value,form,elidable,mergeable,mergeable2,stress,lstress,has_onset,has_enclitic,is_final,is_monosyllable,is_syncopated,wd_id,all_wd_ids,in_word,in_line,metpos,onset,rhyme,onset_written,rhyme_written,words,cat
0,2,,p/o\r,n,n,n,n,y,y,,n,y,n,4,4,--,1,0110-,,,,,por,sy
1,2,,/A\,n,n,n,n,n,n,,n,n,n,5,5,--,2,0209-,,,,,amor,sy
2,2,,m/o\r,n,n,n,y,y,y,,y,n,n,5,5,--,3,0308-,,,,,amor,sy
3,2,,d/æ\,n,n,n,n,y,y,,n,y,n,6,6,--,4,0407c,,,,,de,sy
4,2,,v/o\S,n,n,n,n,y,y,,n,y,n,7,7,--,5,0506-,,,,,vos,sy
5,2,,pr/i\,n,n,n,n,y,y,,n,y,n,8,8,--,6,0605-,,,,,pri,sy
6,2,,S/Æ\,n,n,n,n,n,y,,n,n,n,9,9,--,7,0704-,,,,,saignos,sy
7,2,,ɲ/o\S,n,n,n,y,y,y,,y,n,n,9,9,--,8,0803-,,,,,saignos,sy
8,2,,b/A\,n,n,n,n,n,y,,n,n,n,10,10,--,9,0902-,,,,,barun,sy
9,2,,r/O\n,n,n,n,y,y,y,,y,n,n,10,10,--,10,1001r,,,,,barun,sy
10,3,,S/E\,n,n,n,n,n,y,,n,n,n,11,11,--,1,0110-,,,,,seet,sy
11,3,,/ɛ\T,n,n,n,y,y,n,,y,n,n,11,11,--,2,0209-,,,,,seet,sy
12,3,,v/o\S,n,n,n,n,y,y,,n,y,n,12,12,--,3,0308-,,,,,vos,sy
13,3,,t/y\iT,n,n,n,n,y,y,,n,y,n,13,13,--,4,0407c,,,,,tuit,sy
14,3,,/E\S,n,n,n,n,n,n,,n,n,n,14,14,--,5,0506-,,,,,escotet,sy
15,3,,k/o\,n,n,n,n,n,y,,n,n,n,14,14,--,6,0605-,,,,,escotet,sy
16,3,,t/ɛ\T,n,n,n,y,y,y,,y,n,n,14,14,--,7,0704-,,,,,escotet,sy
17,3,,L/A\,y,n,n,n,y,y,,n,y,n,15,15,--,8,0803-,,,,,la,sy
18,3,,L/E\,n,n,n,n,n,y,,n,n,n,16,16,--,9,0902-,,,,,lecun,sy
19,3,,ʦ/O\n,n,n,n,y,y,y,,y,n,n,16,16,--,10,1001r,,,,,lecun,sy
20,4,,d/E\,y,n,n,n,y,y,,n,y,n,17,17,--,1,0110-,,,,,de,sy
21,4,,S/Æ\iNT,n,n,n,n,y,y,,n,y,n,18,18,--,2,0209-,,,,,saint,sy
22,4,,/E\S,n,n,n,n,n,n,,n,n,n,19,19,--,3,0308-,,,,,estevre,sy
23,4,,t/ɛ\,n,n,n,y,y,y,,n,n,n,19,19,--,4,0407c,,,,,estevre,sy
24,4,,vr/V\,y,n,n,n,n,y,,y,n,n,19,19,--,el,----c,,,,,estevre,el
25,4,,L/o\,y,n,n,n,y,y,,n,y,n,20,20,--,5,0506-,,,,,lo,sy
26,4,,gl/o\,n,n,n,n,n,y,,n,n,n,21,21,--,6,0605-,,,,,glorius,sy
27,4,,r/i\,n,n,n,n,n,y,,n,n,n,21,21,--,7,0704-,,,,,glorius,sy
28,4,,/o\S,n,n,n,y,y,n,,y,n,n,21,21,--,8,0803-,,,,,glorius,sy
29,4,,b/A\,n,n,n,n,n,y,,n,n,n,22,22,--,9,0902-,,,,,barun,sy
30,4,,r/O\n,n,n,n,y,y,y,,y,n,n,22,22,--,10,1001r,,,,,barun,sy
31,5,,/E\S,n,n,n,n,n,n,,n,n,n,23,23,--,1,0111-,,,,,escotet,sy
32,5,,k/o\,n,n,n,n,n,y,,n,n,n,23,23,--,2,0210-,,,,,escotet,sy
33,5,,t/ɛ\T,n,n,n,y,y,y,,y,n,n,23,23,--,3,0309-,,,,,escotet,sy
34,5,,L/A\,y,n,n,n,y,y,,n,y,n,24,24,--,4,0408-,,,,,la,sy
35,5,,p/A\r,n,n,n,n,y,y,,n,y,n,25,25,--,5,0507-,,,,,par,sy
36,5,,b/E\,n,n,n,n,n,y,,n,n,n,26,26,--,6,0606-,,,,,bennen,sy
37,5,,n/Æ\n,n,n,n,y,y,y,,y,n,n,26,26,--,7,0705-,,,,,bennen,sy
38,5,,/Æ\N,n,n,n,n,n,n,,n,n,n,27,27,--,8,0804-,,,,,entenciun,sy
39,5,,t/Æ\N,n,n,n,n,n,y,,n,n,n,27,27,--,9,0903-,,,,,entenciun,sy
40,5,,ʦ/i\,n,n,n,n,n,y,,n,n,n,27,27,--,10,1002-,,,,,entenciun,sy
41,5,,/O\n,n,n,n,y,y,n,,y,n,n,27,27,--,11,1101r,,,,,entenciun,sy
42,6,,k/i\,n,n,n,n,y,y,,n,y,n,28,28,--,1,0110-,,,,,qui,sy
43,6,,/A\,n,n,n,n,y,n,,n,y,n,29,29,--,2,0209-,,,,,a,sy
44,6,,Ç/E\,n,n,n,n,y,y,,n,y,n,30,30,--,3,0308-,,,,,ce,sy
45,6,,ʤ/o\r,n,n,n,n,y,y,,n,y,n,31,31,--,4,0407c,,,,,jor,sy
46,6,,r/E\,n,n,n,n,n,y,,n,n,n,32,32,--,5,0506-,,,,,recut,sy
47,6,,ʦ/y\ð,n,n,n,y,y,y,,y,n,n,32,32,--,6,0605-,,,,,recut,sy
48,6,,S/A\,y,n,n,n,y,y,,n,y,n,33,33,--,7,0704-,,,,,sa,sy
49,6,,p/A\,n,n,n,n,n,y,,n,n,n,34,34,--,8,0803-,,,,,pasiun,sy
50,6,,s/i\,n,n,n,n,n,y,,n,n,n,34,34,--,9,0902-,,,,,pasiun,sy
51,6,,/O\n,n,n,n,y,y,n,,y,n,n,34,34,--,10,1001r,,,,,pasiun,sy
52,8,,S/Æ\iNT,n,n,n,n,y,y,,n,y,n,39,39,--,1,0110-,,,,,seint,sy
53,8,,/E\S,n,n,n,n,n,n,,n,n,n,40,40,--,2,0209-,,,,,estevres,sy
54,8,,t/ɛ\,n,n,n,y,y,y,,n,n,n,40,40,--,3,0308-,,,,,estevres,sy
55,8,,vr/V\S,n,n,n,n,n,y,,y,n,n,40,40,--,4,0407-,,,,,estevres,sy
56,8,,f/y\ð,n,n,n,n,y,y,,n,y,n,41,41,--,5,0506-,,,,,fut,sy
57,8,,pL/Æ\iNS,n,n,n,n,y,y,,n,y,n,42,42,--,6,0605-,,,,,plains,sy
58,8,,d/E\,y,n,n,n,y,y,,n,y,n,43,43,--,7,0704-,,,,,de,sy
59,8,,gr/Æ\NT,n,n,n,n,y,y,,n,y,n,44,44,--,8,0803-,,,,,grant,sy
60,8,,b/O\N,n,n,n,n,n,y,,n,n,n,45,45,--,9,0902-,,,,,bonte,sy
61,8,,t/æ\,n,n,n,y,y,y,,y,n,n,45,45,--,10,1001r,,,,,bonte,sy
62,9,,/A\,n,n,n,n,n,n,,n,n,n,46,46,--,1,0109-,,,,,ama,sy
63,9,,m/a\,n,n,n,y,y,y,,y,n,n,46,46,--,2,0208-,,,,,ama,sy
64,9,,t/o\T,n,n,n,n,y,y,,n,y,n,47,47,--,3,0307-,,,,,tot,sy
65,9,,Ç/e\LS,n,n,n,n,y,y,,n,y,n,48,48,--,4,0406-,,,,,cels,sy
66,9,,k/i\,n,n,n,n,y,y,,n,y,n,49,49,--,5,0505-,,,,,qui,sy
67,9,,kr/Æ\i,n,n,n,y,y,y,,n,n,n,50,50,--,6,0604-,,,,,creinent,sy
68,9,,n/V\NT,n,n,n,n,n,y,,y,n,n,50,50,--,7,0703-,,,,,creinent,sy
69,9,,/Æ\n,n,n,n,n,y,n,,n,y,n,51,51,--,8,0802-,,,,,en,sy
70,9,,d/æ\,n,n,n,n,y,y,,n,y,n,52,52,--,9,0901r,,,,,de,sy
71,10,,f/E\,n,n,n,n,n,y,,n,n,n,53,53,--,1,0110-,,,,,feseit,sy
72,10,,z/E\iT,n,n,n,y,y,y,,y,n,n,53,53,--,2,0209-,,,,,feseit,sy
73,10,,m/i\,n,n,n,n,n,y,,n,n,n,54,54,--,3,0308-,,,,,miracles,sy
74,10,,r/a\,n,n,n,y,y,y,,n,n,n,54,54,--,4,0407c,,,,,miracles,sy
75,10,,kL/V\S,n,n,n,n,n,y,,y,n,n,54,54,--,el,----c,,,,,miracles,el
76,10,,/o\,n,n,n,n,y,n,,n,y,n,55,55,--,5,0506-,,,,,o,sy
77,10,,n/O\n,n,n,n,n,y,y,,n,y,n,56,56,--,6,0605-,,,,,non,sy
78,10,,d/E\,y,n,n,n,y,y,,n,y,n,57,57,--,7,0704-,,,,,de,sy
79,10,,d/Æ\,n,n,n,n,n,y,,n,n,n,58,58,--,8,0803-,,,,,demmede,sy
80,10,,m/E\,n,n,n,n,n,y,,n,n,n,58,58,--,9,0902-,,,,,demmede,sy
81,10,,d/æ\,n,n,n,y,y,y,,y,n,n,58,58,--,10,1001r,,,,,demmede,sy
82,11,,/A\S,n,n,n,n,y,n,True,n,y,n,59,"59, 60",--,1,0112-,,,,,a s,sy
83,11,,k/O\N,n,n,n,n,n,y,,n,n,n,61,61,--,2,0211-,,,,,cuntrat,sy
84,11,,tr/a\T,n,n,n,y,y,y,,y,n,n,61,61,--,3,0310-,,,,,cuntrat,sy
85,11,,/e\,n,n,n,n,y,n,,n,y,n,62,62,--,4,0409-,,,,,et,sy
86,11,,/A\S,n,n,n,n,y,n,True,n,y,n,63,"63, 64",--,5,0508-,,,,,a s,sy
87,11,,Ç/ɛ\S,n,n,n,n,y,y,,n,y,n,65,65,--,6,0607-,,,,,ces,sy
88,11,,/A\,n,n,n,n,y,n,,n,y,n,66,66,--,7,0706-,,,,,a,sy
89,11,,t/o\T,n,n,n,n,y,y,,n,y,n,67,67,--,8,0805-,,,,,tot,sy
90,11,,d/O\,n,n,n,n,n,y,,n,n,n,68,68,--,9,0904-,,,,,dona,sy
91,11,,n/a\,n,n,n,y,y,y,,y,n,n,68,68,--,10,1003-,,,,,dona,sy
92,11,,S/Æ\N,n,n,n,n,n,y,,n,n,n,69,69,--,11,1102-,,,,,sante,sy
93,11,,t/æ\,n,n,n,y,y,y,,y,n,n,69,69,--,12,1201r,,,,,sante,sy
94,12,,p/o\r,n,n,n,n,y,y,,n,y,n,70,70,--,1,0109-,,,,,por,sy
95,12,,Ç/E\,n,n,n,n,y,y,,n,y,n,71,71,--,2,0208-,,,,,ce,sy
96,12,,h/A\i,n,n,n,n,n,y,,n,n,n,72,72,--,3,0307-,,,,,haierent,sy
97,12,,/æ\,n,n,n,y,y,n,,n,n,n,72,72,--,4,0406-,,,,,haierent,sy
98,12,,r/V\NT,n,n,n,n,n,y,,y,n,n,72,72,--,el,-----,,,,,haierent,el
99,12,,/A\u,n,n,n,n,n,n,,n,n,n,73,73,--,5,0505-,,,,,autens,sy
100,12,,t/Æ\NS,n,n,n,y,y,y,,y,n,n,73,73,--,6,0604-,,,,,autens,sy
101,12,,L/i\,n,n,n,n,y,y,,n,y,n,74,74,--,7,0703-,,,,,li,sy
102,12,,ʤ/y\,n,n,n,n,n,y,,n,n,n,75,75,--,8,0802-,,,,,jue,sy
103,12,,/æ\,n,n,n,y,y,n,,y,n,n,75,75,--,9,0901r,,,,,jue,sy
104,14,,/Æ\N,n,n,n,n,n,n,,n,n,n,77,77,--,1,0110-,,,,,encontre,sy
105,14,,k/O\N,n,n,n,y,y,y,,n,n,n,77,77,--,2,0209-,,,,,encontre,sy
106,14,,tr/V\,y,n,n,n,n,y,,y,n,n,77,77,--,3,0308-,,,,,encontre,sy
107,14,,L/y\i,n,n,n,n,y,y,,n,y,n,78,78,--,4,0407c,,,,,lui,sy
108,14,,S/E\S,n,n,n,n,y,y,True,n,y,n,79,"79, 80",--,5,0506-,,,,,se s,sy
109,14,,dr/E\,n,n,n,n,n,y,,n,n,n,81,81,--,6,0605-,,,,,drecerent,sy
110,14,,ʦ/æ\,n,n,n,y,y,y,,n,n,n,81,81,--,7,0704-,,,,,drecerent,sy
111,14,,r/V\NT,n,n,n,n,n,y,,y,n,n,81,81,--,8,0803-,,,,,drecerent,sy
112,14,,tr/E\S,n,n,n,n,n,y,,n,n,n,82,82,--,9,0902-,,,,,trestuit,sy
