syll.ix,line_id,value,form,elidable,mergeable,mergeable2,stress,lstress,has_onset,has_enclitic,is_final,is_monosyllable,is_syncopated,wd_id,all_wd_ids,in_word,in_line,metpos,onset,rhyme,onset_written,rhyme_written,words,cat
0,2,,/V\,n,n,n,y,y,n,,n,n,n,2,2,--,1,0115-,,,,,adest,sy
1,2,,Q/V\QQ,n,n,n,n,n,y,,y,n,n,2,2,--,2,0214-,,,,,adest,sy
2,2,,QQ/V\N,n,n,n,y,y,y,,n,n,n,3,3,--,3,0313-,,,,,sponsus,sy
3,2,,Q/V\Q,n,n,n,n,n,y,,y,n,n,3,3,--,4,0412-,,,,,sponsus,sy
4,2,,QR/V\,n,n,n,n,y,y,,n,y,n,4,4,--,5,0511-,,,,,qui,sy
5,2,,/V\QQ,n,n,n,n,y,n,,n,y,n,5,5,--,6,0610-,,,,,est,sy
6,2,,QR/V\Q,n,n,n,y,y,y,,n,n,n,6,6,--,7,0709-,,,,,christus,sy
7,2,,Q/V\Q,n,n,n,n,n,y,,y,n,n,6,6,--,8,0808c,,,,,christus,sy
8,2,,Q/V\,n,n,n,n,n,y,,n,n,n,7,7,--,9,0907-,,,,,vigilate,sy
9,2,,Q/V\,n,n,n,n,n,y,,n,n,n,7,7,--,10,1006-,,,,,vigilate,sy
10,2,,L/V\,n,n,n,y,y,y,,n,n,n,7,7,--,11,1105-,,,,,vigilate,sy
11,2,,Q/V\,n,n,n,n,n,y,,y,n,n,7,7,--,12,1204-,,,,,vigilate,sy
12,2,,Q/V\R,n,n,n,y,y,y,,n,n,n,8,8,--,13,1303-,,,,,virgines,sy
13,2,,Q/V\,n,n,n,n,n,y,,n,n,n,8,8,--,14,1402-,,,,,virgines,sy
14,2,,N/V\Q,n,n,n,y,y,y,,y,n,n,8,8,--,15,1501r,,,,,virgines,sy
15,3,,QR/V\,n,n,n,n,y,y,,n,y,n,9,9,--,1,0115-,,,,,pro,sy
16,3,,/V\Q,n,n,n,n,n,n,,n,n,n,10,10,--,2,0214-,,,,,adventu,sy
17,3,,Q/V\N,n,n,n,y,y,y,,n,n,n,10,10,--,3,0313-,,,,,adventu,sy
18,3,,Q/V\,n,n,n,n,n,y,,y,n,n,10,10,--,4,0412-,,,,,adventu,sy
19,3,,Q/V\,n,n,n,y,y,y,,n,n,n,11,11,--,5,0511-,,,,,cuius,sy
20,3,,R/V\Q,n,n,n,n,n,y,,y,n,n,11,11,--,6,0610-,,,,,cuius,sy
21,3,,Q/V\,n,n,n,y,y,y,,n,n,n,12,12,--,7,0709-,,,,,gaudent,sy
22,3,,Q/V\NQ,n,n,n,n,n,y,,y,n,n,12,12,--,8,0808c,,,,,gaudent,sy
23,3,,/V\Q,n,n,n,n,y,n,,n,y,n,13,13,--,9,0907-,,,,,et,sy
24,3,,Q/V\,n,n,n,n,n,y,,n,n,n,14,14,--,10,1006-,,,,,gaudebunt,sy
25,3,,Q/V\,n,n,n,y,y,y,,n,n,n,14,14,--,11,1105-,,,,,gaudebunt,sy
26,3,,Q/V\NQ,n,n,n,n,n,y,,y,n,n,14,14,--,12,1204-,,,,,gaudebunt,sy
27,3,,Q/V\,n,n,n,y,y,y,,n,n,n,15,15,--,13,1303-,,,,,homines,sy
28,3,,N/V\,n,n,n,n,n,y,,n,n,n,15,15,--,14,1402-,,,,,homines,sy
29,3,,N/V\Q,n,n,n,y,y,y,,y,n,n,15,15,--,15,1501r,,,,,homines,sy
30,4,,Q/V\,n,n,n,y,y,y,,n,n,n,16,16,--,1,0115-,,,,,venit,sy
31,4,,N/V\Q,n,n,n,n,n,y,,y,n,n,16,16,--,2,0214-,,,,,venit,sy
32,4,,/V\,n,n,n,y,y,n,,n,n,n,17,17,--,3,0313-,,,,,enim,sy
33,4,,N/V\N,n,n,n,n,n,y,,y,n,n,17,17,--,4,0412-,,,,,enim,sy
34,4,,L/V\,n,n,n,n,n,y,,n,n,n,18,18,--,5,0511-,,,,,liberare,sy
35,4,,Q/V\,n,n,n,n,n,y,,n,n,n,18,18,--,6,0610-,,,,,liberare,sy
36,4,,R/V\,n,n,n,y,y,y,,n,n,n,18,18,--,7,0709-,,,,,liberare,sy
