wd_id,line_id,line_wd,textlineid,ref,dipl,word,wd_div,phon,phon_map,syllabified,lang,pos,morph,lemma,lemma_src,lemma_dmf,phil_note,tei_right,tei_left
1,1,1,1,"Alba, l. 1",Phebi,phebi,_,QVQV,ph.e.b.i,'Q/V\.Q/V\,lat,ETR,---,---,---,---,,,<text><body><pb n=&quot;50v&quot;/><lb/><lg type=&quot;stanza&quot; n=&quot;1&quot;><l xml:lang=&quot;lat&quot; n=&quot;1&quot;>
2,1,2,1,"Alba, l. 1",claro,claro,_,QLVRV,c.l.a.r.o,'QL/V\.R/V\,lat,ETR,---,---,---,---,,,
3,1,3,1,"Alba, l. 1",nondum,nondum,_,NVNQVN,n.o.n.d.u.m,'N/V\N.Q/V\N,lat,ETR,---,---,---,---,,,
4,1,4,1,"Alba, l. 1",orto,orto,_,VRQV,o.r.t.o,'/V\R.Q/V\,lat,ETR,---,---,---,---,,,
5,1,5,1,"Alba, l. 1",iubare,iubare,;,RVQVRV,i.u.b.a.r.e,R/V\.'Q/V\.'R/V\,lat,ETR,---,---,---,---,,</l>,
6,2,1,2,"Alba, l. 2",Fert,fert,_,QVRQ,f.e.r.t,Q/V\RQ,lat,ETR,---,---,---,---,,,<l xml:lang=&quot;lat&quot; n=&quot;2&quot;>
7,2,2,2,"Alba, l. 2",aurora,aurora,_,VRVRV,au.r.o.r.a,/V\.'R/V\.R/V\,lat,ETR,---,---,---,---,,,
8,2,3,2,"Alba, l. 2",lumen,lumen,+,LVNVN,l.u.m.e.n,'L/V\.N/V\N,lat,ETR,---,---,---,---,,,
9,2,4,2,"Alba, l. 2",terris,terris,_,QVRRVQ,t.e.r.r.i.s,'Q/V\R.R/V\Q,lat,ETR,---,---,---,---,,,
10,2,5,2,"Alba, l. 2",tenue,tenue,|,QVNVV,t.e.n.u.e,'Q/V\.N/V\.'/V\,lat,ETR,---,---,---,---,,</l>,
11,3,1,3,"Alba, l. 3",Spiculator,spiculator,_,QQVQVLVQVR,s.p.i.c.u.l.a.t.o.r,QQ/V\.Q/V\.'L/V\.Q/V\R,lat,ETR,---,---,---,---,,,<lb/><l xml:lang=&quot;lat&quot; n=&quot;3&quot;>
12,3,2,3,"Alba, l. 3",pigris,pigris,_,QVQRVQ,p.i.g.r.i.s,'Q/V\.QR/V\Q,lat,ETR,---,---,---,---,,,
13,3,3,3,"Alba, l. 3",clamat,clamat,_,QLVNVQ,c.l.a.m.a.t,'QL/V\.N/V\Q,lat,ETR,---,---,---,---,,,
14,3,4,3,"Alba, l. 3",surgite,surgite,;,QVRQVQV,s.u.r.g.i.t.e,'Q/V\R.Q/V\.'Q/V\,lat,ETR,---,---,---,---,,</l>,
15,4,1,4,"Alba, l. 4",L,l,+,L,l,L/\,pro,DETdef,sfn,la,DOM,le,,,<l xml:lang=&quot;pro&quot; n=&quot;4&quot;>
16,4,2,4,"Alba, l. 4",alba,alba,_,ALbA,a.l.b.a,'/A\L.b/(A)\,pro,NOMcom,sfn,alba,DOM,aube,,,
17,4,3,4,"Alba, l. 4",par[=part],part,_,pArT,p.a.r.t,p/A\rT,pro,VERcjg,indpst3,partir,DOM,partir,,,
18,4,4,4,"Alba, l. 4",um_[et],umet,+,ymeT,u.m.e.t,'/y\.m/E\T,pro,ADJqua,smr,umezit,DOM,humide,,,
19,4,5,4,"Alba, l. 4",mar,mar,_,mAr,m.a.r,m/A\r,pro,NOMcom,smr,mar,DOM,mer,,,
20,4,6,4,"Alba, l. 4",atra,atra,_,AtrA,a.t.r.a,'/A\.tr/(A)\,pro,VERcjg,indpst3,atraire,DOM,attraire,,,
21,4,7,4,"Alba, l. 4",sol,sol,|,Sol,s.o.l,S/o\l,pro,NOMcom,smr,sól,DOM,---,,</l>,
22,5,1,5,"Alba, l. 5",Po,po,+,pɔ,p.o,p/ɔ\,pro,ADVgen,---,pòis,DOM,puis,,,<lb/><l xml:lang=&quot;pro&quot; n=&quot;5&quot;>
23,5,2,5,"Alba, l. 5",ẏ,y,_,i,y,/\i,pro,PRCadv,---,i,DOM,y2,,,
24,5,3,5,"Alba, l. 5",pas_a,pasa,+,pAzA,p.a.s.a,'p/A\.z/(A)\,pro,VERcjg,indpst3,pasar,DOM,passer,,,
25,5,4,5,"Alba, l. 5",bigil,bigil,_,biʤil,b.i.g.i.l,'b/i\.ʤ/i\l,pro,NOMcom,smn,vigil,wiktionary,---,,,
26,5,5,5,"Alba, l. 5",mira,mira,+,mirA,m.i.r.a,'m/i\.r/(A)\,pro,VERcjg,indpst3,mirar,DOM,mirer,,,
27,5,6,5,"Alba, l. 5",clar,clar,_,kLAr,c.l.a.r,kL/A\r,pro,ADVgen,---,clar,DOM,clair,,,
28,5,7,5,"Alba, l. 5",tenebras,tenebras,;,tEnɛbrAS,t.e.n.e.b.r.a.s,t/E\.'n/ɛ\.br/A\S,pro,NOMcom,pfr,tenèbra,DOM,ténèbres,,</l></lg>,
29,6,1,6,"Alba, l. 6",En,en,_,VN,e.n,/V\N,lat,ETR,---,---,---,---,,,<lg type=&quot;stanza&quot; n=&quot;2&quot;><l xml:lang=&quot;lat&quot; n=&quot;6&quot;>
30,6,2,6,"Alba, l. 6",incautos,incautos,_,VNQVQVQ,i.n.c.au.t.o.s,/V\N.'Q/V\.Q/V\Q,lat,ETR,---,---,---,---,,,
31,6,3,6,"Alba, l. 6",ostium,ostium,_,VQQVVN,o.s.t.i.u.m,'/V\Q.Q/V\./V\N,lat,ETR,---,---,---,---,,,
32,6,4,6,"Alba, l. 6",insidie,insidie,|,VNQVQVV,i.n.s.i.d.i.e,/V\N.'Q/V\.Q/V\.'/V\,lat,ETR,---,---,---,---,,</l>,
33,7,1,7,"Alba, l. 7",Torpentesq[ue],torpentesque,_,QVRQVNQVQQRV,t.o.r.p.e.n.t.e.s.q.u.e,Q/V\R.'Q/V\N.Q/V\Q.QR/V\,lat,ETR,---,---,---,---,,,<lb/><l xml:lang=&quot;lat&quot; n=&quot;7&quot;>
34,7,2,7,"Alba, l. 7",gliscunt,gliscunt,_,QLVQQVNQ,g.l.i.s.c.u.n.t,'QL/V\Q.Q/V\NQ,lat,ETR,---,---,---,---,,,
35,7,3,7,"Alba, l. 7",interficere,interficere,;,VNQVRQVQVRV,i.n.t.e.r.f.i.c.e.r.e,/V\N.Q/V\R.'Q/V\.Q/V\.'R/V\,lat,ETR,---,---,---,---,,</l>,
36,8,1,8,"Alba, l. 8",Quos,quos,_,QRVQ,q.u.o.s,QR/V\Q,lat,ETR,---,---,---,---,,,<l xml:lang=&quot;lat&quot; n=&quot;8&quot;>
37,8,2,8,"Alba, l. 8",suad[et],suadet,_,QVVQVQ,s.u.a.d.e.t,'QV/V\.Q/V\Q,lat,ETR,---,---,---,---,,,
38,8,3,8,"Alba, l. 8",preco,preco,_,QRVQV,p.r.e.c.o,'QR/V\.Q/V\,lat,ETR,---,---,---,---,,,
39,8,4,8,"Alba, l. 8",clamat,clamat,_,QLVNVQ,c.l.a.m.a.t,'QL/V\.N/V\Q,lat,ETR,---,---,---,---,,,
40,8,5,8,"Alba, l. 8",surgere,surgere,|,QVRQVRV,s.u.r.g.e.r.e,'Q/V\R.Q/V\.'R/V\,lat,ETR,---,---,---,---,,</l>,
