wd_id,line_id,line_wd,textlineid,ref,dipl,word,phon,phon_map,syllabified,wd_div,lang,pos,morph,lemma,lemma_src,lemma_dmf,phil_note,tei_right,tei_left
1,1,1,---,"AlexAlb, l. 1 (f. 115r)",Dit,dit,diT,d.i.t,d/i\T,_,fro,VERcjg,indpst3,dire,DMF,dire,,,<text><body xml:lang=&quot;fro&quot;><pb  n=&quot;115r&quot;/><cb n=&quot;b&quot;/><lg><l n=&quot;1 (f. 115r)&quot;>
2,1,2,---,"AlexAlb, l. 1 (f. 115r)",salomon,salomon,SAlomOn,s.a.l.o.m.o.n,S/A\.l/o\.'m/O\n,_,fro,NOMpro,smn,Salomon,DMF,Salomon,,,
3,1,3,---,"AlexAlb, l. 1 (f. 115r)",a,a,A,a,/A\,+,fro,PRE,---,à,DMF,à,,,
4,1,4,---,"AlexAlb, l. 1 (f. 115r)",l,l,l,l,/\L,_,fro,DETdef,smr,le,DMF,le,,,
5,1,5,---,"AlexAlb, l. 1 (f. 115r)",primyer,primyer,primiEr,p.r.i.m.y.e.r,pr/i\.'m/iE\r,_,fro,ADJord,smr,premier,DMF,premier,,,
6,1,6,---,"AlexAlb, l. 1 (f. 115r)",pas,pas,pAS,p.a.s,p/A\S,.|,fro,NOMcom,smr,pas2,DMF,pas2,,</l></lg>,
7,2,1,1,"AlexAlb, l. 1 (f. 115v)",Dit,dit,diT,d.i.t,d/i\T,_,fro,VERcjg,indpst3,dire,DMF,dire,,,<pb n=&quot;115v&quot;/><cb n=&quot;a&quot;/><lg n=&quot;1&quot; type=&quot;laisse&quot; met=&quot;octosyllable&quot;><l n=&quot;1 (f. 115v)&quot;>
8,2,2,1,"AlexAlb, l. 1 (f. 115v)",salomon,salomon,SAlomOn,s.a.l.o.m.o.n,S/A\.l/o\.'m/O\n,_,fro,NOMpro,smn,Salomon,DMF,Salomon,,,
9,2,3,1,"AlexAlb, l. 1 (f. 115v)",a,a,A,a,/A\,+,fro,PRE,---,à,DMF,à,,,
10,2,4,1,"AlexAlb, l. 1 (f. 115v)",l,l,l,l,/\L,_,fro,DETdef,smr,le,DMF,le,,,
11,2,5,1,"AlexAlb, l. 1 (f. 115v)",primier,primier,primiEr,p.r.i.m.i.e.r,pr/i\.'m/iE\r,_,fro,ADJord,smr,premier,DMF,premier,,,
12,2,6,1,"AlexAlb, l. 1 (f. 115v)",pas,pas,pAS,p.a.s,p/A\S,.|,fro,NOMcom,smr,pas2,DMF,pas2,,</l>,
13,3,1,2,"AlexAlb, l. 2",quant,quant,kANT,qu.a.n.t,k/A\NT,_,fro,CONsub,---,quand,DMF,quand,,,<l n=&quot;2&quot;>
14,3,2,2,"AlexAlb, l. 2",de,de,dE,d.e,d/(E)\,+,fro,PRE,---,de,DMF,de,,,
15,3,3,2,"AlexAlb, l. 2",son,son,SOn,s.o.n,S/O\n,+,fro,DETpos,3smr,son4,DMF,son4,,,
16,3,4,2,"AlexAlb, l. 2",libre,libre,LibrE,l.i.b.r.e,'L/i\.br/(E)\,_,fro,NOMcom,smr,livre,DMF,livre,,,
17,3,5,2,"AlexAlb, l. 2",mot,mot,moT,m.o.t,m/o\T,|,fro,VERcjg,indpst3,mouvoir,DMF,mouvoir,morph_AlexAlbZ:414,,
18,3,6,2,"AlexAlb, l. 2",lo,lo,Lo,l.o,L/(o)\,+,fro,DETdef,smr,le,DMF,le,,,
19,3,7,2,"AlexAlb, l. 2",clas,clas,kLAS,c.l.a.s,kL/A\S,.,fro,NOMcom,smr,clas,DMF,clas,lemma_MölkHoltus1999:605,</l>,
20,4,1,3,"AlexAlb, l. 3",est,est,VQQ,e.s.t,/V\QQ,_,lat,---,---,---,---,---,,,<l xml:lang=&quot;lat&quot; n=&quot;3&quot;><q>
21,4,2,3,"AlexAlb, l. 3",uanitatu[m],vanitatum,QVNVQVQVN,v.a.n.i.t.a.t.u.m,Q/V\.N/V\.'Q/V\.Q/V\N,+,lat,---,---,---,---,---,,,
22,4,3,3,"AlexAlb, l. 3",uanitas,vanitas,QVNVQVQ,v.a.n.i.t.a.s,Q/V\.N/V\.'Q/V\Q,.|,lat,---,---,---,---,---,,</q></l>,
23,5,1,4,"AlexAlb, l. 4",[et],et,VQ,e.t,/V\Q,_,lat,---,---,---,---,---,,,<l xml:lang=&quot;lat&quot; n=&quot;4&quot;><q>
24,5,2,4,"AlexAlb, l. 4",uniuersa,universa,VNVQVRQV,u.n.i.v.e.r.s.a,/V\.N/V\.'Q/V\R.Q/V\,_,lat,---,---,---,---,---,,,
25,5,3,4,"AlexAlb, l. 4",uanitas,vanitas,QVNVQVQ,v.a.n.i.t.a.s,Q/V\.N/V\.'Q/V\Q,.,lat,---,---,---,---,---,,</q></l>,
26,6,1,5,"AlexAlb, l. 5",poyst,poyst,poiST,p.o.y.s.t,p/o\iST,|,fro,ADVgen,---,puis,DMF,puis,,,<l n=&quot;5&quot;>
27,6,2,5,"AlexAlb, l. 5",lou,lou,Lɔu,l.o.u,L/ɔ\u,_,fro,NOMcom,smr,lieu,DMF,lieu,lemma_AlexAlbZ:414 lemma_MölkHoltus1999:605-609,,
28,6,3,5,"AlexAlb, l. 5",me,me,mE,m.e,m/(E)\,_,fro,PRCper,1smr,me,DMF,me,,,
29,6,4,5,"AlexAlb, l. 5",fay,fay,fAi,f.a.y,f/A\i,_,fro,VERcjg,indpst3,faire,DMF,faire,,,
