wd_id,line_id,line_wd,dipl,word,phon,phon_map,syllabified,wd_div,lang,pos,morph,lemma,lemma_src,lemma_dmf,ref,tei_right,tei_left
1,1,1,Ici,ici,iʦi,i.c.i,/i\.'ʦ/i\,_,fro,ADVgen,---,ici,DMF,ici,"AlexisProl, f. 29r, l. 1",,<text><body xml:lang=&quot;fro&quot;><pb n=&quot;29r&quot;/><lb n=&quot;1&quot;/><p><s>
2,1,2,cumencet,cumencet,kOmENÇəð,c.u.m.e.n.c.e.t,k/O\.'m/E\N.Ç/ə\ð,_,fro,VERcjg,indpst3,commencer,DMF,commencer,"AlexisProl, f. 29r, l. 1",,
3,1,3,amiable,amiable,AmiabLə,a.m.i.a.b.l.e,/A\.m/i\.'/a\.bL/ə\,_,fro,ADJqua,sfn,amiable,DMF,amiable,"AlexisProl, f. 29r, l. 1",,
4,1,4,cancun,cancun,ċÆNÇOn,c.a.n.c.u.n,ċ/Æ\N.'Ç/O\n,_,fro,NOMcom,sfn,chanson,DMF,chanson,"AlexisProl, f. 29r, l. 1",,
5,1,5,e,e,e,e,/e\,+,fro,CONcoo,---,et,DMF,et,"AlexisProl, f. 29r, l. 1",,
6,1,6,spiritel,spiritel,SpiritæL,s.p.i.r.i.t.e.l,Sp/i\.r/i\.'t/æ\L,_,fro,ADJqua,sfn,spirituel,DMF,spirituel,"AlexisProl, f. 29r, l. 1",,
7,1,7,raisun,raisun,rAizOn,r.a.i.s.u.n,r/A\i.'z/O\n,_,fro,NOMcom,sfn,raison,DMF,raison,"AlexisProl, f. 29r, l. 1",,
8,1,8,d,d,d,d,d/\,+,fro,PRE,---,de,DMF,de,"AlexisProl, f. 29r, l. 1",,
9,1,9,iceol,iceol,iʦeL,i.c.eo.l,/i\.'ʦ/e\L,_,fro,DETdem,smr,cil,DMF,cil,"AlexisProl, f. 29r, l. 1",,
10,1,10,no|ble,noble,nɔbLə,n.o.b.l.e,'n/ɔ\.bL/ə\,_,fro,ADJqua,smr,noble,DMF,noble,"AlexisProl, f. 29r, l. 1",,
11,1,11,barun,barun,bArOn,b.a.r.u.n,b/A\.'r/O\n,_,fro,NOMcom,smr,baron,DMF,baron,"AlexisProl, f. 29r, l. 2",,<lb n=&quot;2&quot;/>
12,1,12,eufemien,eufemien,EufEmiEn,e.u.f.e.m.i.e.n,/E\u.f/E\.m/i\.'/E\n,_,fro,NOMpro,smr,Eufemien,---,---,"AlexisProl, f. 29r, l. 2",,
13,1,13,par,par,par,p.a.r,p/a\r,_,fro,PRE,---,par,DMF,par,"AlexisProl, f. 29r, l. 2",,
14,1,14,num,num,nOm,n.u.m,n/O\m,.,fro,NOMcom,smr,nom,DMF,nom,"AlexisProl, f. 29r, l. 2",,
15,1,15,e,e,e,e,/e\,_,fro,CONcoo,---,et,DMF,et,"AlexisProl, f. 29r, l. 2",,
16,1,16,de,de,dE,d.e,d/E\,_,fro,PRE,---,de,DMF,de,"AlexisProl, f. 29r, l. 2",,
17,1,17,la,la,La,l.a,L/a\,+,fro,DETdef,sfr,le,DMF,le,"AlexisProl, f. 29r, l. 2",,
18,1,18,uie,vie,viə,v.i.e,'v/i\./ə\,_,fro,NOMcom,sfr,vie,DMF,vie,"AlexisProl, f. 29r, l. 2",,
19,1,19,de,de,dE,d.e,d/E\,_,fro,PRE,---,de,DMF,de,"AlexisProl, f. 29r, l. 2",,
20,1,20,sum,sum,SON,s.u.m,S/O\N,_,fro,DETpos,3smr,son4,DMF,son4,"AlexisProl, f. 29r, l. 2",,
