wd_id,line_id,line_wd,dipl,word,phon,phon_map,syllabified,wd_div,lang,textlineid,pos,morph,lemma,lemma_src,lemma_dmf,ref,tei_right,tei_left
1,1,1,B_ons,bons,bONS,b.o.n.s,b/O\NS,_,fro,1,ADJqua,smn,bon,DMF,bon,"Alexis, l. 1",,<text><body xml:lang=&quot;fro&quot;><pb facs=&quot;https://www.albani-psalter.de/stalbanspsalter/english/translation/trans058.shtml&quot; n=&quot;27v&quot;/><lb/><lg n=&quot;1&quot; type=&quot;stanza&quot; met=&quot;decasyllable&quot; rhyme=&quot;aaaaa&quot;><l n=&quot;1&quot;>
2,1,2,fut,fut,fyð,f.u.t,f/y\ð,_,fro,1,VERcjg,indpsp3,être,DMF,être,"Alexis, l. 1",,
3,1,3,li,li,Li,l.i,L/i\,+,fro,1,DETdef,smn,le,DMF,le,"Alexis, l. 1",,
4,1,4,secles,secles,SekLəS,s.e.c.l.e.s,'S/e\.kL/ə\S,_,fro,1,NOMcom,smn,siècle,DMF,siècle,"Alexis, l. 1",,
5,1,5,a,a,a,a,/a\,_,fro,1,PRE,---,à,DMF,à,"Alexis, l. 1",,
6,1,6,l,l,L,l,/\L,+,fro,1,DETdef,smr,le,DMF,le,"Alexis, l. 1",,
7,1,7,tens,tens,tENS,t.e.n.s,t/E\NS,_,fro,1,NOMcom,smr,temps,DMF,temps,"Alexis, l. 1",,
8,1,8,ancienur,ancienur,ÆNÇiEnur,a.n.c.i.e.n.u.r,/Æ\N.Ç/i\./E\.'n/u\r,_,fro,1,ADJqua,smr,anciennour,DMF,anciennour,"Alexis, l. 1",</l>,
9,2,1,quer,quer,kær,qu.e.r,k/æ\r,|,fro,2,CONcoo,---,car,DMF,car,"Alexis, l. 2",,<l n=&quot;2&quot;>
10,2,2,feit,feit,fEið,f.e.i.t,f/E\ið,_,fro,2,NOMcom,sfn,foi,DMF,foi,"Alexis, l. 2",,<lb/>
11,2,3,i,i,i,i,/i\,+,fro,2,PRCadv,---,y2,DMF,y2,"Alexis, l. 2",,
12,2,4,ert,ert,ærT,e.r.t,/æ\rT,_,fro,2,VERcjg,indipf3,être,DMF,être,"Alexis, l. 2",,
13,2,5,e,e,e,e,/e\,_,fro,2,CONcoo,---,et,DMF,et,"Alexis, l. 2",,
14,2,6,iustise,justise,ʤyStizə,j.u.s.t.i.s.e,ʤ/y\S.'t/i\.z/(ə)\,_,fro,2,NOMcom,sfn,justice,DMF,justice,"Alexis, l. 2",,
15,2,7,[et],et,eð,e.t,/e\ð,_,fro,2,CONcoo,---,et,DMF,et,"Alexis, l. 2",,
16,2,8,amur,amur,Amur,a.m.u.r,/A\.'m/u\r,.,fro,2,NOMcom,sfn,amour,DMF,amour,"Alexis, l. 2",</l>,
17,3,1,si,si,Si,s.i,S/i\,_,fro,3,ADVgen,---,si4,DMF,si4,"Alexis, l. 3",,<l n=&quot;3&quot;>
18,3,2,ert,ert,ærT,e.r.t,/æ\rT,_,fro,3,VERcjg,indipf3,être,DMF,être,"Alexis, l. 3",,
19,3,3,creance,creance,krEENÇə,c.r.e.a.n.c.e,kr/E\.'/E\N.Ç/(ə)\,|,fro,3,NOMcom,sfn,créance,DMF,créance,"Alexis, l. 3",,
20,3,4,dunt,dunt,dONT,d.u.n.t,d/O\NT,_,fro,3,PRNrel,sfr,dont,DMF,dont,"Alexis, l. 3",,<lb/>
21,3,5,ore,ore,Orə,o.r.e,'/O\.r/[ə]\,_,fro,3,ADVgen,---,or2,DMF,or2,"Alexis, l. 3",,
22,3,6,n,n,n,n,n/\,+,fro,3,ADVneg,---,ne,DMF,ne,"Alexis, l. 3",,
23,3,7,i,i,i,i,/i\,+,fro,3,PRCadv,---,y2,DMF,y2,"Alexis, l. 3",,
24,3,8,at,at,að,a.t,/a\ð,_,fro,3,VERcjg,indpst0,avoir,DMF,avoir,"Alexis, l. 3",,
25,3,9,nul,nul,nyL,n.u.l,n/y\L,_,fro,3,DETind,smr,nul,DMF,nul,"Alexis, l. 3",,
26,3,10,prut,prut,pruð,p.r.u.t,pr/u\ð,.,fro,3,NOMcom,smr,preu,DMF,preu,"Alexis, l. 3",</l>,
27,4,1,tut,tut,tuT,t.u.t,t/u\T,_,fro,4,PRNind,smr,tout,DMF,tout,"Alexis, l. 4",,<l n=&quot;4&quot;>
28,4,2,est,est,EST,e.s.t,/E\ST,_,fro,4,VERcjg,indpst3,être,DMF,être,"Alexis, l. 4",,
29,4,3,muez,muez,myæTS,m.u.e.z.,m/y\.'/æ\TS,|,fro,4,VERppe,smn,muer,DMF,muer,"Alexis, l. 4",,
30,4,4,p[er]dut,perdut,pErdyð,p.e.r.d.u.t,p/E\r.'d/y\ð,_,fro,4,VERppe,snr,perdre,DMF,perdre,"Alexis, l. 4",,<lb/>
31,4,5,ad,ad,að,a.d,/a\ð,_,fro,4,VERcjg,indpst3,avoir,DMF,avoir,"Alexis, l. 4",,
32,4,6,sa,sa,Sa,s.a,S/(a)\,+,fro,4,DETpos,3sfr,son4,DMF,son4,"Alexis, l. 4",,
33,4,7,colur,colur,kuLur,c.o.l.u.r,k/u\.'L/u\r,_,fro,4,NOMcom,sfr,couleur,DMF,couleur,"Alexis, l. 4",</l>,
34,5,1,ia,ja,ʤa,j.a,ʤ/a\,_,fro,5,ADVgen,---,jà,DMF,jà,"Alexis, l. 5",,<l n=&quot;5&quot;>
35,5,2,mais,mais,mAiS,m.a.i.s,m/A\iS,_,fro,5,ADVgen,---,mais,DMF,mais,"Alexis, l. 5",,
36,5,3,n,n,n,n,n/\,+,fro,5,ADVneg,---,ne,DMF,ne,"Alexis, l. 5",,
37,5,4,iert,iert,iErT,i.e.r.t,/iE\rT,_,fro,5,VERcjg,indfut3,être,DMF,être,"Alexis, l. 5",,
38,5,5,tel,tel,tæL,t.e.l,t/æ\L,_,fro,5,ADJind,sfn,tel,DMF,tel,"Alexis, l. 5",,
39,5,6,cum,cum,kOm,c.u.m,k/O\m,|,fro,5,CONsub,---,comme,DMF,comme,"Alexis, l. 5",,
40,5,7,fut,fut,fyð,f.u.t,f/y\ð,_,fro,5,VERcjg,indpsp3,être,DMF,être,"Alexis, l. 5",,<lb/>
41,5,8,a,a,a,a,/a\,+,fro,5,PRE,---,à,DMF,à,"Alexis, l. 5",,
42,5,9,s,s,S,s,/\S,_,fro,5,DETdef,pmr,le,DMF,le,"Alexis, l. 5",,
43,5,10,anceisurs,anceisurs,ÆNÇEizurS,a.n.c.e.i.s.u.r.s,/Æ\N.Ç/E\i.'z/u\rS,.,fro,5,NOMcom,pmr,ancêtre,DMF,ancêtre,"Alexis, l. 5",</l></lg>,
44,6,1,A,a,a,a,/a\,+,fro,6,PRE,---,à,DMF,à,"Alexis, l. 6",,<lg n=&quot;2&quot; type=&quot;stanza&quot; met=&quot;decasyllable&quot; rhyme=&quot;aaaaa&quot;><l n=&quot;6&quot;>
45,6,2,l,l,L,l,/\L,+,fro,6,DETdef,smr,le,DMF,le,"Alexis, l. 6",,
46,6,3,tens,tens,tENS,t.e.n.s,t/E\NS,_,fro,6,NOMcom,smr,temps,DMF,temps,"Alexis, l. 6",,
47,6,4,Noe,noe,nOÆ,n.o.e,n/O\.'/Æ\,_,fro,6,NOMpro,smr,Noé,---,---,"Alexis, l. 6",,
48,6,5,[et],et,eð,e.t,/e\ð,_,fro,6,CONcoo,---,et,DMF,et,"Alexis, l. 6",,
