wd_id,line_id,line_wd,dipl,word,phon,phon_map,syllabified,wd_div,lang,pos,morph,lemma,lemma_src,lemma_dmf,ref,phil_note,tei_right,tei_left
1,1,1,cum,cum,kOm,c.u.m,k/O\m,_,pro,CONsub,---,cóm,DOM,comme,"BenClerm, no. II, l. 1",,,<text><body xml:lang=&quot;pro&quot;><pb n=&quot;89v&quot;/><div n=&quot;II&quot; type=&quot;text&quot;><lb n=&quot;1&quot;/><p><s>
2,1,2,pisce,pisce,peʦE,p.i.sc.e,'p/e\.ʦ/E\,_,pro,NOMcom,smn,peisóN,DOM,poisson,"BenClerm, no. II, l. 1",,,
3,1,3,in,in,EN,i.n,/E\N,+,pro,PRE,---,én,DOM,en,"BenClerm, no. II, l. 1",,,
4,1,4,aqua,aqua,AguA,a.q.u.a,'/A\.gu/A\,_,pro,NOMcom,sfr,aiga,DOM,eau,"BenClerm, no. II, l. 1",,,
5,1,5,fregit,fregit,QRVCVC,f.r.e.g.i.t,'QR/V\.C/V\C,_,lat,VERcjg,indpsp3,frango,wiktionary,fraindre,"BenClerm, no. II, l. 1",,,
6,1,6,sua,sua,SoA,s.u.a,'S/o\./A\,_,pro,DETpos,3sfr,sia,DOM,son4,"BenClerm, no. II, l. 1",,,
7,1,7,ala,ala,AlA,a.l.a,'/A\.l/A\,_,pro,NOMcom,sfr,ala,DOM,aile,"BenClerm, no. II, l. 1",,,
8,1,8,[et],et,Et,e.t,/E\t,_,pro,CONcoo,---,e,DOM,et,"BenClerm, no. II, l. 1",,,
9,1,9,resolde,resolde,rEsOLdɛ,r.e.s.o.l.d.e,r/E\.s/O\L.'d/ɛ\,_,pro,VERcjg,indpsp3,ressoldar,DOM,ressouder,"BenClerm, no. II, l. 1",,,
10,1,10,si,si,Si,s.i,S/i\,+,pro,ADVgen,---,si2,DOM,si4,"BenClerm, no. II, l. 1",,,
11,1,11,resold,resold,rEsoLd,r.e.s.o.l.d,r/E\.'s/o\Ld,_,pro,VERcjg,subpst3,ressoldar,DOM,ressouder,"BenClerm, no. II, l. 1",,,
12,1,12,in,in,EN,i.n,/E\N,+,pro,PRE,---,én,DOM,en,"BenClerm, no. II, l. 1",,,
13,1,13,ista,ista,eStA,i.s.t.a,'/e\S.t/A\,.,pro,DETdem,sfr,ést,DOM,---,"BenClerm, no. II, l. 1",,,
14,1,14,mans,mans,mAns,m.a.n.s,m/A\ns,|,pro,NOMcom,sfn,maN,DOM,main,"BenClerm, no. II, l. 1",,,<lb n=&quot;2&quot;/>
15,2,1,qui,qui,ki,qu.i,k/i\,_,pro,PRNrel,sfn,qui,DOM,qui,"BenClerm, no. II, l. 2",,,
16,2,2,des_loge,desloge,dESLOgɛ,d.e.s.l.o.g.e,d/E\S.L/O\.'g/ɛ\,|,pro,VERcjg,indpsp3,delogar,DOM,---,"BenClerm, no. II, l. 2",,</s></p></div>,
17,3,1,tomida,tomida,tOmidA,t.o.m.i.d.a,t/O\.'m/i\.d/A\,+,pro,ADJqua,sfn,tomide,DOM,tumide,"BenClerm, no. I, l. 1",,,<div n=&quot;I&quot; type=&quot;text&quot;><lb n=&quot;1&quot;/><p><s>
18,3,2,femina,femina,fEminA,f.e.m.i.n.a,'f/E\.m/i\.n/A\,_,pro,NOMcom,sfn,fémna,DOM,femme,"BenClerm, no. I, l. 1",,,
19,3,3,in,in,EN,i.n,/E\N,+,pro,PRE,---,én,DOM,en,"BenClerm, no. I, l. 1",,,
20,3,4,tomida,tomida,tOmidA,t.o.m.i.d.a,t/O\.'m/i\.d/A\,_,pro,ADJqua,sfr,tomide,DOM,tumide,"BenClerm, no. I, l. 1",,,
21,3,5,uia,via,viA,v.i.a,'v/i\./A\,+,pro,NOMcom,sfr,via,DOM,voie,"BenClerm, no. I, l. 1",,,
22,3,6,sedea,sedea,SEðeA,s.e.d.e.a,S/E\.'ð/e\./A\,_,pro,VERcjg,indipf3,sezér,DOM,seoir,"BenClerm, no. I, l. 1",,</s>,
23,3,7,tomid,tomid,tOmid0,t.o.m.i.d.,t/O\.'m/i\.d/[0]\,_,pro,ADJqua,smr,tomide,DOM,tumide,"BenClerm, no. I, l. 1",,,<s>
24,3,8,infant,infant,ENfANt,i.n.f.a.n.t,/E\N.'f/A\Nt,_,pro,NOMcom,smr,enfan,DOM,enfant,"BenClerm, no. I, l. 1",,,
25,3,9,in,in,EN,i.n,/E\N,_,pro,PRE,---,én,DOM,en,"BenClerm, no. I, l. 1",,,
26,3,10,falda,falda,fALdA,f.a.l.d.a,'f/A\L.d/A\,_,pro,NOMcom,sfr,falda,DOM,faude,"BenClerm, no. I, l. 1",,,
27,3,11,sua,sua,SoA,s.u.a,'S/o\./A\,_,pro,ADJpos,3sfr,sia,DOM,son4,"BenClerm, no. I, l. 1",,,
28,3,12,tenea,tenea,tEneA,t.e.n.e.a,t/E\.'n/e\./A\,|,pro,VERcjg,indipf3,tenér,DOM,tenir,"BenClerm, no. I, l. 1",,</s>,
29,4,1,tomides,tomides,tOmidES,t.o.m.i.d.e.s,t/O\.'m/i\.d/E\S,_,pro,ADJqua,pfr,tomide,DOM,tumide,"BenClerm, no. I, l. 2",,,<lb n=&quot;2&quot;/><s>
30,4,2,mans,mans,mAnS,m.a.n.s,m/A\nS,_,pro,NOMcom,pfr,maN,DOM,main,"BenClerm, no. I, l. 2",,,
31,4,3,[et],et,et,e.t,/e\t,+,pro,CONcoo,---,e,DOM,et,"BenClerm, no. I, l. 2",,,
32,4,4,tomidas,tomidas,tOmidAS,t.o.m.i.d.a.s,t/O\.'m/i\.d/A\S,_,pro,ADJqua,pmr,tomide,DOM,tumide,"BenClerm, no. I, l. 2",,,
33,4,5,pes,pes,pɛS,p.e.s,p/ɛ\S,_,pro,NOMcom,pmr,pè,DOM,pied,"BenClerm, no. I, l. 2",,,
34,4,6,tomidas,tomidas,tOmidAS,t.o.m.i.d.a.s,t/O\.'m/i\.d/A\S,_,pro,ADJqua,pfr,tomide,DOM,tumide,"BenClerm, no. I, l. 2",,,
35,4,7,carnes,carnes,kArnES,c.a.r.n.e.s,'k/A\r.n/E\S,_,pro,NOMcom,pfr,carn,DOM,chair,"BenClerm, no. I, l. 2",,,
36,4,8,que,que,kE,qu.e,k/E\,_,pro,PRNrel,pmn,que,DOM,que,"BenClerm, no. I, l. 2",,,
37,4,9,est,est,eSt,e.s.t,/e\St,_,pro,DETdem,smr,ést,DOM,---,"BenClerm, no. I, l. 2",,,
38,4,10,colbe,colbe,kɔLbE,c.o.l.b.e,'k/ɔ\L.b/E\,+,pro,NOMcom,smr,còlp,DOM,coup,"BenClerm, no. I, l. 2",,,
39,4,11,recebrunt,recebrunt,rEʦEbrONt,r.e.c.e.b.r.u.n.t,r/E\.ʦ/E\.'br/O\Nt,|,pro,VERcjg,indfut6,recébre,DOM,recevoir,"BenClerm, no. I, l. 2",,</s>,
40,5,1,tomide,tomide,tOmidE,t.o.m.i.d.e,t/O\.'m/i\.d/E\,_,pro,ADJqua,smn,tomide,DOM,tumide,"BenClerm, no. I, l. 3",,,<lb n=&quot;3&quot;/><s>
41,5,2,fust,fust,fySt,f.u.s.t,f/y\St,|,pro,NOMcom,smn,fust,DOM,fût,"BenClerm, no. I, l. 3",,,
42,6,1,[et],et,et,e.t,/e\t,_,pro,CONcoo,---,e,DOM,et,"BenClerm, no. I, l. 4",,,<lb n=&quot;4&quot;/>
43,6,2,tomides,tomides,tOmidES,t.o.m.i.d.e.s,t/O\.'m/i\.d/E\S,_,pro,ADJqua,smn,tomide,DOM,tumide,"BenClerm, no. I, l. 4",,,
44,6,3,fer,fer,fɛr,f.e.r,f/ɛ\r,|,pro,NOMcom,smn,fèr2,DOM,fer,"BenClerm, no. I, l. 4",,,
45,7,1,que,que,kE,qu.e,k/E\,+,pro,PRNrel,pmn,que,DOM,que,"BenClerm, no. I, l. 5",,,<lb n=&quot;5&quot;/>
46,7,2,istae,istae,eStE,i.s.t.ae,'/e\S.t/E\,_,pro,DETdem,smr,ést,DOM,---,"BenClerm, no. I, l. 5",,,
47,7,3,colbe,colbe,kɔLbE,c.o.l.b.e,'k/ɔ\L.b/E\,|,pro,NOMcom,smr,còlp,DOM,coup,"BenClerm, no. I, l. 5",,,
48,8,1,doner[unt],donerunt,dOnErONt,d.o.n.e.r.u.n.t,d/O\.n/E\.'r/O\Nt,|,pro,VERcjg,indfut6,donar,DOM,donner,"BenClerm, no. I, l. 6",,</s></p>,<lb n=&quot;6&quot;/>
49,9,1,exs[unt],exsunt,EisONt,e.x.s.u.n.t,'/E\i.s/O\Nt,_,pro,VERcjg,indpst6,eisir,DOM,issir,"BenClerm, no. I, l. 7",,,<lb n=&quot;7&quot;/><p><s>
50,9,2,en,en,EN,e.n,/E\N,+,pro,PRE,---,én,DOM,en,"BenClerm, no. I, l. 7",,,
51,9,3,dolores,dolores,dOlorEs,d.o.l.o.r.e.s,d/O\.'l/o\.r/E\s,|,pro,NOMcom,pfr,dolór,DOM,douleur,"BenClerm, no. I, l. 7",,,
52,10,1,d,d,d,d,d/\,+,pro,PRE,---,de,DOM,de,"BenClerm, no. I, l. 8",,,<lb n=&quot;8&quot;/>
53,10,2,os,os,ɔs,o.s,/ɔ\s,_,pro,NOMcom,smr,òs,DOM,os,"BenClerm, no. I, l. 8",,,
