wd_id,line_id,line_wd,dipl,word,wd_div,phon,phon_map,syllabified,lang,pos,pos_syn,morph,lemma,lemma_src,lemma_dmf,ref,phil_note,tei_right,tei_left
1,1,1,In,in,_,VN,i.n,/V\N,lat,ETR,ETR,,---,---,,"CantAnn, l. 1",,,<text><body xml:lang=&quot;pro&quot;><pb n=&quot;48r&quot; facs=&quot;https://gallica.bnf.fr/ark:/12148/btv1b6000946s/f103.item&quot;/><lb/><lg xml:lang=&quot;lat&quot; n=&quot;1&quot; type=&quot;stanza&quot; rhyme=&quot;aaab&quot; met=&quot;heptasyllable&quot;><l n=&quot;1>
2,1,2,hoc,hoc,_,QVQ,h.o.c,Q/V\Q,lat,ETR,ETR,,---,---,,"CantAnn, l. 1",,,
3,1,3,anni,anni,–,VNNV,a.n.n.i,'/V\N.N/V\,lat,ETR,ETR,,---,---,,"CantAnn, l. 1",,,
4,1,4,circulo,circulo,–,QVRQVLV,c.i.r.c.u.l.o,'Q/V\R.Q/V\.'L/V\,lat,ETR,ETR,,---,---,,"CantAnn, l. 1",,</l>,
5,2,1,uita,vita,–,QVQV,v.i.t.a,'Q/V\.Q/V\,lat,ETR,ETR,,---,---,,"CantAnn, l. 2",,,<l n=&quot;2&quot;>
6,2,2,datur,datur,–,QVQVR,d.a.t.u.r,'Q/V\.Q/V\R,lat,ETR,ETR,,---,---,,"CantAnn, l. 2",,,
7,2,3,seculo,seculo,–,QVQVLV,s.e.c.u.l.o,'Q/V\.Q/V\.'L/V\,lat,ETR,ETR,,---,---,,"CantAnn, l. 2",,</l>,
8,3,1,natos,natos,_,NVQVQ,n.a.t.o.s,'N/V\.Q/V\Q,lat,ETR,ETR,,---,---,,"CantAnn, l. 3",,,<l n=&quot;3&quot;>
9,3,2,nobis,nobis,–,NVQVQ,n.o.b.i.s,'N/V\.Q/V\Q,lat,ETR,ETR,,---,---,,"CantAnn, l. 3",,,
10,3,3,paruulo,parvulo,–|,QVRQVLV,p.a.r.v.u.l.o,'Q/V\R.Q/V\.'L/V\,lat,ETR,ETR,,---,---,,"CantAnn, l. 3",,</l><lb/>,
11,4,1,De,de,_,QV,d.e,Q/V\,lat,ETR,ETR,,---,---,,"CantAnn, l. 4",,,<l n=&quot;4&quot;>
12,4,2,uirgine,virgine,–,QVRQVNV,v.i.r.g.i.n.e,'Q/V\R.Q/V\.'N/V\,lat,ETR,ETR,,---,---,,"CantAnn, l. 4",,,
13,4,3,maria,maria,–,NVRVV,m.a.r.i.a,N/V\.'R/V\./V\,lat,ETR,ETR,,---,---,,"CantAnn, l. 4",,</l></lg>,
14,5,1,Mei,mei,_,mɛi,m.e.i,,pro,DETpos,DETpos,1pmn,mei2,DOM,,"CantAnn, l. 5",,,<lg n=&quot;2&quot; type=&quot;stanza&quot; rhyme=&quot;aaab&quot; met=&quot;heptasyllable&quot;><l n=&quot;5&quot;>
15,5,2,amic,amic,–,AmiK,a.m.i.c,,pro,NOMcom,NOMcom,pmn,amic,DOM,,"CantAnn, l. 5",,,
16,5,3,e,e,+,E,e,,pro,CONcoo,CONcoo,,e,DOM,,"CantAnn, l. 5",,,
17,5,4,mei,mei,–,mɛi,m.e.i,,pro,DETpos,DETpos,1pmn,mei2,DOM,,"CantAnn, l. 5",,,
18,5,5,fiel,fiel,–,fiɛl,f.i.e.l,,pro,ADJqua,NOMcom,pmn,fezèl,DOM,,"CantAnn, l. 5",,</l>,
19,6,1,laisat,laisat,–,LAisAT,l.a.i.s.a.t,,pro,VERcjg,VERcjg,imp---5,laisar,DOM,,"CantAnn, l. 6",,,<l n=&quot;6&quot;>
20,6,2,estar,estar,–,EStAr,e.s.t.a.r,,pro,VERinf,VERinf,,estar,DOM,,"CantAnn, l. 6",,,
21,6,3,lo,lo,_,LO,l.o,,pro,DETdef,DETdef,smr,lo2,DOM,,"CantAnn, l. 6",,,
22,6,4,ga_zel,gazel,–|,gAzɛl,g.a.z.e.l,,pro,NOMcom,NOMcom,smr,gazèl,DOM,,"CantAnn, l. 6",,</l><lb/>,
23,7,1,aprendet,aprendet,–,AprENdɛT,a.p.r.e.n.d.e.t,,pro,VERcjg,VERcjg,imp---5,apréndre,DOM,,"CantAnn, l. 7",,,<l n=&quot;7&quot;>
24,7,2,u,u,+,y,u,,pro,DETndf,DETndf,smr,uN,DOM,,"CantAnn, l. 7",,,
25,7,3,so,so,_,So,s.o,,pro,NOMcom,NOMcom,smr,sóN,DOM,,"CantAnn, l. 7",,,
26,7,4,noel,noel,–,nOɛl,n.o.e.l,,pro,ADJqua,ADJqua,smr,novèl,DOM,,"CantAnn, l. 7",,</l>,
27,8,1,De,de,+,QV,d.e,Q/V\,lat,ETR,ETR,,---,---,,"CantAnn, l. 8",,,<l xml:lang=&quot;lat&quot; n=&quot;8&quot;>
28,8,2,uir[=uirgine],virgine,_,QVRQVNV,v.i.r.g.i.n.e,'Q/V\R.Q/V\.'N/V\,lat,ETR,ETR,,---,---,,"CantAnn, l. 8",,<supplied reason=&quot;missing&quot;>maria</supplied></l></lg>,
29,9,1,Fons,fons,_,QVNQ,f.o.n.s,Q/V\NQ,lat,ETR,ETR,,---,---,,"CantAnn, l. 9",,,<lg xml:lang=&quot;lat&quot; n=&quot;3&quot; type=&quot;stanza&quot; rhyme=&quot;aaab&quot; met=&quot;heptasyllable&quot;><l n=&quot;9&quot;>
30,9,2,de,de,+,QV,d.e,Q/V\,lat,ETR,ETR,,---,---,,"CantAnn, l. 9",,,
31,9,3,suo,suo,–,QVV,s.u.o,'Q/V\./V\,lat,ETR,ETR,,---,---,,"CantAnn, l. 9",,,
32,9,4,riuulo,rivulo,–,RVQVLV,r.i.v.u.l.o,'R/V\.Q/V\.'L/V\,lat,ETR,ETR,,---,---,,"CantAnn, l. 9",,</l>,
33,10,1,nascitur,nascitur,–,NVQQVQVR,n.a.s.c.i.t.u.r,'N/V\Q.Q/V\.'Q/V\R,lat,ETR,ETR,,---,---,,"CantAnn, l. 10",,,<l n=&quot;10&quot;>
34,10,2,p[ro],pro,_,QRV,p.r.o,QR/V\,lat,ETR,ETR,,---,---,,"CantAnn, l. 10",,,
35,10,3,po–|pulo,populo,–,QVQVLV,p.o.p.u.l.o,'Q/V\.Q/V\.'L/V\,lat,ETR,ETR,,---,---,,"CantAnn, l. 10",,</l><lb/>,
36,11,1,necto,necto,–,NVQQV,n.e.c.t.o,'N/V\Q.Q/V\,lat,ETR,ETR,,---,---,,"CantAnn, l. 11",,,<l n=&quot;11&quot;>
37,11,2,mortis,mortis,–,NVRQVQ,m.o.r.t.i.s,'N/V\R.Q/V\Q,lat,ETR,ETR,,---,---,,"CantAnn, l. 11",,,
38,11,3,uinc[u]lo,vinculo,_,QVNQVLV,v.i.n.c.u.l.o,'Q/V\N.Q/V\.'L/V\,lat,ETR,ETR,,---,---,,"CantAnn, l. 11",,</l>,
39,12,1,De,de,+,QV,d.e,Q/V\,lat,ETR,ETR,,---,---,,"CantAnn, l. 12",,,<l n=&quot;12&quot;>
40,12,2,u[=uirgine],virgine,_,QVRQVNV,v.i.r.g.i.n.e,'Q/V\R.Q/V\.'N/V\,lat,ETR,ETR,,---,---,,"CantAnn, l. 12",,<supplied reason=&quot;missing&quot;>maria</supplied></l></lg>,
41,13,1,L_ais,lais,_,LAiS,l.a.i.s,,pro,VERcjg,VERcjg,subpst3,laisar,DOM,,"CantAnn, l. 13",,,<lg n=&quot;4&quot; type=&quot;stanza&quot; rhyme=&quot;aaab&quot; met=&quot;heptasyllable&quot;><l n=&quot;13&quot;>
42,13,2,l,l,+,L,l,,pro,DETdef,DETdef,smn,lo2,DOM,,"CantAnn, l. 13",,,
43,13,3,om,om,_,Om,o.m,,pro,NOMcom,NOMcom,smn,óme,DOM,,"CantAnn, l. 13",,,
44,13,4,di_re,dire,–,dirE,d.i.r.e,,pro,VERinf,VERinf,,dire,DOM,,"CantAnn, l. 13",,,
45,13,5,chi,chi,_,ki,ch.i,,pro,PRNrel,PRNrel,smn,qui,DOM,,"CantAnn, l. 13",,,
46,13,6,no,no,+,nO,n.o,,pro,ADVneg,ADVneg,,nóN,DOM,,"CantAnn, l. 13",,,
47,13,7,u,u,+,u,u,,pro,PRCper,PRCper,3sma,lo3,DOM,,"CantAnn, l. 13",,,
48,13,8,sab,sab,–,SAP,s.a.b,,pro,VERcjg,VERcjg,indpst3,sabér,DOM,,"CantAnn, l. 13",,</l>,
49,14,1,qu,qu,+,k,qu,,pro,CONsub,CONsub,,que2,DOM,,"CantAnn, l. 14",,,<l n=&quot;14&quot;>
50,14,2,eu,eu,–|,ɛu,e.u,,pro,PRNper,PRNper,1smn,eu,DOM,,"CantAnn, l. 14",,<lb/>,
51,14,3,no,no,+,nO,n.o,,pro,ADVneg,ADVneg,,nóN,DOM,,"CantAnn, l. 14",,,
52,14,4,l,l,–,L,l,,pro,PRCper,PRCper,3sma,lo3,DOM,,"CantAnn, l. 14",,,
53,14,5,dirai,dirai,–,dirAi,d.i.r.a.i,,pro,VERcjg,VERcjg,indfut1,dire,DOM,,"CantAnn, l. 14",,,
54,14,6,ses,ses,_,SeS,s.e.s,,pro,PRE,PRE,,séns,DOM,,"CantAnn, l. 14",,,
55,14,7,nul,nul,_,nyl,n.u.l,,pro,DETind,DETind,smr,nul,DOM,,"CantAnn, l. 14",,,
56,14,8,gab,gab,–,gAP,g.a.b,,pro,NOMcom,NOMcom,smr,gap,DOM,,"CantAnn, l. 14",,</l>,
57,15,1,mout,mout,–,mouT,m.o.u.t,,pro,ADVgen,ADVgen,,mólt,DOM,,"CantAnn, l. 15",,,<l n=&quot;15&quot;>
58,15,2,nen,nen,–,nEN,n.e.n,,pro,PRCadv,PRCadv,,én3,DOM,,"CantAnn, l. 15",lemma_SponsT:236,,
59,15,3,issit,issit,–,isiT,i.ss.i.t,,pro,VERcjg,VERcjg,indpsp3,eisir,DOM,,"CantAnn, l. 15",,,
60,15,4,a,a,+,A,a,,pro,PRE,PRE,,a2,DOM,,"CantAnn, l. 15",,,
61,15,5,bo,bo,_,bo,b.o,,pro,ADJqua,ADJqua,smr,bóN,DOM,,"CantAnn, l. 15",,,
62,15,6,chab,chab,_,ċAP,ch.a.b,,pro,NOMcom,NOMcom,smr,cap,DOM,,"CantAnn, l. 15",,</l>,
63,16,1,De,de,_,QV,d.e,Q/V\,lat,ETR,ETR,,---,---,,"CantAnn, l. 16",,,<l n=&quot;16&quot;>
64,16,2,u[=uirgine],virgine,_,QVRQVNV,v.i.r.g.i.n.e,'Q/V\R.Q/V\.'N/V\,lat,ETR,ETR,,---,---,,"CantAnn, l. 16",,<supplied reason=&quot;missing&quot;>maria</supplied></l></lg>,
