wd_id,line_id,line_wd,textlineid,ref,dipl,word,phon,map,syllabified,wd_div,lang,pos,morph,lemma,lemma_src,phil_note,tei_right,tei_left
1,1,1,1,"ChansLas, stanza 1, l.1",las,las,LaS,l.a.s,L/a\S,_,fro,ADJqua,smn,las,DMF,,,<text><group><text><body><pb/><lb/><lg type=&quot;stanza&quot;><l n=&quot;1&quot;>
2,1,2,1,"ChansLas, stanza 1, l.1",qui,qui,ki,qu.i,k/i\,_,fro,PRNrel,smn,qui,DMF,pos_Moelk96:48,,
3,1,3,1,"ChansLas, stanza 1, l.1",n[on],non,nOn,n.o.n,n/O\n,_,fro,ADVneg,,ne,DMF,,,
4,1,4,1,"ChansLas, stanza 1, l.1",sun,sun,SOn,s.u.n,S/O\n,_,fro,VERcjg,indpst1,être,DMF,,,
5,1,5,1,"ChansLas, stanza 1, l.1",sparuir,sparvir,SpArvir,s.p.a.r.v.i.r,Sp/A\r.'v/i\r,_,fro,NOMcom,smr,épervier,DMF,,,
6,1,6,1,"ChansLas, stanza 1, l.1",astur,astur,AStor,a.s.t.u.r,/A\S.'t/o\r,_,fro,NOMcom,smr,autour,DMF,,</l>,
7,2,1,2,"ChansLas, stanza 1, l.2",qui,qui,ki,qu.i,k/i\,_,fro,PRNrel,smn,qui,DMF,,,<l n=&quot;2&quot;>
8,2,2,2,"ChansLas, stanza 1, l.2",podis,podis,poðiS,p.o.d.i.s,p/o\.'ð/i\S,_,fro,VERcjg,,pouvoir2,DMF,,,
9,2,3,2,"ChansLas, stanza 1, l.2",a,a,A,a,/A\,+,fro,PRE,,à,DMF,,,
10,2,4,2,"ChansLas, stanza 1, l.2",li,li,Li,l.i,L/i\,+,fro,PRNper,3sfr,li,DMF,,,
11,2,5,2,"ChansLas, stanza 1, l.2",uorer,vorer,vorær,v.o.r.e.r,v/o\.'r/æ\r,|,fro,VERinf,,voler,DMF,,</l>,
12,3,1,3,"ChansLas, stanza 1, l.3",la,la,LA,l.a,L/A\,+,fro,DETdef,3sfr,le,DMF,,,<lb/><l n=&quot;3&quot;>
13,3,2,3,"ChansLas, stanza 1, l.3",sintil,sintil,SiNtil,s.i.n.t.i.l,S/i\N.'t/i\l,_,fro,ADJqua,3sfr,gentil,DMF,,,
14,3,3,3,"ChansLas, stanza 1, l.3",imbracher,imbracher,iNbrAċɛr,i.m.b.r.a.ch.e.r,/i\N.br/A\.'ċ/ɛ\r,_,fro,VERinf,,embrasser,DMF,,</l>,
15,4,1,4,"ChansLas, stanza 1, l.4",se,se,SE,s.e,S/E\,+,fro,DETpos,3sfr,son4,DMF,,,<l n=&quot;4&quot;>
16,4,2,4,"ChansLas, stanza 1, l.4",buch,buch,boċ,b.u.ch,b/o\ċ,_,fro,NOMcom,sfr,bouche,DMF,word_Moelk96:48,,
17,4,3,4,"ChansLas, stanza 1, l.4",schi,schi,Si,sch.i,S/i\,_,fro,ADVgen,,si4,DMF,,,
18,4,4,4,"ChansLas, stanza 1, l.4",duls,duls,doLS,d.u.l.s,d/o\LS,_,fro,ADJqua,sfr,doux,DMF,,,
19,4,5,4,"ChansLas, stanza 1, l.4",baser,baser,bAzɛr,b.a.s.e.r,b/A\.'z/ɛ\r,_,fro,VERinf,,baiser2,DMF,,</l>,
20,5,1,5,"ChansLas, stanza 1, l.5",dus,dus,doS,d.u.s,d/o\S,+,fro,ADJqua,snn,doux,DMF,word_Moelk96:48,,<l n=&quot;5&quot;>
21,5,2,5,"ChansLas, stanza 1, l.5",si|rie,sirie,SiriE,s.i.r.i.e,S/i\.'r/iE\,_,fro,VERcjg,con---3,être,DMF,word_Moelk96:48,,
22,5,3,5,"ChansLas, stanza 1, l.5",repasar,repasar,rEpAzɛr,r.e.p.a.s.a.r,r/E\.p/A\.'z/ɛ\r,+,fro,VERinf,,repaisier,DMF,lemma_Moelk96:48,,
23,5,4,5,"ChansLas, stanza 1, l.5",tu,tu,to,t.u,t/o\,_,fro,DETind,smr,tout,DMF,,,
24,5,5,5,"ChansLas, stanza 1, l.5",dulur,dulur,dolor,d.u.l.u.r,d/o\.'l/o\r,.–|,fro,NOMcom,smr,douleur,DMF,morph_Lazzerini93:131,</l></lg></body></text></group>,
25,6,1,6,"ChansLas, stanza 2, l.1",Sacramente,sacramente,QVQRVNVNQV,s.a.c.r.a.m.e.n.t.e,Q/V\.QR/V\.'N/V\N.Q/V\,_,---,---,---,---,---,,,<group><text><body><lb/><lg type=&quot;stanza&quot;><l n=&quot;1&quot;>
26,6,2,6,"ChansLas, stanza 2, l.1",n[on],non,NVN,n.o.n,N/V\N,_,---,---,---,---,---,,,
27,6,3,6,"ChansLas, stanza 2, l.1",ualent,valent,QVLVNQ,v.a.l.e.n.t,'Q/V\.L/V\NQ,_,---,---,---,---,---,,</l>,
28,7,1,7,"ChansLas, stanza 2, l.2",tu,tu,to,t.u,t/o\,+,fro,DETind,---,tout,DMF,,,<l n=&quot;2&quot;>
29,7,2,7,"ChansLas, stanza 2, l.2",spiure,spiure,Spiorə,s.p.i.u.r.e,Sp/i\.'/o\.r/ə\,_,fro,NOMcom,---,épieur,DMF,,,
30,7,3,7,"ChansLas, stanza 2, l.2",current,current,korrəNT,c.u.r.r.e.n.t,'k/o\r.r/ə\NT,_,fro,VERcjg,indpst6,courir,DMF,,</l>,
31,8,1,8,"ChansLas, stanza 2, l.3",multe,multe,NVLQV,m.u.l.t.e,'N/V\L.Q/V\,_,---,---,---,---,---,,,<l n=&quot;3&quot;>
32,8,2,8,"ChansLas, stanza 2, l.3",vel,vel,QVL,v.e.l,Q/V\L,_,---,---,---,---,---,,,
33,8,3,8,"ChansLas, stanza 2, l.3",edent,...edent,,,,_,---,---,---,---,---,,</l>,
34,9,1,9,"ChansLas, stanza 2, l.4",p[er],per,QVR,p.e.r,Q/V\R,_,---,---,---,---,---,,,<l n=&quot;4&quot;>
35,9,2,9,"ChansLas, stanza 2, l.4",amor,amor,VNVR,a.m.o.r,/V\.'N/V\R,|,---,---,---,---,---,,</l>,
36,10,1,10,"ChansLas, stanza 2, l.5",inclusi,inclusi,VNQLVQV,i.n.c.l.u.s.i,/V\N.'QL/V\.Q/V\,_,---,---,---,---,---,,,<l n=&quot;5&quot;>
37,10,2,10,"ChansLas, stanza 2, l.5",schevaler,schevaler,ċEvAlɛr,sch.e.v.a.l.e.r,ċ/E\.v/A\.'l/ɛ\r,_,fro,NOMcom,---,chevalier,DMF,,,
38,10,3,10,"ChansLas, stanza 2, l.5",iuch,juch,ʤyċ,j.u.ch,ʤ/y\ċ,_,fro,---,---,---,---,lemma_Moelk96:50,,
39,10,4,10,"ChansLas, stanza 2, l.5",tradur,tradur,trAdor,t.r.a.d.u.r,tr/A\.'d/o\r,_,fro,NOMcom,---,traître,DMF,lemma_Moelk96:50,</l></lg></body></text></group></text>,
