wd_id,line_id,line_wd,textlineid,ref,dipl,word,phon,phon_map,syllabified,wd_div,lang,pos,morph,lemma,lemma_src,lemma_dmf,phil_note,tei_right,tei_left
1,1,1,1,"EpreuveJudic, l. 1",Chi,chi,ki,ch.i,k/i\,_,fro,PRNrel,smn,qui,DMF,qui,,,<text><body><pb n=&quot;163r&quot; facs=&quot;https://gallica.bnf.fr/ark:/12148/btv1b10540990d/f333.item&quot;/><p><s xml:lang=&quot;fro&quot;>
2,1,2,1,"EpreuveJudic, l. 1",certe,certe,Çɛrtə,c.e.r.t.e,'Ç/ɛ\r.t/(ə)\,_,fro,ADJqua,sfr,cert,DMF,cert,,,
3,1,3,1,"EpreuveJudic, l. 1",cose,cose,ċɔzə,c.o.s.e,'ċ/ɔ\.z/(ə)\,_,fro,NOMcom,sfr,chose,DMF,chose,,,
4,1,4,1,"EpreuveJudic, l. 1",deit,deit,dEiT,d.e.i.t,d/E\iT,_,fro,VERcjg,indpst3,devoir2,DMF,devoir2,,,
5,1,5,1,"EpreuveJudic, l. 1",enquerre,enquerre,ENkɛrrə,e.n.qu.e.r.r.e,/E\N.'k/ɛ\r.r/(ə)\,.,fro,VERinf,---,enquérir,DMF,enquérir,,,
6,1,6,1,"EpreuveJudic, l. 1",Ses,ses,SES,s.e.s,S/E\S,+,fro,DETpos,pmr,son4,DMF,son4,,,
7,1,7,1,"EpreuveJudic, l. 1",iunies,junies,ʤOniəS,j.u.n.i.e.s,'ʤ/O\.ni/ə\S,_,fro,NOMcom,pmr,jeûne,DMF,jeûne,,,
8,1,8,1,"EpreuveJudic, l. 1",deit,deit,dEiT,d.e.i.t,d/E\iT,_,fro,VERcjg,indpst3,devoir2,DMF,devoir2,,,
9,1,9,1,"EpreuveJudic, l. 1",faire,faire,fAirə,f.a.i.r.e,'f/A\i.r/(ə)\,.,fro,VERinf,---,faire,DMF,faire,,,
10,1,10,1,"EpreuveJudic, l. 1",e,e,e,e,/e\,+,fro,CONcoo,---,et,DMF,et,,,
11,1,11,1,"EpreuveJudic, l. 1",ses,ses,SES,s.e.s,S/E\S,_,fro,DETpos,3pfr,son4,DMF,son4,,,
12,1,12,1,"EpreuveJudic, l. 1",elemosinas,elemosinas,,,,.,lat,NOMcom,pfr,eleemosyna,wiktionary,aumône,,</s>,
13,1,13,2,"EpreuveJudic, l. 1",e,e,e,e,/e\,|,fro,CONcoo,---,et,DMF,et,,,<s xml:lang=&quot;fro&quot;>
14,2,1,2,"EpreuveJudic, l. 2",ne,ne,nE,n.e,n/(E)\,_,fro,ADVneg,---,ne,DMF,ne,,,<lb n=&quot;2&quot;/>
15,2,2,2,"EpreuveJudic, l. 2",deit,deit,dEiT,d.e.i.t,d/E\iT,_,fro,VERcjg,indpst3,devoir2,DMF,devoir2,,,
16,2,3,2,"EpreuveJudic, l. 2",estre,estre,ɛStrə,e.s.t.r.e,'/ɛ\S.tr/(ə)\,_,fro,VERinf,---,être,DMF,être,,,
17,2,4,2,"EpreuveJudic, l. 2",e,e,,,,_,---,---,---,---,---,---,"lemma_FoersterKoschwitz:171,n.2",,
18,2,5,2,"EpreuveJudic, l. 2",missa,missa,,,,.,lat,NOMcom,sfr,missa,wiktionary,messe,,</s>,
19,2,6,3,"EpreuveJudic, l. 2",[et],e,e,e,/e\,_,fro,CONcoo,---,et,DMF,et,,,<s xml:lang=&quot;fro&quot;>
20,2,7,3,"EpreuveJudic, l. 2",matinas,matinas,mAtinəS,m.a.t.i.n.a.s,m/A\.'t/i\.n/ə\S,_,fro,NOMcom,pfr,matines,DMF,matines,,,
21,2,8,3,"EpreuveJudic, l. 2",deit,deit,dEiT,d.e.i.t,d/E\iT,_,fro,VERcjg,indpst3,devoir2,DMF,devoir2,,,
22,2,9,3,"EpreuveJudic, l. 2",orer,orer,orær,o.r.e.r,/o\.'r/æ\r,.,fro,VERinf,---,orer,DMF,orer,,,
