wd_id,line_id,linewd,dipl,word,phon,phon_map,syllabified,wd_div,lang,textlineid,syntag,syntag2,lemma,lemma_src,lemma_dmf,pos,pos_syn,morph,ref,tei_left,tei_right
1,1,1,B_uona,buona,buɔnə,b.u.o.n.a,'b/uɔ\.n/(ə)\,_,fro,1,Adj,Adj,bon,DMF,bon,ADJqua,ADJqua,sfn,"Eulalie, l. 1",<text><body xml:lang=&quot;fro&quot;><pb facs=&quot;https://gallica.bnf.fr/ark:/12148/btv1b84526286/f288.item&quot; n=&quot;141v&quot;/><lb/><lg type=&quot;couplet&quot;><l n=&quot;1&quot;>,
2,1,2,pulcella,pulcella,pyLʦɛlə,p.u.l.c.e.ll.a,p/y\L.'ʦ/ɛ\.l/(ə)\,_,fro,1,N,N,pucelle,DMF,pucelle,NOMcom,NOMcom,sfn,"Eulalie, l. 1",,
3,1,3,fut,fut,fyð,f.u.t,f/y\ð,_,fro,1,Vfin,Vfin,être,DMF,être,VERcjg,VERcjg,indpsp3,"Eulalie, l. 1",,
4,1,4,Eulalia,eulalia,VRVRVV,eu.l.a.l.i.a,/V\.R/V\.R/V\.'/V\,.,lat,1,N,N,Eulalie,---,,NOMpro,NOMpro,sfn,"Eulalie, l. 1",,</l>
5,2,1,Bel,bel,bɛl,b.e.l,b/ɛ\l,_,fro,2,Adj,Adj,beau,DMF,beau,ADJqua,ADJqua,smr,"Eulalie, l. 2",<l n=&quot;2&quot;>,
6,2,2,auret,auret,aurəð,a.u.r.e.t,'/a\u.r/ə\ð,_,fro,2,Vfin,Vfin,avoir,DMF,avoir,VERcjg,VERcjg,indpqp3,"Eulalie, l. 2",,
7,2,3,corps,corps,kɔrPS,c.o.r.p.s,k/ɔ\rPS,_,fro,2,N,N,corps,DMF,corps,NOMcom,NOMcom,smr,"Eulalie, l. 2",,
8,2,4,bellezour,bellezour,bElEʣour,b.e.ll.e.z.o.u.r,b/E\.l/E\.'ʣ/o\ur,_,fro,2,Adj,Adj,belisor,DMF,belisor,ADJqua,ADJqua,sfr,"Eulalie, l. 2",,
9,2,5,anima,anima,VRVRV,a.n.i.m.a,/V\.R/V\.'R/V\,|,lat,2,N,N,âme,DMF,âme,NOMcom,NOMcom,sfr,"Eulalie, l. 2",,</l></lg>
10,3,1,U_oldrent,voldrent,vɔLdrəNT,v.o.l.d.r.e.n.t,'v/ɔ\L.dr/ə\NT,_,fro,3,Vfin,Vfin,vouloir,DMF,vouloir,VERcjg,VERcjg,indpsp6,"Eulalie, l. 3",<lb/><lg type=&quot;couplet&quot;><l n=&quot;3&quot;>,
11,3,2,la,la,La,l.a,L/a\,+,fro,3,Prn,Prn%$,le,DMF,le,PRCper,PRCper,3sfa,"Eulalie, l. 3",,
12,3,3,ueintre,veintre,vEiNtrə,v.e.i.n.t.r.e,'v/E\iN.tr/(ə)\,_,fro,3,Vinf,Vinf,vaincre,DMF,vaincre,VERinf,VERinf,,"Eulalie, l. 3",,
13,3,4,li,li,Li,l.i,L/i\,_,fro,3,Det,Det,li,DMF,li,DETdef,DETdef,pmn,"Eulalie, l. 3",,
14,3,5,d[e]o,deo,dæu,d.e.o,d/æ\u,_,fro,3,N,N,Dieu,DMF,Dieu,NOMpro,NOMpro,smr,"Eulalie, l. 3",,
15,3,6,inimi,inimi,inimi,i.n.i.m.i,/i\.n/i\.'m/i\,.,fro,3,N,N,enemi,DMF,enemi,NOMcom,NOMcom,pmn,"Eulalie, l. 3",,</l>
16,4,1,Uoldrent,voldrent,vɔLdrəNT,v.o.l.d.r.e.n.t,'v/ɔ\L.dr/ə\NT,_,fro,4,Vfin,Vfin,vouloir,DMF,vouloir,VERcjg,VERcjg,indpsp6,"Eulalie, l. 4",<l n=&quot;4&quot;>,
17,4,2,la,la,La,l.a,L/a\,+,fro,4,Prn,Prn%$,le,DMF,le,PRCper,PRCper,3sfa,"Eulalie, l. 4",,
18,4,3,faire,faire,fAirə,f.a.i.r.e,'f/A\i.r/(ə)\,_,fro,4,Vinf,Vinf,faire,DMF,faire,VERinf,VERinf,,"Eulalie, l. 4",,
19,4,4,diaule,diaule,diaulə,d.i.a.u.l.e,d/i\.'/a\u.l/(ə)\,_,fro,4,N,N,diable,DMF,diable,NOMcom,NOMcom,smr,"Eulalie, l. 4",,
20,4,5,seruir,servir,SErvir,s.e.r.v.i.r,S/E\r.'v/i\r,.|,fro,4,Vinf,Vinf,servir,DMF,servir,VERinf,VERinf,,"Eulalie, l. 4",,</l></lg>
21,5,1,E_lle,elle,elə,e.ll.e,'/e\.l/(ə)\,_,fro,5,Prn,Prn$,elle,DMF,elle,PRNper,PRNper,3sfn,"Eulalie, l. 5",<lb/><lg type=&quot;couplet&quot;><l n=&quot;5&quot;>,
22,5,2,no,no,no,n.o,n/o\,+,fro,5,Neg,Neg$$,ne,DMF,ne,ADVneg,ADVneg,,"Eulalie, l. 5",,
23,5,3,nt,nt,NT,n.t,/\NT,_,fro,5,Prn,Prn$$,en2,DMF,en2,PRCadv,PRCadv,,"Eulalie, l. 5",,
24,5,4,eskoltet,eskoltet,ESkoLtəð,e.s.k.o.l.t.e.t,/E\S.'k/o\L.t/ə\ð,_,fro,5,Vfin,Vfin,écouter,DMF,écouter,VERcjg,VERcjg,indpst3,"Eulalie, l. 5",,
25,5,5,les,les,LES,l.e.s,L/E\S,_,fro,5,Det,Det,le,DMF,le,DETdef,DETdef,pmr,"Eulalie, l. 5",,
26,5,6,mals,mals,maLS,m.a.l.s,m/a\LS,_,fro,5,Adj,Adj,mal,DMF,mal,ADJqua,ADJqua,pmr,"Eulalie, l. 5",,
27,5,7,conselliers,conselliers,kONSEʎiErS,c.o.n.s.e.ll.i.e.r.s,k/O\N.S/E\.'ʎ/iE\rS,.,fro,5,N,N,conseiller,DMF,conseiller,NOMcom,NOMcom,pmr,"Eulalie, l. 5",,</l>
28,6,1,Qu,qu,k,qu,k/\,+,fro,6,Sub,Sub,que,DMF,que,CONsub,CONsub,,"Eulalie, l. 6",<l n=&quot;6&quot;>,
29,6,2,elle,elle,elə,e.ll.e,'/e\.l/(ə)\,_,fro,6,Prn,Prn,elle,DMF,elle,PRNper,PRNper,3sfn,"Eulalie, l. 6",,
30,6,3,d[e]o,deo,dæu,d.e.o,d/æ\u,_,fro,6,N,N,Dieu,DMF,Dieu,NOMpro,NOMpro,smr,"Eulalie, l. 6",,
31,6,4,raneiet,raneiet,rAnEiəð,r.a.n.e.i.e.t,r/A\.'n/E\i./ə\ð,_,fro,6,Vfin,Vfin,renier,DMF,renier,VERcjg,VERcjg,indpst3,"Eulalie, l. 6",,
32,6,5,chi,chi,ki,ch.i,k/i\,_,fro,6,Qux,Qux,qui,DMF,qui,PRNrel,PRNrel,smn,"Eulalie, l. 6",,
33,6,6,maent,maent,mAiNT,m.a.e.n.t,m/A\iNT,..,fro,6,Vfin,Vfin,manoir,DMF,manoir,VERcjg,VERcjg,indpst3,"Eulalie, l. 6",,
34,6,7,sus,sus,SyS,s.u.s,S/y\S,_,fro,6,PrA,PrA,sus,DMF,sus,ADVgen,ADVgen,,"Eulalie, l. 6",,
35,6,8,en,en,En,e.n,/E\n,_,fro,6,Pre,Pre,en,DMF,en,PRE,PRE,,"Eulalie, l. 6",,
