wd_id,line_id,line_wd,dipl,word,wd_div,phon,phon_map,lang,pos,pos_syn,morph,lemma,lemma_src,ref,phil_note,tei_right,tei_left
75,10,1,{bat},…bat,|,,,---,---,---,,---,---,"Jonas, recto, l. 10",,<gap/></s>,<lb n=&quot;10&quot;/><s><gap/>
901,70,1,cer,…cer,_,,,---,---,---,,---,---,"Jonas, verso, l. 34",,,<lb n=&quot;34&quot;/><supplied>prebeat</supplied></s><s><supplied>et</supplied>
25,4,1,…end,…end,_,,,---,---,---,,---,---,"Jonas, recto, l. 4",,,<lb n=&quot;4&quot;/><s><gap/>
163,26,7,{ent},…ent,|,,,---,---,---,,---,---,"Jonas, recto, l. 26",,<gap/></s>,
208,33,1,ent,…ent,.,,,---,---,---,,---,---,"Jonas, recto, l. 33",,</s>,<lb n=&quot;33&quot;/><gap/>
81,12,3,eti,…eti…,_,,,---,---,---,,---,---,"Jonas, recto, l. 12",,,<s><gap/>
198,31,5,…il,…il,_,,,---,---,---,,---,---,"Jonas, recto, l. 31",,,<gap/>
56,6,7,…ir…,…ir…,_,,,---,---,---,,---,---,"Jonas, recto, l. 6",,,<gap/>
67,8,2,ire,…ire,_,,,---,---,---,,---,---,"Jonas, recto, l. 8",,,<supplied>il</supplied><gap/>
102,16,4,n,…n…,|,,,---,---,---,,---,---,"Jonas, recto, l. 16",,<gap/></s>,<gap/>
167,27,4,…nt,…nt,_,,,---,---,---,,---,---,"Jonas, recto, l. 27",,,<gap/>
131,22,1,p,…p…,_,,,---,---,---,,---,---,"Jonas, recto, l. 22",,,<lb n=&quot;22&quot;/><s><gap/>
101,16,3,q[e]t,…qet,_,,,---,---,---,,---,---,"Jonas, recto, l. 16",,,<gap/>
144,24,2,que,…que,_,,,---,---,---,,---,---,"Jonas, recto, l. 24",,,
86,12,8,…re,…re,|,,,---,---,---,,---,---,"Jonas, recto, l. 12",,<gap/></s>,
100,16,2,reu,…reu,_,,,---,---,---,,---,---,"Jonas, recto, l. 16",,,<gap/>
146,24,4,tre,…tre,_,,,---,---,---,,---,---,"Jonas, recto, l. 24",,,<gap/>
169,27,6,…ts,…ts,_,,,---,---,---,,---,---,"Jonas, recto, l. 27",,,<gap/>
187,30,1,ude,…ude,_,,,---,---,---,,---,---,"Jonas, recto, l. 30",,,<lb n=&quot;30&quot;/>
879,69,1,ure,…ure,+,,,---,---,---,,---,---,"Jonas, verso, l. 33",,,<lb n=&quot;33&quot;/><gap/>
150,24,8,a,a,|,,,---,---,---,,---,---,"Jonas, recto, l. 24",,<gap/></s>,<gap/>
168,27,5,a…,a…,_,,,---,---,---,,---,---,"Jonas, recto, l. 27",,,
22,3,5,aire,aire,_,,,---,---,---,,---,---,"Jonas, recto, l. 3",,,<gap/>
654,58,1,alair,alair,_,,,---,---,---,,---,---,"Jonas, verso, l. 22",,,<lb n=&quot;22&quot;/><s><q><gap/>
99,16,1,car,car,_,,,---,---,---,,---,---,"Jonas, recto, l. 16",,,<lb n=&quot;16&quot;/><s><gap/>
301,40,12,celor,celor,_,,,---,?,?,,?,?,"Jonas, verso, l. 4",,,
197,31,4,ces,ces,_,,,---,---,---,,---,---,"Jonas, recto, l. 31",,,<gap/>
96,15,2,ci,ci,_,,,---,---,---,,---,---,"Jonas, recto, l. 15",,,
152,25,2,cie,cie…,_,,,---,---,---,,---,---,"Jonas, recto, l. 25",,,
98,15,4,co,co,|,,,---,---,---,,---,---,"Jonas, recto, l. 15",,<gap/></s>,<gap/>
165,27,2,co,co,_,,,---,---,---,,---,---,"Jonas, recto, l. 27",,,<gap/>
166,27,3,{co},co,_,,,---,---,---,,---,---,"Jonas, recto, l. 27",,,<gap/>
212,33,5,co,co…,_,,,---,---,---,,---,---,"Jonas, recto, l. 33",,,
78,11,3,de,de,|,,,---,---,---,,---,---,"Jonas, recto, l. 11",,<gap/></s><s><supplied>et erat ionas</supplied>,<gap/>
95,15,1,{de},de,_,,,---,---,---,,---,---,"Jonas, recto, l. 15",,,<lb n=&quot;15&quot;/><s><gap/>
164,27,1,{de},de,_,,,---,---,---,,---,---,"Jonas, recto, l. 27",,,<lb n=&quot;27&quot;/><s><gap/>
215,33,8,{deb},deb…,|,,,---,---,---,,---,---,"Jonas, recto, l. 33",,<gap/></s></p>,
203,32,3,dei,dei…,_,,,---,---,---,,---,---,"Jonas, recto, l. 32",,,
50,6,1,{des},des,_,,,---,---,---,,---,---,"Jonas, recto, l. 6",,,<lb n=&quot;6&quot;/><gap/><supplied>sanguinem ne</supplied>
19,3,2,{dicit},dicit,_,,,---,---,---,,---,---,"Jonas, recto, l. 3",,,<gap/>
57,6,8,dite,dite,|,,,---,---,---,,---,---,"Jonas, recto, l. 6",,<gap/></s>,<gap/>
184,29,5,e…,e…,_,,,---,---,---,,---,---,"Jonas, recto, l. 29",,,
506,50,19,ec,ec,|,,,---,---,---,,---,---,"Jonas, verso, l. 14",,,<s>
103,17,1,eila,eila,_,,,---,---,---,,---,---,"Jonas, recto, l. 17",,,
117,19,1,el,el,_,,,---,---,---,,---,---,"Jonas, recto, l. 19",,,<lb n=&quot;19&quot;/><s><gap/>
94,14,2,{exaud},exaud…,|,,,---,---,---,,---,---,"Jonas, recto, l. 14",,<gap/></s>,
200,31,7,in,in,|,,,---,---,---,,---,---,"Jonas, recto, l. 31",,<gap/></s>,
201,32,1,l,l,_,,,---,---,---,,---,---,"Jonas, recto, l. 32",,,<lb n=&quot;32&quot;/><s><gap/>
202,32,2,lun,lun,_,,,---,---,---,,---,---,"Jonas, recto, l. 32",,,<gap/>
74,9,1,maisso,maisso,|,,,---,---,---,,---,---,"Jonas, recto, l. 9",,<gap/></s>,<lb n=&quot;9&quot;/><s><gap/>
959,73,1,meum,meum,_,,,---,---,---,,---,---,"Jonas, verso, l. 37",,,<lb n=&quot;37&quot;/><gap/>
233,36,4,mo,mo…,|,,,---,---,---,,---,---,"Jonas, recto, l. 36",,<gap/></s></secl></p>,
55,6,6,n…,n…,_,,,---,---,---,,---,---,"Jonas, recto, l. 6",,,
149,24,7,no,no,_,,,---,---,---,,---,---,"Jonas, recto, l. 24",,,<gap/>
21,3,4,{no},no…,_,,,---,---,---,,---,---,"Jonas, recto, l. 3",,,
119,19,3,od,od,_,,,---,---,---,,---,---,"Jonas, recto, l. 19",,,<gap/>
229,35,4,s,s…,|,,,---,---,---,,---,---,"Jonas, recto, l. 35",,<gap/></s>,
196,31,3,{si},si,_,,,---,---,---,,---,---,"Jonas, recto, l. 31",,,
118,19,2,u,u,_,,,---,---,---,,---,---,"Jonas, recto, l. 19",,,
120,19,4,u,u,_,,,---,---,---,,---,---,"Jonas, recto, l. 19",,,
97,15,3,uelgent,velgent,_,,,---,---,---,,---,---,"Jonas, recto, l. 15",,,<gap/>
33,4,9,a,a,+,a,,fro,PRE,PRE,,à,DMF,"Jonas, recto, l. 4",,,
45,5,11,{a},a,_,a,,fro,PRE,PRE,,à,DMF,"Jonas, recto, l. 5",,,
154,25,4,a,a,_,a,,fro,PRE,PRE,,à,DMF,"Jonas, recto, l. 25",,,
417,46,9,a,a,_,a,,fro,PRE,PRE,,à,DMF,"Jonas, verso, l. 10",,,
460,48,12,a,a,_,a,,fro,PRE,PRE,,à,DMF,"Jonas, verso, l. 12",,,
464,48,16,a,a,_,a,,fro,PRE,PRE,,à,DMF,"Jonas, verso, l. 12",,,
629,56,16,a,a,_,a,,fro,PRE,PRE,,à,DMF,"Jonas, verso, l. 20",,,<gap/>
838,67,1,acheder,acheder,_,AkEdær,a.ch.e.d.e.r,fro,VERinf,VERinf,,acheter,DMF,"Jonas, verso, l. 31",,,<lb n=&quot;31&quot;/><s><gap/>
704,60,8,ache{derent},achederent,_,AkEdærəNT,a.ch.e.d.e.r.e.n.t,fro,VERcjg,VERcjg,indpsp6,acheter,DMF,"Jonas, verso, l. 24",,,
495,50,8,ad,ad,_,að,,fro,PRE,PRE,,à,DMF,"Jonas, verso, l. 14",,,
805,65,1,aiest,aiest,_,Ai-əST,a.i..e.s.t,fro,VERcjg,VERcjg,imp---5,avoir,DMF,"Jonas, verso, l. 29",,,<lb n=&quot;29&quot;/><supplied>inimicitiam</supplied></s><s><supplied>mais</supplied>
796,64,10,aiet,aiet,_,Ai-əð,a.i..e.t,fro,VERcjg,VERcjg,subpst3,avoir,DMF,"Jonas, verso, l. 28",,,
5,1,5,aler,aler,_,Alær,,fro,VERinf,VERinf,,aller,DMF,"Jonas, recto, l. 1",,,
826,66,5,alsmos{nes},alsmosnes,_,ALSmòSNəS,,fro,NOMcom,NOMcom,pfr,aumône,DMF,"Jonas, verso, l. 30",,,
206,32,6,ancel,ancel,_,ANÇèl,,fro,NOMcom,NOMcom,---,ancel,DMF,"Jonas, recto, l. 32",,,
581,54,16,astrei{ent},astreient,_,ASTrEi-əNT,a.s.t.r.e.i..e.n.t,fro,VERcjg,VERcjg,con---6,être,DMF,"Jonas, verso, l. 18",,,
304,40,15,astreiet,astreiet,_,ASTrEi-əð,a.s.t.r.e.i..e.t,fro,VERcjg,VERcjg,con---3,être,DMF,"Jonas, verso, l. 4",,,
393,45,1,astreiet,astreiet,_,ASTrEi-əð,a.s.t.r.e.i..e.t,fro,VERcjg,VERcjg,con---3,être,DMF,"Jonas, verso, l. 9",,,<lb n=&quot;9&quot;/><supplied>sa promesse</supplied></s><s><supplied>se ninive destruite</supplied>
389,44,16,auardeuet,auardevet,_,A-uArdævəð,a..u.a.r.d.e.v.e.t,fro,VERcjg,VERcjg,indipf3,agarder,DMF,"Jonas, verso, l. 8",,,
961,73,3,auant,avant,_,AvANT,,fro,ADVgen,ADVgen,,avant,DMF,"Jonas, verso, l. 37",,,
549,53,1,iet[=aueiet],aveiet,.,AvEi-əð,a.v.e.i..e.t,fro,VERcjg,VERcjg,indipf3,avoir,DMF,"Jonas, verso, l. 17",,</s>,<lb n=&quot;17&quot;/><supplied>dolor</supplied>
779,63,16,aueist,aveist,_,AvEiST,,fro,VERcjg,VERcjg,indpst5,avoir,DMF,"Jonas, verso, l. 27",,,
786,63,23,auient,avient,|,AviENT,,fro,VERcjg,VERcjg,indpst0,avenir,DMF,"Jonas, verso, l. 27",,,
787,64,1,n[=bien],bien,_,biEn,,fro,NOMcom,NOMcom,smr,bien,DMF,"Jonas, verso, l. 28",,,<lb n=&quot;28&quot;/><supplied>qe</supplied>
568,54,3,car,car,_,kar,,fro,CONcoo,CONcoo,,car,DMF,"Jonas, verso, l. 18",,,<s>
79,12,1,cel,cel,_,Çel,,fro,DETdem,DETdem,smr,cil,DMF,"Jonas, recto, l. 12",,,<lb n=&quot;12&quot;/><supplied>ventre de</supplied>
