wd_id,line_id,linewd,dipl,word,phon,phon_map,syllabified,wd_div,textlineid,syntag,syntag2,lang,lemma,lemma_src,lemma_dmf,pos,morph,ref,tei_right,tei_left,
1,1,1,Hora,hora,orə,ho.r.a,'/o\.r/(ə)\,_,1,Adv,Adv,fro,or2,DMF,or2,ADVgen,---,"Passion, l. 1",,<text><body xml:lang=&quot;fro&quot;><pb n=&quot;109v&quot;/><cb n=&quot;a&quot;/><lb/><lg n=&quot;1&quot; type=&quot;stanza&quot; met=&quot;octosyllable&quot; rhyme=&quot;aabb&quot;><l n=&quot;1&quot;>,
2,1,2,uos,vos,voS,v.o.s,v/o\S,_,1,Prn,Prn$$,fro,vous,DMF,vous,PRCper,5pmr,"Passion, l. 1",,,
3,1,3,dic,dic,diK,d.i.c,d/i\K,_,1,Vfin,Vfin,fro,dire,DMF,dire,VERcjg,indpst1,"Passion, l. 1",,,
4,1,4,uera,vera,verə,v.e.r.a,'v/e\.r/(ə)\,_,1,Adj,Adj,fro,dire,DMF,voir2,ADJqua,sfr,"Passion, l. 1",,,
5,1,5,raizun,raizun,rAiʣOn,r.a.i.z.u.n,r/A\i.'ʣ/O\n,.,1,N,N,fro,raison,DMF,raison,NOMcom,sfr,"Passion, l. 1",</l>,,
6,2,1,de,de,dE,d.e,d/(E)\,_,2,Pre,Pre,fro,de,DMF,de,PRE,---,"Passion, l. 2",,<l n=&quot;2&quot;>,
7,2,2,iesu,jesu,QVQV,j.e.s.u,Q/V\.'Q/V\,_,2,N,N,lat,Jesus,wiktionary,---,NOMpro,smr,"Passion, l. 2",,,
8,2,3,[christ]i,christi,QRVQQV,ch.r.i.s.t.i,'QR/V\Q.Q/V\,|,2,N,N,lat,Christus,wiktionary,Christ,NOMpro,smr,"Passion, l. 2",,,
9,2,4,passiun,passiun,pAsiOn,p.a.ss.i.u.n,p/A\.s/i\.'/O\n,.,2,N,N,fro,passion,DMF,passion,NOMcom,sfr,"Passion, l. 2",</l>,<lb/>,
10,3,1,los,los,LOS,l.o.s,L/O\S,+,3,Det,Det,fro,le,DMF,le,DETdef,pmr,"Passion, l. 3",,<l n=&quot;3&quot;>,
11,3,2,sos,sos,SoS,s.o.s,S/o\S,.,3,Adj,Adj,fro,son4,DMF,son4,ADJpos,3pmr,"Passion, l. 3",,,
