wd_id,line_id,line_wd,dipl,word,wd_div,phon,phon_map,syllabified,lang,pos,pos_syn,morph,lemma,lemma_src,lemma_dmf,ref,phil_note,tei_right,tei_left
1,1,1,TU,tu,_,,,,lat,ETR,ETR,,---,---,,"PrDieu, title",,,<text><body lang=&quot;pro&quot;><pb n=&quot;44r&quot; facs=&quot;https://gallica.bnf.fr/ark:/12148/btv1b6000946s/f95.item&quot;/><lb/><docTitle lang=&quot;lat&quot;>
2,1,2,AUTEM,autem,.|,,,,lat,ETR,ETR,,---,---,,"PrDieu, title",,</docTitle>,
3,2,1,Be,be,_,be,b.e,b/e\,pro,ADVgen,ADVgen,,béN,DOM,bien,"PrDieu, l. 1",,,<lb/><lg type=&quot;stanza&quot; rhyme=&quot;aaaaaa&quot; met=&quot;decasyllable&quot;><l n=&quot;1&quot;>
4,2,2,deu,deu,.,dɛu,d.e.u,d/ɛ\u,pro,VERcjg,VERcjg,indpst3,devér,DOM,devoir,"PrDieu, l. 1",,,
5,2,3,hoi,hoi,_,ɔi,ho.i,/ɔ\i,pro,ADVgen,ADVgen,,òi,DOM,hui,"PrDieu, l. 1",,,
6,2,4,mais,mais,.,mAiS,m.a.i.s,m/A\iS,pro,ADVgen,ADVgen,,mais,DOM,mais,"PrDieu, l. 1",,,
7,2,5,finir,finir,.,finir,f.i.n.i.r,f/i\.'n/i\r,pro,VERinf,VERinf,,fenir,DOM,finir,"PrDieu, l. 1",,,
8,2,6,nostra,nostra,.,nɔStrA,n.o.s.t.r.a,'n/ɔ\S.tr/(A)\,pro,DETpos,DETpos,sfn,nostra,DOM,notre,"PrDieu, l. 1",,,
9,2,7,razos,razos,.,rAzoS,r.a.z.o.s,r/A\.'z/o\S,pro,NOMcom,NOMcom,sfn,razóN,DOM,raison,"PrDieu, l. 1",,</l>,
10,3,1,un,un,_,yn,u.n,/y\n,pro,DETndf,DETndf,snr,uN,DOM,un,"PrDieu, l. 2",,,<l n=&quot;2&quot;>
11,3,2,pauc,pauc,.,pAuK,p.a.u.c,p/A\uK,pro,PRNind,PRNind,snr,pauc,DOM,peu,"PrDieu, l. 2",,,
12,3,3,soi,soi,+,Soi,s.o.i,S/o\i,pro,VERcjg,VERcjg,indpst1,èser,DOM,être,"PrDieu, l. 2",,,
13,3,4,las,las,.,LAS,l.a.s,L/A\S,pro,ADJqua,ADJqua,smn,las,DOM,las,"PrDieu, l. 2",,,
14,3,5,que,que,–|,kE,qu.e,k/E\,pro,CONsub,CONsub,,que2,DOM,que,"PrDieu, l. 2",,,
15,3,6,trop,trop,_,trɔP,t.r.o.p,tr/ɔ\P,pro,ADVgen,ADVgen,,tròp,DOM,trop,"PrDieu, l. 2",,,<lb/>
16,3,7,fo,fo,_,fo,f.o,f/o\,pro,VERcjg,VERcjg,indpsp3,èser,DOM,être,"PrDieu, l. 2",,,
17,3,8,aut,aut,–,AuT,a.u.t,/A\uT,pro,ADJqua,ADJqua,smn,aut,DOM,haut,"PrDieu, l. 2",,,
18,3,9,lo,lo,+,LO,l.o,L/(O)\,pro,DETdef,DETdef,smn,lo2,DOM,le,"PrDieu, l. 2",,,
19,3,10,sos,sos,–,SoS,s.o.s,S/o\S,pro,NOMcom,NOMcom,smn,sóN,DOM,son,"PrDieu, l. 2",,</l>,
20,4,1,leuen,leven,–,LɛvEn,l.e.v.e.n,'L/ɛ\.v/E\n,pro,VERcjg,VERcjg,indpst6,levar,DOM,lever,"PrDieu, l. 3",,,<l n=&quot;3&quot;>
21,4,2,doi,doi,–,doi,d.o.i,d/o\i,pro,DETcar,DETcar,pmn,dós,DOM,deux,"PrDieu, l. 3",,,
22,4,3,clerc,clerc,_,kLɛrK,c.l.e.r.c,kL/ɛ\rK,pro,NOMcom,NOMcom,pmn,clérc,DOM,clerc,"PrDieu, l. 3",,,
23,4,4,que,que,_,kE,qu.e,k/(E)\,pro,PRNrel,PRNrel,pmn,que,DOM,que,"PrDieu, l. 3",,,
24,4,5,di_ien,diien,–,diiEn,d.i.i.e.n,'d/i\i./E\n,pro,VERcjg,VERcjg,indpst6,dire,DOM,dire,"PrDieu, l. 3",,,
25,4,6,lo,lo,_,LO,l.o,L/(O)\,pro,DETdef,DETdef,smr,lo2,DOM,le,"PrDieu, l. 3",,,
26,4,7,respos,respos,–,rESpoS,r.e.s.p.o.s,r/E\S.'p/o\S,pro,NOMcom,NOMcom,smr,respós,DOM,répons,"PrDieu, l. 3",,</l>,
27,5,1,tu,tu,_,QV,t.u,Q/V\,lat,PRNper,PRNper,smn,tu,wiktionary,tu,"PrDieu, l. 4",,,<l n=&quot;4&quot;>
28,5,2,au|tem,autem,_,VQVN,au.t.e.m,'/V\.Q/V\N,lat,ADJqua,ADJqua,,autem,wiktionary,,"PrDieu, l. 4",,,
29,5,3,deus,deus,–,QVQ,d.eu.s,Q/V\Q,lat,NOMpro,NOMpro,smn,Deus,wiktionary,Dieu,"PrDieu, l. 4",,,<lb/>
30,5,4,q[ui],qui,_,ki,qu.i,k/<i>\,pro,PROrel,PROrel,smn,qui,DOM,qui,"PrDieu, l. 4",,,
31,5,5,est,est,–,EST,e.s.t,/E\ST,pro,VERcjg,VERcjg,indpst2,èser,DOM,être,"PrDieu, l. 4",,,
32,5,6,paire,paire,–,pAirE,p.a.i.r.e,'p/A\i.r/(E)\,pro,NOMcom,NOMcom,smn,paire,DOM,père,"PrDieu, l. 4",,,
33,5,7,glori_os,glorios,–,gLOrioS,g.l.o.r.i.o.s,gL/O\.r/i\.'/o\S,pro,ADJqua,ADJqua,smn,gloriós,DOM,glorieux,"PrDieu, l. 4",,</l>,
34,6,1,nos,nos,+,noS,n.o.s,n/o\S,pro,PRNper,PRNper,4pmn,nós,DOM,nous,"PrDieu, l. 5",,,<l n=&quot;5&quot;>
35,6,2,te,te,–,tE,t.e,t/(E)\,pro,PRCper,PRCper,2smr,te,DOM,te,"PrDieu, l. 5",,,
36,6,3,pre_iam,preiam,–,prEiAm,p.r.e.i.a.m,pr/E\i.'/A\m,pro,VERcjg,VERcjg,indpst4,pregar,DOM,prier,"PrDieu, l. 5",,,
37,6,4,que,que,+,kE,qu.e,k/(E)\,pro,CONsub,CONsub,,que2,DOM,que,"PrDieu, l. 5",,,
38,6,5,t,t,_,T,t,/\T,pro,PRCper,PRCper,2smr,te,DOM,te,"PrDieu, l. 5",,,
39,6,6,re_mem|bre,remembre,–,rEmENbrE,r.e.m.e.m.b.r.e,r/E\.'m/E\N.br/(E)\,pro,VERcjg,VERcjg,indpst0,remembrar,DOM,remembrer,"PrDieu, l. 5",,,
40,6,7,de,de,+,dE,d.e,d/(E)\,pro,PRE,PRE,,de,DOM,de,"PrDieu, l. 5",,,<lb/>
41,6,8,nos,nos,–,noS,n.o.s,n/o\S,pro,PRNper,PRNper,4pmr,nós,DOM,nous,"PrDieu, l. 5",,</l>,
42,7,1,quant,quant,–,kANT,qu.a.n.t,k/A\NT,pro,CONsub,CONsub,,can,DOM,quand,"PrDieu, l. 6",,,<l n=&quot;6&quot;>
43,7,2,tri_aras,triaras,–,triArAS,t.r.i.a.r.a.s,tr/i\./A\.'r/A\S,pro,VERcjg,VERcjg,indfut2,triar,DOM,trier,"PrDieu, l. 6",,,
44,7,3,los,los,_,LOS,l.o.s,L/O\S,pro,DETdef,DETdef,pmr,los,DOM,le,"PrDieu, l. 6",,,
45,7,4,mals,mals,–,mALS,m.a.l.s,m/A\LS,pro,ADJqua,NOMcom,pmr,mal,DOM,mal2,"PrDieu, l. 6",,,
46,7,5,d,d,+,d,d,d/\,pro,PRE,PRE,,de,DOM,de,"PrDieu, l. 6",,,
47,7,6,antre,antre,–,ANtrE,a.n.t.r.e,'/A\N.tr/(E)\,pro,PRE,PRE,,éntre,DOM,entre,"PrDieu, l. 6",,,
48,7,7,los,los,_,LOS,l.o.s,L/O\S,pro,DETdef,DETdef,pmr,los,DOM,le,"PrDieu, l. 6",,,
49,7,8,bos,bos,–,boS,b.o.s,b/o\S,pro,ADJqua,NOMcom,pmr,bóN,DOM,bon,"PrDieu, l. 6",,</l></lg></body></text>,
