wd_id,line_id,line_wd,dipl,word,wd_div,phon,phon_map,syllabified,lang,pos,pos_syn,morph,lemma,lemma_src,lemma_dmf,textlineid,ref,phil_note,tei_right,tei_left
1,1,1,VERS[US],versus,_,,,,lat,ETR,ETR,---,---,---,---,0,"PrVierge3, title",,,<text><body lang=&quot;pro&quot;><pb n=&quot;49r&quot; facs=&quot;https://gallica.bnf.fr/ark:/12148/btv1b6000946s/f105.item&quot;/><lb/><docTitle xml:lang=&quot;lat&quot;>
2,1,2,S[ANCTE],sancte,_,,,,lat,ETR,ETR,---,---,---,---,0,"PrVierge3, title",,,
3,1,3,MARIE,marie,.|,,,,lat,ETR,ETR,---,---,---,---,0,"PrVierge3, title",,</docTitle>,
4,2,1,O,o,_,O,o,/O\,pro,EXC,EXC,---,ô,DMF,ô,1,"PrVierge3, l. 1",,,<lb/><lg n=&quot;1&quot; type=&quot;stanza&quot; rhyme=&quot;aabb&quot;><l n=&quot;1&quot;>
5,2,2,maria,maria,–,mAriA,m.a.r.i.a,m/A\.'r/i\./(A)\,pro,NOMpro,NOMpro,sfn,Marie,wikipedia.fr,,1,"PrVierge3, l. 1",,,
6,2,3,deu,deu,–,dɛu,d.e.u,d/ɛ\u,pro,NOMpro,NOMpro,smr,dèu,DOM,Dieu,1,"PrVierge3, l. 1",,,
7,2,4,maire,maire,–,mAirE,m.a.i.r.e,'m/A\i.r/(E)\,pro,NOMcom,NOMcom,sfn,maire,DOM,mère,1,"PrVierge3, l. 1",,</l>,
8,3,1,deu,deu,+,dɛu,d.e.u,d/ɛ\u,pro,NOMpro,NOMpro,smn,dèu,DOM,Dieu,2,"PrVierge3, l. 2",,,<l n=&quot;2&quot;>
9,3,2,t,t,+,t,t,t/\,pro,PRCper,PRCper,2sfr,te,DOM,te,2,"PrVierge3, l. 2",,,
10,3,3,es,es,–,ES,e.s,/E\S,pro,VERcjg,VERcjg,indpst3,èser,DOM,être,2,"PrVierge3, l. 2",,,
11,3,4,e,e,+,E,e,/E\,pro,CONcoo,CONcoo,---,e,DOM,et,2,"PrVierge3, l. 2",,,
12,3,5,fils,fils,–,fiLS,f.i.l.s,f/i\LS,pro,NOMcom,NOMcom,smn,filh,DOM,fils,2,"PrVierge3, l. 2",,,
13,3,6,e,e,+,E,e,/E\,pro,CONcoo,CONcoo,---,e,DOM,et,2,"PrVierge3, l. 2",,,
14,3,7,paire,paire,–,pAirE,p.a.i.r.e,'p/A\i.r/(E)\,pro,NOMcom,NOMcom,smn,paire,DOM,père,2,"PrVierge3, l. 2",,</l>,
15,4,1,Domna,domna,–,dOmnA,d.o.m.n.a,'d/O\m.n/(A)\,pro,NOMcom,NOMcom,sfn,dómna,DOM,dame,3,"PrVierge3, l. 3",,,<l n=&quot;3&quot;>
16,4,2,preia,preia,–,prɛiA,p.r.e.i.a,'pr/ɛ\i./(A)\,pro,VERcjg,VERcjg,imp---2,pregar,DOM,prier,3,"PrVierge3, l. 3",,,
17,4,3,p[er],per,_,pEr,p.e.r,p/E\r,pro,PRE,PRE,---,pér,DOM,par,3,"PrVierge3, l. 3",,,
18,4,4,nos,nos,–|,noS,n.o.s,n/o\S,pro,PRNper,PRNper,4pmr,nós,DOM,nous,3,"PrVierge3, l. 3",,</l>,
19,5,1,to,to,_,tO,t.o,t/O\,pro,DETpos,DETpos,2smr,ton2,DOM,ton2,4,"PrVierge3, l. 4",,,<lb/><l n=&quot;4&quot;>
20,5,2,fil,fil,–,fiʎ,f.i.l,f/i\ʎ,pro,NOMcom,NOMcom,smr,filh,DOM,fils,4,"PrVierge3, l. 4",,,
21,5,3,lo,lo,_,LO,l.o,L/(O)\,pro,DETdef,DETdef,smr,lo2,DOM,le,4,"PrVierge3, l. 4",,,
22,5,4,glorios,glorios,–,gLOrioS,g.l.o.r.i.o.s,gL/O\.r/i\.'/o\S,pro,ADJqua,ADJqua,smr,gloriós,DOM,glorieux,4,"PrVierge3, l. 4",,</l></lg>,
23,6,1,E,e,_,E,e,/E\,pro,CONcoo,CONcoo,---,e,DOM,et,5,"PrVierge3, l. 5",,,<lg n=&quot;2&quot; type=&quot;stanza&quot; rhyme=&quot;aabb&quot;><l n=&quot;5&quot;>
24,6,2,lo,lo,_,LO,l.o,L/(O)\,pro,DETdef,DETdef,smr,lo2,DOM,le,5,"PrVierge3, l. 5",,,
25,6,3,pair,pair,–,pAir0,p.a.i.r.,'p/A\i.r/[0]\,pro,NOMcom,NOMcom,smr,paire,DOM,père,5,"PrVierge3, l. 5",,,
26,6,4,aissamen,aissamen,–,AisAmEn,a.i.ss.a.m.e.n,/A\i.s/A\.'m/E\n,pro,ADVgen,ADVgen,---,aisamen,DOM,,5,"PrVierge3, l. 5",,</l>,
27,7,1,p[re]ia,preia,–,prɛiA,p.r.e.i.a,'pr/ɛ\i./(A)\,pro,VERcjg,VERcjg,imp---2,pregar,DOM,prier,6,"PrVierge3, l. 6",,,<l n=&quot;6&quot;>
28,7,2,p[er],per,–,pEr,p.e.r,p/E\r,pro,PRE,PRE,---,pér,DOM,par,6,"PrVierge3, l. 6",,,
29,7,3,tota,tota,_,totA,t.o.t.a,'t/o\.t/(A)\,pro,DETind,DETind,sfr,tót,DOM,tout,6,"PrVierge3, l. 6",,,
30,7,4,ien,jen,_,ʤEn,j.e.n,ʤ/E\n,pro,NOMcom,NOMcom,sfr,gén,DOM,gent,6,"PrVierge3, l. 6",,</l>,
