wd_id,line_id,linewd,word,dipl,wd_div,phon,phon_map,syllabified,lang,pos,morph,lemma,lemma_src,lemma_dmf,phil_note,ref,tei_right,tei_left
1,1,1,legir,[L]EGIR,_,LEʤir,l.e.g.i.r,L/E\.'ʤ/i\r,pro,VERinf,---,legir,DOM,lire,,"SFoi, l. 1",,<text><body xml:lang=&quot;pro&quot;><pb n=&quot;14v&quot;/><lg n=&quot;1&quot; type=&quot;laisse&quot; met=&quot;octosyllable&quot;><l n=&quot;1&quot;>
2,1,2,audi,AUDI,_,Auði,a.u.d.i,/A\u.'ð/i\,pro,VERcjg,indpsp1,auzir,DOM,ouïr,,"SFoi, l. 1",,
3,1,3,sotz,SOTZ,_,SotS,s.o.t.z,S/o\tS,pro,PRE,---,sótz,DOM,sous,,"SFoi, l. 1",,
4,1,4,eiss,EISS,_,eis,e.i.ss,/e\is,pro,ADJind,smr,éis,DOM,---,,"SFoi, l. 1",,
5,1,5,un,VN,_,yn,u.n,/y\n,pro,DETndf,smr,uN,DOM,un,,"SFoi, l. 1",,
6,1,6,pin,PIN,.|,pin,p.i.n,p/i\n,pro,NOMcom,smr,piN,DOM,pin,,"SFoi, l. 1",</l>,
7,2,1,de,de,+,dE,d.e,d/(E)\,pro,PRE,---,de,DOM,de,,"SFoi, l. 2",,<lb/><l n=&quot;2&quot;>
8,2,2,l,l,_,L,l,/\L,pro,DETdef,smr,lo2,DOM,le,,"SFoi, l. 2",,
9,2,3,vell,vell,_,veʎ,v.e.ll,v/e\ʎ,pro,ADJqua,smr,vélh,DOM,vieux,,"SFoi, l. 2",,
10,2,4,temps,temps,_,tENpS,t.e.m.p.s,t/E\NpS,pro,NOMcom,smr,témps,DOM,temps,,"SFoi, l. 2",,
11,2,5,un,un,_,yn,u.n,/y\n,pro,DETndf,smr,uN,DOM,un,,"SFoi, l. 2",,
12,2,6,libre,libre,_,LibrE,l.i.b.r.e,'L/i\.br/(E)\,pro,NOMcom,smr,libre,DOM,livre,,"SFoi, l. 2",,
13,2,7,latin,latin,.,LAtin,l.a.t.i.n,L/A\.'t/i\n,pro,ADJqua,smr,latiN,DOM,latin,,"SFoi, l. 2",</l>,
14,3,1,tot,tot,_,tot,t.o.t,t/o\t,pro,PRNind,smr,tót,DOM,tout,,"SFoi, l. 3",,<l n=&quot;3&quot;>
15,3,2,l,l,+,L,l,L/\,pro,PRCper,3sma,lo3,DOM,le,,"SFoi, l. 3",,
16,3,3,escoltei,escol|tei,_,ESkOLtɛi,e.s.c.o.l.t.e.i,/E\S.k/O\L.'t/ɛ\i,pro,VERcjg,indpsp1,escoltar,DOM,écouter,,"SFoi, l. 3",,
17,3,4,tro,tro,+,trO,t.r.o,tr/(O)\,pro,PRE,---,tro,DOM,entre,,"SFoi, l. 3",,<lb/>
18,3,5,a,a,_,A,a,/A\,pro,PRE,---,a2,DOM,à,,"SFoi, l. 3",,
19,3,6,la,la,_,LA,l.a,L/A\,pro,DETdef,sfr,la,DOM,le,,"SFoi, l. 3",,
20,3,7,fin,fin,.,fin,f.i.n,f/i\n,pro,NOMcom,sfr,fiN,DOM,fin,,"SFoi, l. 3",</l>,
21,4,1,hanc,hanc,_,ANk,ha.n.c,/A\Nk,pro,ADVgen,---,anc,DOM,oncques,,"SFoi, l. 4",,<l n=&quot;4&quot;>
22,4,2,non,no[n],+,nOn,n.o.n,n/O\n,pro,ADVneg,---,nóN,DOM,ne,,"SFoi, l. 4",,
23,4,3,fo,fo,_,fo,f.o,f/o\,pro,VERcjg,indpsp3,èser,DOM,être,,"SFoi, l. 4",,
24,4,4,senz,senz,_,SENÇ,s.e.n.z,S/E\NÇ,pro,NOMcom,smn,sén,DOM,sens,,"SFoi, l. 4",,
25,4,5,q,q,+,k,q,k/\,pro,CONsub,---,que2,DOM,que,,"SFoi, l. 4",,
26,4,6,el,el,_,el,e.l,/e\l,pro,PRNper,3smn,el2,DOM,il,,"SFoi, l. 4",,
27,4,7,non,no[n],+,nOn,n.o.n,n/O\n,pro,ADVneg,---,nóN,DOM,ne,,"SFoi, l. 4",,
28,4,8,l,l,_,L,l,/\L,pro,PRCper,3sma,lo3,DOM,le,,"SFoi, l. 4",,
29,4,9,declin,de|clin,.,dEkLin,d.e.c.l.i.n,d/E\.'kL/i\n,pro,VERcjg,subpst3,declinar,DOM,décliner,,"SFoi, l. 4",</l>,
30,5,1,parled,parled,_,pArLɛd,p.a.r.l.e.d,p/A\r.'L/ɛ\d,pro,VERcjg,indpsp3,parlar,DOM,parler,,"SFoi, l. 5",,<lb/><l n=&quot;5&quot;>
31,5,2,de,de,+,dE,d.e,d/(E)\,pro,PRE,---,de,DOM,de,,"SFoi, l. 5",,
32,5,3,l,l,_,L,l,/\L,pro,DETdef,smr,lo2,DOM,le,,"SFoi, l. 5",,
33,5,4,pair,pair,+,pAir0,p.a.i.r.,'p/A\i.r/[0]\,pro,NOMcom,smr,paire,DOM,père,,"SFoi, l. 5",,
34,5,5,a,a,+,A,a,/A\,pro,PRE,---,a2,DOM,à,,"SFoi, l. 5",,
35,5,6,l,l,_,L,l,/\L,pro,DETdef,smr,lo2,DOM,le,,"SFoi, l. 5",,
36,5,7,rei,rei,_,rei,r.e.i,r/e\i,pro,NOMcom,smr,réi,DOM,roi,,"SFoi, l. 5",,
37,5,8,licin,licin,.,Liʦin,l.i.c.i.n,L/i\.'ʦ/i\n,pro,NOMpro,smr,Licin,---,---,,"SFoi, l. 5",</l>,
38,6,1,e,e,+,e,e,/e\,pro,CONcoo,---,e,DOM,et,,"SFoi, l. 6",,<l n=&quot;6&quot;>
39,6,2,de,de,+,dE,d.e,d/(E)\,pro,PRE,---,de,DOM,de,,"SFoi, l. 6",,
40,6,3,l,l,|,L,l,/\L,pro,DETdef,smr,lo2,DOM,le,,"SFoi, l. 6",,
41,6,4,linnadg,linnadg,+,LiɲAdʤ0,l.i.nn.a.d.g.,L/i\.'ɲ/A\d.ʤ/[0]\,pro,NOMcom,smr,linhatge,DOM,lignage,,"SFoi, l. 6",,<lb/>
42,6,5,a,a,+,A,a,/A\,pro,PRE,---,a2,DOM,à,,"SFoi, l. 6",,
43,6,6,l,l,_,L,l,/\L,pro,DETdef,smr,lo2,DOM,le,,"SFoi, l. 6",,
44,6,7,maximin,maximin,.,mAkSimin,m.a.x..i.m.i.n,m/A\k.S/i\.'m/i\n,pro,NOMpro,smr,Maximien,---,---,,"SFoi, l. 6",</l>,
45,7,1,cel,cel,_,Çel,c.e.l,Ç/e\l,pro,PRNdem,pmn,cél2,DOM,cil,,"SFoi, l. 7",,<l n=&quot;7&quot;>
46,7,2,meiro,meiro,+,meirO,m.e.i.r.o,'m/e\i.r/O\,pro,VERcjg,indpsp6,métre,DOM,mettre,,"SFoi, l. 7",,
47,7,3,ls,ls,_,LS,l.s,/\LS,pro,DETdef,pmr,los,DOM,le,,"SFoi, l. 7",,
48,7,4,saintz,saintz,|,SAiNtS,s.a.i.n.t.z,S/A\iNtS,pro,NOMcom,pmr,sanh,DOM,saint,,"SFoi, l. 7",,
49,7,5,en,en,+,EN,e.n,/E\N,pro,PRE,---,én,DOM,en,,"SFoi, l. 7",,<lb/>
50,7,6,tal,tal,_,tAl,t.a.l,t/A\l,pro,DETind,smr,tal,DOM,tel,,"SFoi, l. 7",,
51,7,7,train,train,.,trAin,t.r.a.i.n,tr/A\.'/i\n,pro,NOMcom,smr,tragiN,DOM,train,,"SFoi, l. 7",</l>,
52,8,1,con,co[n],_,kOn,c.o.n,k/O\n,pro,CONsub,---,cóm,DOM,comme,,"SFoi, l. 8",,<l n=&quot;8&quot;>
53,8,2,fa,fa,+,fA,f.a,f/A\,pro,VERcjg,indpst3,faire,DOM,faire,,"SFoi, l. 8",,
54,8,3,l,l,_,L,l,/\L,pro,DETdef,smn,lo2,DOM,le,,"SFoi, l. 8",,
55,8,4,venaire,uenaire,+,vEnAirE,v.e.n.a.i.r.e,v/E\.'n/A\i.r/(E)\,pro,NOMcom,smn,venadór,DOM,veneur,,"SFoi, l. 8",,
56,8,5,ls,ls,_,LS,l.s,/\LS,pro,DETdef,pmr,los,DOM,le,,"SFoi, l. 8",,
