wd_id,line_id,line_wd,dipl,word,phon,phon_map,syllabified,wd_div,pos,pos_syn,morph,lemma,lemma_src,lemma_dmf,ref,tei_right,tei_left
1,1,1,[E]ste,este,ɛStə,e.s.t.e,'/ɛ\S.t/ə\,_,ADVgen,ADVgen,,es2,DMF,es2,"SGregPaint, 34v, l. 19",,<text><body><pb n=&quot;34v&quot;/><lb n=&quot;19&quot;/><head><s>
2,1,2,uus,vus,vuS,v.u.s,v/u\S,_,PRNper,PRNper,5pmr,vous,DMF,vous,"SGregPaint, 34v, l. 19",,
3,1,3,le,le,LE,l.e,L/E\,_,DETdef,DETdef,smr,le,DMF,le,"SGregPaint, 34v, l. 19",,
4,1,4,respuns,respuns,rESpONS,r.e.s.p.u.n.s,r/E\S.'p/O\NS,_,NOMcom,NOMcom,smr,répons,DMF,répons,"SGregPaint, 34v, l. 19",,
5,1,5,saint,saint,SAiNT,s.a.i.n.t,S/A\iNT,_,ADJqua,ADJqua,smr,saint,DMF,saint,"SGregPaint, 34v, l. 19",,
6,1,6,gregorie,gregorie,grEgɔriə,g.r.e.g.o.r.i.e,gr/E\.'g/ɔ\.ri/ə\,_,NOMpro,NOMpro,smr,Grégoire,---,,"SGregPaint, 34v, l. 19",,
7,1,7,a,a,a,a,/a\,+,PRE,PRE,,à,DMF,à,"SGregPaint, 34v, l. 19",,
8,1,8,secundin,secundin,SEkONdin,s.e.c.u.n.d.i.n,S/E\.k/O\N.'d/i\n,_,NOMpro,NOMpro,smr,Sécondius,---,,"SGregPaint, 34v, l. 19",,
9,1,9,le,le,LE,l.e,L/E\,+,DETdef,DETdef,smr,le,DMF,le,"SGregPaint, 34v, l. 19",,
10,1,10,reclus,reclus,rEkLyS,r.e.c.l.u.s,r/E\.'kL/y\S,|,NOMcom,NOMcom,smr,reclus,DMF,reclus,"SGregPaint, 34v, l. 19",,
11,1,11,cum,cum,kOm,c.u.m,k/O\m,_,CONsub,CONsub,,comme,DMF,comme,"SGregPaint, 34v, l. 20bis",,<lb n=&quot;20-21bis&quot;/>
12,1,12,il,il,iL,i.l,/i\L,_,PRNper,PRNper,3smn,il,DMF,il,"SGregPaint, 34v, l. 20bis",,
13,1,13,demandout,demandout,dEmÆNdɔuT,d.e.m.a.n.d.o.u.t,d/E\.m/Æ\N.'d/ɔ\uT,_,VERcjg,VERcjg,indipf3,demander,DMF,demander,"SGregPaint, 34v, l. 20bis",,
14,1,14,raison,raison,rAizOn,r.a.i.s.o.n,r/A\i.'z/O\n,+,NOMcom,NOMcom,sfr,raison,DMF,raison,"SGregPaint, 34v, l. 20bis",,
15,1,15,de,de,dE,d.e,d/E\,+,PRE,PRE,,de,DMF,de,"SGregPaint, 34v, l. 20bis",,
16,1,16,s,s,S,s,/\S,|,DETdef,DETdef,pfr,le,DMF,le,"SGregPaint, 34v, l. 20bis",,
17,1,17,paintures,paintures,pÆiNtyrəS,p.a.i.n.t.u.r.e.s,p/Æ\iN.'t/y\.r/ə\S,.|,NOMcom,NOMcom,pfr,peinture,DMF,peinture,"SGregPaint, 34v, l. 21bis",</s></head>,
18,2,1,Altra,altra,aLtrə,a.l.t.r.a,'/a\L.tr/ə\,_,ADJind,ADJind,sfn,autre,DMF,autre,"SGregPaint, 34v, l. 20",,<lb n=&quot;20&quot;/><p><s>
19,2,2,ćóse,cose,kɔzə,c.o.s.e,'k/ɔ\.z/ə\,_,NOMcom,NOMcom,sfn,chose,DMF,chose,"SGregPaint, 34v, l. 20",,
20,2,3,est,est,EST,e.s.t,/E\ST,_,VERcjg,VERcjg,indpst3,être,DMF,être,"SGregPaint, 34v, l. 20",,
21,2,4,aúrier,aurier,Aurær,a.u.r.ie.r,/A\./u\.'r/æ\r,_,VERinf,VERinf,,aorer,DMF,aorer,"SGregPaint, 34v, l. 20",,
22,2,5,la,la,La,l.a,L/a\,+,DETdef,DETdef,sfr,le,DMF,le,"SGregPaint, 34v, l. 20",,
