wd_id,line_id,linewd,dipl,word,phon,phon_map,syllabified,wd_div,textlineid,lang,syntag,syntag2,lemma,lemma_src,lemma_dmf,pos,pos_syn,morph,phil_note,ref,tei_right,tei_left
1,1,1,Domine_deu,dominedeu,QVRVRVQV,d.o.m.i.n.e.d.eu,Q/V\.R/V\.R/V\.'Q/V\,_,1,lat,N,N,Damedieu,DMF,Damedieu,NOMpro,NOMpro,smr,,"SLeger, l. 1",,<text><body xml:lang=&quot;fro&quot;><pb facs=&quot;https://www.bibliotheques-clermontmetropole.eu/overnia/notice.php?q=id:71595&quot; n=&quot;159v&quot;/><cb n=&quot;c&quot;/><lg n=&quot;1&quot; rhyme=&quot;aabbcc&quot; type=&quot;stanza&quot; met=&quot;octosyllable&quot;><l n=&quot;1&quot;>
2,1,2,deuemps,devemps,dEvENPS,d.e.v.e.m.p.s,d/E\.'v/E\NPS,|,1,fro,Vfin,Vfin,devoir,DMF,devoir,VERcjg,VERcjg,indpst4,,"SLeger, l. 1",,
3,1,3,lauder,lauder,LAuðær,l.a.u.d.e.r,L/A\u.'ð/æ\r,.,1,fro,Vinf,Vinf,louer,DMF,louer,VERinf,VERinf,,,"SLeger, l. 1",</l>,<lb/>
4,2,1,et,et,eð,e.t,/e\ð,_,2,fro,Crd,Crd,et,DMF,et,CONcoo,CONcoo,,,"SLeger, l. 2",,<l n=&quot;2&quot;>
5,2,2,a,a,A,a,/A\,+,2,fro,Pre,Pre,à,DMF,à,PRE,PRE,,,"SLeger, l. 2",,
6,2,3,sos,sos,SoS,s.o.s,S/o\S,_,2,fro,Adj,Adj,son4,DMF,son4,ADJpos,ADJpos,3pmr,,"SLeger, l. 2",,
7,2,4,sancz,sancz,SANTS,s.a.n.c.z,S/A\NTS,|,2,fro,Adj,Adj,saint,DMF,saint,ADJqua,NOMcom,pmr,,"SLeger, l. 2",,
8,2,5,honor,honor,Onor,ho.n.o.r,/O\.'n/o\r,_,2,fro,N,N,honneur,DMF,honneur,NOMcom,NOMcom,sfr,,"SLeger, l. 2",,<lb/>
9,2,6,porter,porter,pOrtær,p.o.r.t.e.r,p/O\r.'t/æ\r,.,2,fro,Vinf,Vinf,porter,DMF,porter,VERinf,VERinf,,,"SLeger, l. 2",</l>,
10,3,1,in,in,iN,i.n,/i\N,+,3,fro,Pre,Pre,en,DMF,en,PRE,PRE,,,"SLeger, l. 3",,<l n=&quot;3&quot;>
11,3,2,su,su,So,s.u,S/o\,+,3,fro,Det,Det,son4,DMF,son4,DETpos,DETpos,3sfr,,"SLeger, l. 3",,
12,3,3,amor,amor,Amor,a.m.o.r,/A\.'m/o\r,_,3,fro,N,N,amour,DMF,amour,NOMcom,NOMcom,sfr,,"SLeger, l. 3",,
13,3,4,cantomps,cantomps,ċANtONPS,c.a.n.t.o.m.p.s,ċ/A\N.'t/O\NPS,|,3,fro,Vfin,Vfin,chanter,DMF,chanter,VERcjg,VERcjg,indpst4,,"SLeger, l. 3",,
14,3,5,de,de,dE,d.e,d/(E)\,+,3,fro,Pre,Pre,de,DMF,de,PRE,PRE,,,"SLeger, l. 3",,<lb/>
15,3,6,l,l,L,l,/\L,+,3,fro,Det,Det,le,DMF,le,DETdef,DETdef,pmr,,"SLeger, l. 3",,
