wd_id,line_id,line_wd,dipl,word,phon,phon_map,syllabified,wd_div,lang,para_id,syntag,syntag2,lemma,lemma_src,lemma_dmf,pos,pos_syn,morph,ref,tei_right,tei_left
1,1,1,Lodhu_uic[us],lodhuuicus,,,,_,lat,1,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 3",,<text><body><pb facs=&quot;https://gallica.bnf.fr/ark:/12148/btv1b84238417/f29.item&quot; n=&quot;13r&quot;/><cb n=&quot;b&quot;/><lb n=&quot;3&quot;/><p xml:lang=&quot;lat&quot;><s>
2,1,2,q[uonia]m,quoniam,,,,_,lat,1,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 3",,
3,1,3,maior,maior,,,,_,lat,1,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 3",,
4,1,4,natu,natu,,,,_,lat,1,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 3",,
5,1,5,erat,erat,,,,.,lat,1,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 3",,
6,1,6,prior,prior,,,,|,lat,1,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 3",,
7,2,1,haec,haec,,,,_,lat,1,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 4",,<lb n=&quot;4&quot;/>
8,2,2,deinde,deinde,,,,_,lat,1,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 4",,
9,2,3,se,se,,,,+,lat,1,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 4",,
10,2,4,seruaturu[m],servaturum,,,,_,lat,1,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 4",,
11,2,5,testatus,testatus,,,,_,lat,1,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 4",,
12,2,6,[est],est,,,,|,lat,1,Etr,Etr,---,---,,ETR,ETR,,"Serments, 13r, col. b, l. 4",</s></p>,
13,3,1,Pro,pro,prO,p.r.o,pr/O\,_,fro,2,Pre,Pre,pour,DMF,pour,PRE,PRE,,"Serments, 13r, col. b, l. 5",,<lb n=&quot;5&quot;/><p><q><s xml:lang=&quot;fro&quot;>
14,3,2,d[e]o,deo,dɛu,d.e.o,d/ɛ\u,_,fro,2,N,N,Dieu,DMF,Dieu,NOMpro,NOMpro,smr,"Serments, 13r, col. b, l. 5",,
15,3,3,amur,amur,Amor,a.m.u.r,/A\.'m/o\r,_,fro,2,N,N,amour,DMF,amour,NOMcom,NOMcom,sfr,"Serments, 13r, col. b, l. 5",,
16,3,4,[et],et,eð,e.t,/e\ð,_,fro,2,Crd,Crd,et,DMF,et,CONcoo,CONcoo,,"Serments, 13r, col. b, l. 5",,
17,3,5,p[ro],pro,prO,p.r.o,pr/O\,+,fro,2,Pre,Pre,pour,DMF,pour,PRE,PRE,,"Serments, 13r, col. b, l. 5",,
