wd_id,line_id,line_wd,dipl,word,phon,phon_map,syllabified,wd_div,lang,textlineid,pos,pos_syn,morph,lemma,lemma_src,lemma_dmf,ref,phil_note,tei_right,tei_left
1,1,1,SPONS[US],sponsus,,,,.,lat,---,ETR,ETR,,---,---,,"Sponsus, f. 53r, rubric",,</docTitle></front>,<text><front><pb n=&quot;53r&quot;/><lb/><docTitle>
2,2,1,Ad–est,adest,VQVQQ,a.d.e.s.t,'/V\.Q/V\QQ,–,lat,1,ETR,ETR,,---,---,,"Sponsus, l. 1",,,<body xml:lang=&quot;pro&quot;><prologue><sp><lg xml:lang=&quot;lat&quot;><l n=&quot;1&quot;>
3,2,2,spo[n]sus,sponsus,QQVRQVQ,s.p.o.n.s.u.s,'QQ/V\R.Q/V\Q,–|,lat,1,ETR,ETR,,---,---,,"Sponsus, l. 1",,,
4,2,3,qui,qui,QRV,q.u.i,QR/V\,_,lat,1,ETR,ETR,,---,---,,"Sponsus, l. 1",,,<pb n=&quot;53v&quot;/><lb/>
5,2,4,est,est,VQQ,e.s.t,/V\QQ,–,lat,1,ETR,ETR,,---,---,,"Sponsus, l. 1",,,
6,2,5,christus,christus,QQRVQQVQ,c.h.r.i.s.t.u.s,'QQR/V\Q.Q/V\Q,–,lat,1,ETR,ETR,,---,---,,"Sponsus, l. 1",,,
7,2,6,uigilate,vigilate,QVQVRVQV,v.i.g.i.l.a.t.e,Q/V\.Q/V\.'R/V\.Q/V\,–,lat,1,ETR,ETR,,---,---,,"Sponsus, l. 1",,,
8,2,7,uirgines,virgines,QVRQVRVQ,v.i.r.g.i.n.e.s,'Q/V\R.Q/V\.R/V\Q,–,lat,1,ETR,ETR,,---,---,,"Sponsus, l. 1",,</l>,
9,3,1,p[ro],pro,QRV,p.r.o,QR/V\,+,lat,2,ETR,ETR,,---,---,,"Sponsus, l. 2",,,<l n=&quot;2&quot;>
10,3,2,aduentu,adventu,VQQVRQV,a.d.v.e.n.t.u,/V\Q.'Q/V\R.Q/V\,–,lat,2,ETR,ETR,,---,---,,"Sponsus, l. 2",,,
