wd_id,line_id,line_wd,dipl,word,wd_div,lang,pos,pos_syn,morph,lemma,lemma_src,lemma_dmf,ref,phil_note,tei_right,tei_left
1,1,1,TU,tu,_,lat,ETR,,,---,---,,"TuAutem, title",,,<text><body lang=&quot;pro&quot;><pb n=&quot;44r&quot; facs=&quot;https://gallica.bnf.fr/ark:/12148/btv1b6000946s&quot;/><lb/><docTitle lang=&quot;lat&quot;>
2,1,2,AUTEM,autem,.|,lat,ETR,,,---,---,,"TuAutem, title",,</docTitle>,
3,2,1,Be,be,_,pro,ADVgen,ADVgen,,béN,DOM,bien,"TuAutem, l. 1",,,<lb/><lg type=&quot;stanza&quot; rhyme=&quot;aaaaaa&quot; met=&quot;decasyllable&quot;><l n=&quot;1&quot;>
4,2,2,deu,deu,.,pro,VERcjg,VERcjg,indpst3,devér,DOM,devoir,"TuAutem, l. 1",,,
5,2,3,hoi,hoi,_,pro,ADVgen,ADVgen,,òi,DOM,hui,"TuAutem, l. 1",,,
6,2,4,mais,mais,.,pro,ADVgen,ADVgen,,mais,DOM,mais,"TuAutem, l. 1",,,
7,2,5,finir,finir,.,pro,VERinf,VERinf,,fenir,DOM,finir,"TuAutem, l. 1",,,
8,2,6,nostra,nostra,.,pro,DETpos,DETpos,sfn,nostra,DOM,notre,"TuAutem, l. 1",,,
9,2,7,razos,razos,.,pro,NOMcom,NOMcom,sfn,razóN,DOM,raison,"TuAutem, l. 1",,</l>,
10,3,1,un,un,_,pro,DETndf,DETndf,snr,uN,DOM,un,"TuAutem, l. 2",,,<l n=&quot;2&quot;>
11,3,2,pauc,pauc,.,pro,PRNind,PRNind,snr,pauc,DOM,peu,"TuAutem, l. 2",,,
12,3,3,soi,soi,+,pro,VERcjg,VERcjg,indpst1,èser,DOM,être,"TuAutem, l. 2",,,
13,3,4,las,las,.,pro,ADJqua,ADJqua,smn,las,DOM,las,"TuAutem, l. 2",,,
14,3,5,que,que,–|,pro,CONsub,CONsub,,que2,DOM,que,"TuAutem, l. 2",,,
15,3,6,trop,trop,_,pro,ADVgen,ADVgen,,tròp,DOM,trop,"TuAutem, l. 2",,,<lb/>
16,3,7,fo,fo,_,pro,VERcjg,VERcjg,indpsp3,èser,DOM,être,"TuAutem, l. 2",,,
17,3,8,aut,aut,–,pro,ADJqua,ADJqua,smn,aut,DOM,haut,"TuAutem, l. 2",,,
18,3,9,lo,lo,+,pro,DETdef,DETdef,smn,lo2,DOM,le,"TuAutem, l. 2",,,
19,3,10,sos,sos,–,pro,NOMcom,NOMcom,smn,sóN,DOM,son,"TuAutem, l. 2",,</l>,
20,4,1,leuen,leven,–,pro,VERcjg,VERcjg,indpst6,levar,DOM,lever,"TuAutem, l. 3",,,<l n=&quot;3&quot;>
21,4,2,doi,doi,–,pro,DETcar,DETcar,pmn,dós,DOM,deux,"TuAutem, l. 3",,,
22,4,3,clerc,clerc,_,pro,NOMcom,NOMcom,pmn,clérc,DOM,clerc,"TuAutem, l. 3",,,
23,4,4,que,que,_,pro,PRNrel,PRNrel,pmn,que,DOM,que,"TuAutem, l. 3",,,
24,4,5,di_ien,diien,–,pro,VERcjg,VERcjg,indpst6,dire,DOM,dire,"TuAutem, l. 3",,,
25,4,6,lo,lo,_,pro,DETdef,DETdef,smr,lo2,DOM,le,"TuAutem, l. 3",,,
26,4,7,respos,respos,–,pro,NOMcom,NOMcom,smr,respós,DOM,répons,"TuAutem, l. 3",,</l>,
27,5,1,tu,tu,_,lat,PRNper,PRNper,smn,tu,wiktionary,tu,"TuAutem, l. 4",,,<l n=&quot;4&quot;>
28,5,2,au|tem,autem,_,lat,ADJqua,ADJqua,,autem,wiktionary,,"TuAutem, l. 4",,,
