wd_id,line_id,line_wd,dipl,word,wd_div,phon,phon_map,lang,pos,pos_syn,morph,lemma,lemma_src,lemma_dmf,textlineid,ref,phil_note,tei_right,tei_left
1,1,1,VERS[US],versus,_,,,lat,ETR,ETR,,---,---,,0,"VersSMarie, title",,,<text><body lang=&quot;pro&quot;><pb n=&quot;49r&quot; facs=&quot;https://gallica.bnf.fr/ark:/12148/btv1b6000946s/f105.item&quot;/><lb/><docTitle xml:lang=&quot;lat&quot;>
2,1,2,S[ANCTE],sancte,_,,,lat,ETR,ETR,,---,---,,0,"VersSMarie, title",,,
3,1,3,MARIE,marie,.|,,,lat,ETR,ETR,,---,---,,0,"VersSMarie, title",,</docTitle>,
4,2,1,O,o,_,O,o,pro,EXC,,,ô,DMF,,1,"VersSMarie, l. 1",,,<lb/><lg n=&quot;1&quot; type=&quot;stanza&quot; rhyme=&quot;aabb&quot;><l n=&quot;1&quot;>
5,2,2,maria,maria,–,mAriA,m.a.r.i.a,pro,NOMpro,,sfn,Marie,,,1,"VersSMarie, l. 1",,,
6,2,3,deu,deu,–,dɛu,d.e.u,pro,NOMpro,,smr,dèu,DOM,,1,"VersSMarie, l. 1",,,
7,2,4,maire,maire,–,mAirE,m.a.i.r.e,pro,NOMcom,,sfn,maire,DOM,,1,"VersSMarie, l. 1",,</l>,
8,3,1,deu,deu,+,dɛu,d.e.u,pro,NOMpro,,smn,dèu,DOM,,2,"VersSMarie, l. 2",,,<l n=&quot;2&quot;>
9,3,2,t,t,+,t,t,pro,PRCper,,2sfi,te,DOM,,2,"VersSMarie, l. 2",,,
10,3,3,es,es,–,ES,e.s,pro,VERcjg,,indpst3,èser,DOM,,2,"VersSMarie, l. 2",,,
11,3,4,e,e,+,E,e,pro,CONcoo,,,e,DOM,,2,"VersSMarie, l. 2",,,
12,3,5,fils,fils,–,fiLS,f.i.l.s,pro,NOMcom,,smn,filh,DOM,,2,"VersSMarie, l. 2",,,
13,3,6,e,e,+,E,e,pro,CONcoo,,,e,DOM,,2,"VersSMarie, l. 2",,,
14,3,7,paire,paire,–,pAirE,p.a.i.r.e,pro,NOMcom,,smn,paire,DOM,,2,"VersSMarie, l. 2",,</l>,
15,4,1,Domna,domna,–,dOmnA,d.o.m.n.a,pro,NOMcom,,sfn,dómna,DOM,,3,"VersSMarie, l. 3",,,<l n=&quot;3&quot;>
16,4,2,preia,preia,–,prɛiA,p.r.e.i.a,pro,VERcjg,,imp---2,pregar,DOM,,3,"VersSMarie, l. 3",,,
17,4,3,p[er],per,_,pEr,p.e.r,pro,PRE,,,pér,DOM,,3,"VersSMarie, l. 3",,,
18,4,4,nos,nos,–|,noS,n.o.s,pro,PRNper,,4pmr,nós,DOM,,3,"VersSMarie, l. 3",,</l>,
19,5,1,to,to,_,tO,t.o,pro,DETpos,,2smr,ton2,DOM,,4,"VersSMarie, l. 4",,,<lb/><l n=&quot;4&quot;>
20,5,2,fil,fil,–,fil,f.i.l,pro,NOMcom,,smr,filh,DOM,,4,"VersSMarie, l. 4",,,
21,5,3,lo,lo,_,LO,l.o,pro,DETdef,,smr,lo2,DOM,,4,"VersSMarie, l. 4",,,
22,5,4,glorios,glorios,–,gLOrioS,g.l.o.r.i.o.s,pro,ADJqua,,smr,gloriós,DOM,,4,"VersSMarie, l. 4",,</l></lg>,
23,6,1,E,e,_,E,e,pro,CONcoo,,,e,DOM,,5,"VersSMarie, l. 5",,,<lg n=&quot;2&quot; type=&quot;stanza&quot; rhyme=&quot;aabb&quot;><l n=&quot;5&quot;>
24,6,2,lo,lo,_,LO,l.o,pro,DETdef,,smr,lo2,DOM,,5,"VersSMarie, l. 5",,,
25,6,3,pair,pair,–,pAir0,p.a.i.r.,pro,NOMcom,,smr,paire,DOM,,5,"VersSMarie, l. 5",,,
26,6,4,aissamen,aissamen,–,AisAmEn,a.i.ss.a.m.e.n,pro,ADVgen,,,aisamen,DOM,,5,"VersSMarie, l. 5",,</l>,
27,7,1,p[re]ia,preia,–,prɛiA,p.r.e.i.a,pro,VERcjg,,imp---2,pregar,DOM,,6,"VersSMarie, l. 6",,,<l n=&quot;6&quot;>
28,7,2,p[er],per,–,pEr,p.e.r,pro,PRE,,,pér,DOM,,6,"VersSMarie, l. 6",,,
29,7,3,tota,tota,_,totA,t.o.t.a,pro,DETind,,sfr,tót,DOM,,6,"VersSMarie, l. 6",,,
30,7,4,ien,jen,_,ʤEn,j.e.n,pro,NOMcom,,sfr,gén,DOM,,6,"VersSMarie, l. 6",,</l>,
31,8,1,E,e,_,E,e,pro,CONcoo,,,e,DOM,,7,"VersSMarie, l. 7",,,<l n=&quot;7&quot;>
32,8,2,c,c,+,S,c,pro,CONsub,,,si,DOM,,7,"VersSMarie, l. 7",,,
33,8,3,el,el,_,el,e.l,pro,PRNper,,3smn,el2,DOM,,7,"VersSMarie, l. 7",,,
34,8,4,no,no,+,nO,n.o,pro,ADVneg,,,nóN,DOM,,7,"VersSMarie, l. 7",,,
35,8,5,nos,nos,–,nOS,n.o.s,pro,PRCper,,4pmr,nós,DOM,,7,"VersSMarie, l. 7",,,
36,8,6,so|cor,socor,–,SOkor,s.o.c.o.r,pro,VERcjg,,indpst3,secórre,DOM,,7,"VersSMarie, l. 7",,</l>,
37,9,1,tor_nat,tornat,–,tOrnAT,t.o.r.n.a.t,pro,VERppe,,snn,tornar,DOM,,8,"VersSMarie, l. 8",,,<lb/><l n=&quot;8&quot;>
38,9,2,nos,nos,–,nOS,n.o.s,pro,PRCper,,4pmr,nós,DOM,,8,"VersSMarie, l. 8",,,
39,9,3,es,es,_,ES,e.s,pro,VERcjg,,indpst0,èser,DOM,,8,"VersSMarie, l. 8",,,
40,9,4,a,a,+,A,a,pro,PRE,,,a2,DOM,,8,"VersSMarie, l. 8",,,
41,9,5,plor,plor,_,pLor,p.l.o.r,pro,NOMcom,,smr,plór,DOM,,8,"VersSMarie, l. 8",,</l></lg>,
42,10,1,Eua,eva,_,ɛvA,e.v.a,pro,NOMpro,,sfn,Ève,,,9,"VersSMarie, l. 9",,,<lg n=&quot;3&quot; type=&quot;stanza&quot; rhyme=&quot;aabb&quot;><l n=&quot;9&quot;>
43,10,2,creet,creet,–,krEɛT,c.r.e.e.t,pro,VERcjg,,indpsp3,créire,DOM,,9,"VersSMarie, l. 9",,,
44,10,3,serp_en,serpen,–,SErpEn,s.e.r.p.e.n,pro,NOMcom,,smr,serpén,DOM,,9,"VersSMarie, l. 9",,</l>,
45,11,1,un,un,+,yn,u.n,pro,DETndf,,smr,uN,DOM,,10,"VersSMarie, l. 10",,,<l n=&quot;10&quot;>
46,11,2,a_gel,agel,–,AʤEl,a.g.e.l,pro,NOMcom,,smr,angel,DOM,,10,"VersSMarie, l. 10",,,
