wd_id,line_id,linewd,dipl,word,phon,phon_map,syllabified,etym_map,origin,wd_div,lang,textlineid,syntag,syntag2,lemma,lemma_src,lemma_dmf,pos,pos_syn,morph,ref,tei_left,tei_right
95,15,5,suon,suon,Suɔn,s.u.o.n,S/uɔ\n,,,_,fro,15,Adj,Adj,sien,DMF,sien,ADJpos,ADJpos,3smr,"Eulalie, l. 15",,
5,2,1,Bel,bel,bɛl,b.e.l,b/ɛ\l,b-.ɛ'].-ll-_o[,native,_,fro,2,Adj,Adj,beau,DMF,beau,ADJqua,ADJqua,smr,"Eulalie, l. 2",<l n=&quot;2&quot;>,
8,2,4,bellezour,bellezour,bElEʣour,b.e.ll.e.z.o.u.r,b/E\.l/E\.'ʣ/o\ur,b-.e].-ll-.a[.-tj-.o'[..-r-_e[,native,_,fro,2,Adj,Adj,beau,DMF,beau,ADJqua,ADJqua,sfr,"Eulalie, l. 2",,
1,1,1,B_uona,buona,buɔnə,b.u.o.n.a,'b/uɔ\.n/(ə)\,b-.ɔ'[..-n-.a[,native,_,fro,1,Adj,Adj,bon,DMF,bon,ADJqua,ADJqua,sfn,"Eulalie, l. 1",<text><body xml:lang=&quot;fro&quot;><pb n=&quot;141v&quot;/><lb/><lg type=&quot;couplet&quot;><l n=&quot;1&quot;>,
90,14,6,[christ]iien,christiien,kriStiiEn,ch.r.i.s.t.i.i.e.n,kr/i\S.t/i\.'/iE\n,,loan,.|,fro,14,Adj,Adj,chrétien,DMF,chrétien,ADJqua,ADJqua,smr,"Eulalie, l. 14",,</l></lg>
112,18,7,grand,grand,grANT,g.r.a.n.d,gr/A\NT,g-.r-.a'].-n.d-_E[,native,_,fro,18,Adj,Adj,grand,DMF,grand,ADJqua,ADJqua,sfr,"Eulalie, l. 18",,
26,5,6,mals,mals,maLS,m.a.l.s,m/a\LS,m-.a'[.-l-_o[.-s-,native,_,fro,5,Adj,Adj,mal,DMF,mal,ADJqua,ADJqua,pmr,"Eulalie, l. 5",,
77,12,8,pagiens,pagiens,pAɣiENS,p.a.g.i.e.n.s,p/A\.'ɣ/iE\NS,p-.a[.-g-.a'[..-n-_o[.-s-,native,|,fro,12,Adj,Adj,paien,DMF,paien,ADJqua,NOMcom,pmr,"Eulalie, l. 12",,</l></lg>
140,21,9,pagiens,pagiens,pAɣiENS,p.a.g.i.e.n.s,p/A\.'ɣ/iE\NS,p-.a[.-g-.a'[..-n-_o[.-s-,native,.,fro,21,Adj,Adj,paien,DMF,paien,ADJqua,ADJqua,smn,"Eulalie, l. 21",,</l>
46,8,3,regiel,regiel,rEɣiEl,r.e.g.i.e.l,r/E\.'ɣ/iE\l,r-.e[.-g-.a'[..-l-_e[,native,_,fro,8,Adj,Adj,royal,DMF,royal,ADJqua,ADJqua,sfr,"Eulalie, l. 8",,
114,19,1,E_nz,enz,ENTS,e.n.z.,/E\NTS,e'].-n.t-_o[.-s-,native,_,fro,19,PrA,PrA,ens,DMF,ens,ADVgen,ADVgen,,"Eulalie, l. 19",<lb/><lg type=&quot;couplet&quot;><l n=&quot;19&quot;>,
