file,name,value
paula/grid/Eulalie/ogr100.Eulalie.anno_feat.xml,title_fr,Séquence de sainte Eulalie
paula/grid/Eulalie/ogr100.Eulalie.anno_feat.xml,title_en,Sequence of Saint Eulalia
paula/grid/Eulalie/ogr100.Eulalie.anno_feat.xml,author,anonymous
paula/grid/Eulalie/ogr100.Eulalie.anno_feat.xml,ms,"Valenciennes, Bibliothèque municipale, 150"
paula/grid/Eulalie/ogr100.Eulalie.anno_feat.xml,ms_origin,Hainaut
paula/grid/Eulalie/ogr100.Eulalie.anno_feat.xml,ms_cent,9
paula/grid/Eulalie/ogr100.Eulalie.anno_feat.xml,ms_uri,https://gallica.bnf.fr/ark:/12148/btv1b84526286/f288.item
paula/grid/Eulalie/ogr100.Eulalie.anno_feat.xml,text_cent,9
paula/grid/Eulalie/ogr100.Eulalie.anno_feat.xml,text_origin,Hainaut
paula/grid/Eulalie/ogr100.Eulalie.anno_feat.xml,source,ms. image
paula/grid/Eulalie/ogr100.Eulalie.anno_feat.xml,form,verse
paula/grid/Eulalie/ogr100.Eulalie.anno_feat.xml,lang,fro
paula/grid/Eulalie/ogr100.Eulalie.anno_feat.xml,lang_other,---
paula/grid/Jonas/ogr100.Jonas.anno_feat.xml,title_fr,Fragment d'un sermon bilingue sur Jonas
paula/grid/Jonas/ogr100.Jonas.anno_feat.xml,title_en,Fragment of a bilingual sermon on Jonah
paula/grid/Jonas/ogr100.Jonas.anno_feat.xml,author,anonymous
paula/grid/Jonas/ogr100.Jonas.anno_feat.xml,ms,"Valenciennes, Bibliothèque municipale, 521"
paula/grid/Jonas/ogr100.Jonas.anno_feat.xml,ms_origin,Hainaut
paula/grid/Jonas/ogr100.Jonas.anno_feat.xml,ms_cent,10
paula/grid/Jonas/ogr100.Jonas.anno_feat.xml,ms_uri,https://gallica.bnf.fr/ark:/12148/btv1b8452601j/f5.item
paula/grid/Jonas/ogr100.Jonas.anno_feat.xml,text_cent,10
paula/grid/Jonas/ogr100.Jonas.anno_feat.xml,text_origin,Hainaut
paula/grid/Jonas/ogr100.Jonas.anno_feat.xml,source,ms. image
paula/grid/Jonas/ogr100.Jonas.anno_feat.xml,form,prose
paula/grid/Jonas/ogr100.Jonas.anno_feat.xml,lang,fro
paula/grid/Jonas/ogr100.Jonas.anno_feat.xml,lang_other,lat
paula/grid/Alba/ogr100.Alba.anno_feat.xml,title_fr,Aube bilingue
paula/grid/Alba/ogr100.Alba.anno_feat.xml,title_en,Bilingual Alba
paula/grid/Alba/ogr100.Alba.anno_feat.xml,author,anonymous
paula/grid/Alba/ogr100.Alba.anno_feat.xml,ms,"Rome, Biblioteca Apostolica Vaticana, Reginae lat. 1462"
paula/grid/Alba/ogr100.Alba.anno_feat.xml,ms_origin,Burgundy
paula/grid/Alba/ogr100.Alba.anno_feat.xml,ms_cent,10..11
paula/grid/Alba/ogr100.Alba.anno_feat.xml,ms_uri,---
paula/grid/Alba/ogr100.Alba.anno_feat.xml,text_cent,10
paula/grid/Alba/ogr100.Alba.anno_feat.xml,text_origin,southern France
paula/grid/Alba/ogr100.Alba.anno_feat.xml,source,transcription
paula/grid/Alba/ogr100.Alba.anno_feat.xml,form,verse
paula/grid/Alba/ogr100.Alba.anno_feat.xml,lang,pro
paula/grid/Alba/ogr100.Alba.anno_feat.xml,lang_other,lat
paula/grid/PassAugsb/ogr100.PassAugsb.anno_feat.xml,title_fr,"Poème sur la Passion, manuscrit d'Augsburg"
paula/grid/PassAugsb/ogr100.PassAugsb.anno_feat.xml,title_en,"Passion poem, Augsburg manuscript"
paula/grid/PassAugsb/ogr100.PassAugsb.anno_feat.xml,author,anonymous
paula/grid/PassAugsb/ogr100.PassAugsb.anno_feat.xml,ms,"Augsburg, Stadtarchiv, Urkundensammlung no. 5"
paula/grid/PassAugsb/ogr100.PassAugsb.anno_feat.xml,ms_origin,Alsace
paula/grid/PassAugsb/ogr100.PassAugsb.anno_feat.xml,ms_cent,10
paula/grid/PassAugsb/ogr100.PassAugsb.anno_feat.xml,ms_uri,---
paula/grid/PassAugsb/ogr100.PassAugsb.anno_feat.xml,text_cent,10
paula/grid/PassAugsb/ogr100.PassAugsb.anno_feat.xml,text_origin,northern France
paula/grid/PassAugsb/ogr100.PassAugsb.anno_feat.xml,source,transcription
paula/grid/PassAugsb/ogr100.PassAugsb.anno_feat.xml,form,verse
paula/grid/PassAugsb/ogr100.PassAugsb.anno_feat.xml,lang,fro
paula/grid/PassAugsb/ogr100.PassAugsb.anno_feat.xml,lang_other,---
paula/grid/BenClerm/ogr100.BenClerm.anno_feat.xml,title_fr,Formules de bénédiction de Clermont
paula/grid/BenClerm/ogr100.BenClerm.anno_feat.xml,title_en,Clermont Blessings
paula/grid/BenClerm/ogr100.BenClerm.anno_feat.xml,author,anonymous
paula/grid/BenClerm/ogr100.BenClerm.anno_feat.xml,ms,"Clermont-Ferrand, Bibliothèque municipale, 201"
paula/grid/BenClerm/ogr100.BenClerm.anno_feat.xml,ms_origin,southern France
paula/grid/BenClerm/ogr100.BenClerm.anno_feat.xml,ms_cent,10
paula/grid/BenClerm/ogr100.BenClerm.anno_feat.xml,ms_uri,http://www.ogr-corpus.org/docs/ms201-89v
paula/grid/BenClerm/ogr100.BenClerm.anno_feat.xml,text_cent,10
paula/grid/BenClerm/ogr100.BenClerm.anno_feat.xml,text_origin,southern France
paula/grid/BenClerm/ogr100.BenClerm.anno_feat.xml,source,ms. image
paula/grid/BenClerm/ogr100.BenClerm.anno_feat.xml,form,prose
paula/grid/BenClerm/ogr100.BenClerm.anno_feat.xml,lang,pro
paula/grid/BenClerm/ogr100.BenClerm.anno_feat.xml,lang_other,---
paula/grid/Serments/ogr100.Serments.anno_feat.xml,title_fr,Serments de Strasbourg
paula/grid/Serments/ogr100.Serments.anno_feat.xml,title_en,Strasbourg Oaths
paula/grid/Serments/ogr100.Serments.anno_feat.xml,author,anonymous
paula/grid/Serments/ogr100.Serments.anno_feat.xml,ms,"Paris, Bibliothèque nationale, lat. 9768"
paula/grid/Serments/ogr100.Serments.anno_feat.xml,ms_origin,Île-de-France
paula/grid/Serments/ogr100.Serments.anno_feat.xml,ms_cent,10..11
paula/grid/Serments/ogr100.Serments.anno_feat.xml,ms_uri,https://gallica.bnf.fr/ark:/12148/btv1b84238417/f29.item
paula/grid/Serments/ogr100.Serments.anno_feat.xml,text_cent,9
paula/grid/Serments/ogr100.Serments.anno_feat.xml,text_origin,Poitou [?]
paula/grid/Serments/ogr100.Serments.anno_feat.xml,source,ms. image
paula/grid/Serments/ogr100.Serments.anno_feat.xml,form,verse
paula/grid/Serments/ogr100.Serments.anno_feat.xml,lang,fro
paula/grid/Serments/ogr100.Serments.anno_feat.xml,lang_other,lat|goh
paula/grid/SLeger/ogr100.SLeger.anno_feat.xml,title_fr,Vie de saint Léger
paula/grid/SLeger/ogr100.SLeger.anno_feat.xml,title_en,Life of Saint Leger
paula/grid/SLeger/ogr100.SLeger.anno_feat.xml,author,anonymous
paula/grid/SLeger/ogr100.SLeger.anno_feat.xml,ms,"Clermont-Ferrand, Bibliothèque municipale, 240"
paula/grid/SLeger/ogr100.SLeger.anno_feat.xml,ms_origin,Limousin [?]
paula/grid/SLeger/ogr100.SLeger.anno_feat.xml,ms_cent,10..11
