wd_id,line_id,line_wd,textlineid,ref,dipl,word,wd_div,lang,pos,morph,lemma,lemma_src,lemma_dmf,phil_note,tei_right,tei_left
1,1,1,1,"Alba, l. 1",Phebi,phebi,_,lat,ETR,---,---,---,---,,,<text><body><pb/><lb/><lg type=&quot;stanza&quot;><l xml:lang=&quot;lat&quot; n=&quot;1&quot;>
2,1,2,1,"Alba, l. 1",claro,claro,_,lat,ETR,---,---,---,---,,,
3,1,3,1,"Alba, l. 1",nondum,nondum,_,lat,ETR,---,---,---,---,,,
4,1,4,1,"Alba, l. 1",orto,orto,_,lat,ETR,---,---,---,---,,,
5,1,5,1,"Alba, l. 1",iubare,iubare,;,lat,ETR,---,---,---,---,,</l>,
6,2,1,2,"Alba, l. 2",Fert,fert,_,lat,ETR,---,---,---,---,,,<l xml:lang=&quot;lat&quot; n=&quot;2&quot;>
7,2,2,2,"Alba, l. 2",aurora,aurora,_,lat,ETR,---,---,---,---,,,
8,2,3,2,"Alba, l. 2",lumen,lumen,+,lat,ETR,---,---,---,---,,,
9,2,4,2,"Alba, l. 2",terris,terris,_,lat,ETR,---,---,---,---,,,
10,2,5,2,"Alba, l. 2",tenue,tenue,|,lat,ETR,---,---,---,---,,</l>,
11,3,1,3,"Alba, l. 3",Spiculator,spiculator,_,lat,ETR,---,---,---,---,,,<lb/><l xml:lang=&quot;lat&quot; n=&quot;3&quot;>
12,3,2,3,"Alba, l. 3",pigris,pigris,_,lat,ETR,---,---,---,---,,,
13,3,3,3,"Alba, l. 3",clamat,clamat,_,lat,ETR,---,---,---,---,,,
14,3,4,3,"Alba, l. 3",surgite,surgite,;,lat,ETR,---,---,---,---,,,
15,4,1,4,"Alba, l. 4",L,l,+,pro,DETdef,sfn,la,DOM,le,,,<l xml:lang=&quot;pro&quot; n=&quot;4&quot;>
16,4,2,4,"Alba, l. 4",alba,alba,_,pro,NOMcom,sfn,alba,DOM,aube,,,
17,4,3,4,"Alba, l. 4",par[=part],part,_,pro,VERcjg,indpst3,partir,DOM,partir,,,
18,4,4,4,"Alba, l. 4",um_[et],umet,+,pro,ADJqua,smr,umezit,DOM,humide,,,
19,4,5,4,"Alba, l. 4",mar,mar,_,pro,NOMcom,smr,mar,DOM,mer,,,
20,4,6,4,"Alba, l. 4",atra,atra,_,pro,VERcjg,indpst3,atraire,DOM,attraire,,,
21,4,7,4,"Alba, l. 4",sol,sol,|,pro,NOMcom,smr,sól,DOM,---,,</l>,
22,5,1,5,"Alba, l. 5",Po,po,+,pro,ADVgen,---,pòis,DOM,puis,,,<lb/><l xml:lang=&quot;pro&quot; n=&quot;5&quot;>
23,5,2,5,"Alba, l. 5",ẏ,y,_,pro,PRCadv,---,i,DOM,y2,,,
24,5,3,5,"Alba, l. 5",pas_a,pasa,+,pro,VERcjg,indpst3,pasar,DOM,passer,,,
25,5,4,5,"Alba, l. 5",bigil,bigil,_,pro,NOMcom,smn,vigil,wiktionary,---,,,
26,5,5,5,"Alba, l. 5",mira,mira,+,pro,VERcjg,indpst3,mirar,DOM,mirer,,,
27,5,6,5,"Alba, l. 5",clar,clar,_,pro,ADVgen,---,clar,DOM,clair,,,
28,5,7,5,"Alba, l. 5",tenebras,tenebras,;,pro,NOMcom,pfr,tenèbra,DOM,ténèbres,,</l></lg>,
