wd_id,line_id,line_wd,textlineid,ref,dipl,word,phon,map,wd_div,lang,pos,pos_syn,morph,lemma,lemma_src,lemma_dmf,phil_note,tei_right,tei_left
600,107,1,106,"AlexAlb, final letter (f. 116r)",V,V,,,|,fro,---,---,,---,---,,,</l></lg></body></text>,<lg><l n=&quot;106&quot;>
20,4,1,3,"AlexAlb, l. 3",est,est,,,_,lat,ETR,ETR,---,---,---,,,,<l xml:lang=&quot;lat&quot; n=&quot;3&quot;><q>
21,4,2,3,"AlexAlb, l. 3",uanitatu[m],vanitatum,,,+,lat,ETR,ETR,---,---,---,,,,
22,4,3,3,"AlexAlb, l. 3",uanitas,vanitas,,,.|,lat,ETR,ETR,---,---,---,,,</q></l>,
23,5,1,4,"AlexAlb, l. 4",[et],et,,,_,lat,ETR,ETR,---,---,---,,,,<l xml:lang=&quot;lat&quot; n=&quot;4&quot;><q>
24,5,2,4,"AlexAlb, l. 4",uniuersa,universa,,,_,lat,ETR,ETR,---,---,---,,,,
25,5,3,4,"AlexAlb, l. 4",uanitas,vanitas,,,.,lat,ETR,ETR,---,---,---,,,</q></l>,
3,1,3,---,"AlexAlb, l. 1 (f. 115r)",a,a,A,a,+,fro,PRE,PRE,---,à,DMF,à,,,
9,2,3,1,"AlexAlb, l. 1 (f. 115v)",a,a,A,a,+,fro,PRE,PRE,---,à,DMF,à,,,
171,33,3,32,"AlexAlb, l. 32",a,a,A,a,+,fro,PRE,PRE,---,à,DMF,à,,,
201,38,4,37,"AlexAlb, l. 37",a,a,A,a,+,fro,PRE,PRE,---,à,DMF,à,,,
206,39,2,38,"AlexAlb, l. 38",a,a,A,a,+,fro,PRE,PRE,---,à,DMF,à,,,
228,42,3,41,"AlexAlb, l. 41",a,a,A,a,+,fro,PRE,PRE,---,à,DMF,à,,,
241,44,2,43,"AlexAlb, l. 43",ad,ad,Að,a.d,+,fro,PRE,PRE,---,à,DMF,à,,,
437,79,1,78,"AlexAlb, l. 78",a,a,A,a,_,fro,PRE,PRE,---,à,DMF,à,,,<l n=&quot;78&quot;>
441,79,5,78,"AlexAlb, l. 78",ad,ad,Að,a.d,_,fro,PRE,PRE,---,à,DMF,à,,,
516,93,3,92,"AlexAlb, l. 92",a,a,A,a,+,fro,PRE,PRE,---,à,DMF,à,,,
519,93,6,92,"AlexAlb, l. 92",a,a,A,a,+,fro,PRE,PRE,---,à,DMF,à,,,
563,100,7,99,"AlexAlb, l. 99",a,a,A,a,+,fro,PRE,PRE,---,à,DMF,à,,,
587,104,5,103,"AlexAlb, l. 103",ad,ad,Að,a.d,+,fro,PRE,PRE,---,à,DMF,à,,,
462,83,4,82,"AlexAlb, l. 82",affactaz,affactaz,AfAktAÇ,a.ff.a.c.t.a.z,.,fro,VERppe,VERppe,pmr,affaiter,DMF,affaiter,,</l>,
390,70,5,69,"AlexAlb, l. 69",aformad,aformad,AformAð,a.f.o.r.m.a.d,.|,fro,VERppe,VERppe,smr,aformer,TL,,,</l>,
521,94,1,93,"AlexAlb, l. 93",agayt,agayt,AgAiT,a.g.a.y.t,_,fro,NOMcom,NOMcom,smr,aguet,DMF,aguet,,,<l n=&quot;93&quot;>
428,77,1,76,"AlexAlb, l. 76",eylay,eylay,EilAi,e.y.l.a.y,_,fro,ADVgen,ADVgen,---,ailai,DOM,,lemma_AlexAlbZ:401,,<l n=&quot;76&quot;>
305,56,6,55,"AlexAlb, l. 55",an_ceys,anceys,ANʦEiS,a.n.c.e.y.s,.,fro,ADVgen,ADVgen,---,ainçois,DMF,ainçois,,</l>,
163,32,2,31,"AlexAlb, l. 31",anz,anz,ANÇ,a.n.z,_,fro,ADVgen,ADVgen,---,ains,DMF,ains,,,
184,35,5,34,"AlexAlb, l. 34",ainz,ainz,AiNÇ,a.i.n.z,_,fro,ADVgen,ADVgen,---,ains,DMF,ains,,,
234,43,2,42,"AlexAlb, l. 42",hanc,hanc,ANK,ha.n.c,|,fro,ADVgen,ADVgen,---,ains,DMF,ains,,,
448,81,1,80,"AlexAlb, l. 80",aysi,aysi,Aisi,a.y.s.i,+,fro,ADVgen,ADVgen,---,ainsi,DMF,ainsi,,,<l n=&quot;80&quot;>
134,25,6,24,"AlexAlb, l. 24",aleuament,alevament,AlEvAmENT,a.l.e.v.a.m.e.n.t,.,fro,NOMcom,NOMcom,smr,alevamén,DOM,,,</l>,
94,18,2,17,"AlexAlb, l. 17",alexander,alexander,AlEKSANdEr,a.l.e.x..a.n.d.e.r,_,lat,NOMcom,NOMcom,smn,Alexander,wiktionary,,,,
141,27,3,26,"AlexAlb, l. 26",alexandre,alexandre,AlEKSANdrə,a.l.e.x..a.n.d.r.e,|,fro,NOMpro,NOMpro,smr,Alexandre,wikipedia.fr,,,,
227,42,2,41,"AlexAlb, l. 41",alexandre,alexandre,AlEKSANdrə,a.l.e.x..a.n.d.r.e,_,fro,NOMpro,NOMpro,smr,Alexandre,wiktionary,,,,
248,46,2,45,"AlexAlb, l. 45",alexandre,alexandre,AlEKSANdrə,a.l.e.x..a.n.d.r.e,_,fro,NOMpro,NOMpro,smr,Alexandre,wiktionary,,,,
251,47,2,46,"AlexAlb, l. 46",alexander,alexander,AlEKSANdEr,a.l.e.x..a.n.d.e.r,_,fro,NOMpro,NOMpro,smn,Alexandre,wiktionary,,,,
415,75,2,74,"AlexAlb, l. 74",uay,vay,vAi,v.a.y,_,fro,VERcjg,VERcjg,indpst3,aller,DMF,aller,,,
386,70,1,69,"AlexAlb, l. 69",ample,ample,ANpLə,a.m.p.l.e,_,fro,ADJqua,ADJqua,smr,ample,DMF,ample,,,<l n=&quot;69&quot;>
200,38,3,37,"AlexAlb, l. 37",amint,amint,AmiNT,a.m.i.n.t,_,fro,NOMpro,NOMpro,smr,Amyntas,wikipedia.fr,,,,
420,75,7,74,"AlexAlb, l. 74",an,an,An,a.n,_,fro,NOMcom,NOMcom,smr,an,DMF,an,,,
64,12,8,11,"AlexAlb, l. 11",antic,antic,ANtik,a.n.t.i.c,.,fro,ADJqua,ADJqua,smr,antif,DMF,antif,,</l>,
39,8,4,7,"AlexAlb, l. 7",antiquitas,antiquitas,ANtikitAS,a.n.t.i.qu.i.t.a.s,.,lat,NOMcom,NOMcom,sfn,antiquitas,wiktionary,,,</l>,
413,74,5,73,"AlexAlb, l. 73",apensad,apensad,ApENSAð,a.p.e.n.s.a.d,.,fro,VERppe,VERppe,smr,apenser,DMF,apenser,,</l>,
186,36,1,35,"AlexAlb, l. 35",echel,echel,Ekel,e.ch.e.l,_,fro,PRNdem,PRNdem,smn,aquél,DOM,,lemma_AlexAlbZ:400,,<l n=&quot;35&quot;>
465,84,3,83,"AlexAlb, l. 83",arz,arz,ArÇ,a.r.z,_,fro,NOMcom,NOMcom,pfr,art,DMF,art,,,
144,28,2,27,"AlexAlb, l. 27",alquant,alquant,ALkANT,a.l.qu.a.n.t,|,fro,PRNind,PRNind,pmn,auquant,DMF,auquant,,,
313,58,2,57,"AlexAlb, l. 57",altre,altre,ALtrə,a.l.t.r.e,_,fro,ADJind,ADJind,smn,autre,DMF,autre,,,
423,76,2,75,"AlexAlb, l. 75",altre,altre,ALtrə,a.l.t.r.e,|,fro,ADJind,ADJind,smn,autre,DMF,autre,,,
356,64,3,63,"AlexAlb, l. 63",altre,altre,ALtrə,a.l.t.r.e,_,fro,PRNind,PRNind,smr,autre,DMF,autre,,,
527,95,3,94,"AlexAlb, l. 94",altre,altre,ALtrə,a.l.t.r.e,_,fro,PRNind,PRNind,smn,autre,DMF,autre,,,
400,72,4,71,"AlexAlb, l. 71",aual,aval,AvAl,a.v.a.l,_,fro,ADVgen,ADVgen,---,aval,DMF,aval,,,
408,73,6,72,"AlexAlb, l. 72",auigurad,avigurad,AvigyrAð,a.v.i.g.u.r.a.d,.,fro,VERppe,VERppe,smr,avigorer,DMF,avigorer,,</l>,
125,24,4,23,"AlexAlb, l. 23",ab,ab,AP,a.b,|,fro,VERcjg,VERcjg,indpsp0,avoir,DMF,avoir,morph_AlexAlbZ:405,,
137,26,3,25,"AlexAlb, l. 25",ey,ey,Ei,e.y,|,fro,VERcjg,VERcjg,indpst1,avoir,DMF,avoir,,,
176,34,2,33,"AlexAlb, l. 33",ab,ab,AP,a.b,_,fro,VERcjg,VERcjg,indpsp3,avoir,DMF,avoir,,,
210,39,6,38,"AlexAlb, l. 38",ab,ab,AP,a.b,_,fro,VERcjg,VERcjg,indpsp3,avoir,DMF,avoir,,,
307,57,2,56,"AlexAlb, l. 56",ab,ab,AP,a.b,_,fro,VERcjg,VERcjg,indpsp3,avoir,DMF,avoir,,,
334,61,2,60,"AlexAlb, l. 60",ab,ab,AP,a.b,_,fro,VERcjg,VERcjg,indpsp3,avoir,DMF,avoir,,,
