wd_id,line_id,line_wd,textlineid,ref,dipl,word,wd_div,phon,map,lang,pos,pos_syn,morph,lemma,lemma_src,lemma_dmf,phil_note,tei_right,tei_left
52,10,5,10,"CantQuSol, l. 10",ient,…ient,_,0VNQ,….ie.n.t,fro,---,---,---,---,---,,,</l>,"<lb/><gap reason=""damage""/>"
55,11,3,11,"CantQuSol, l. 11",lt,…lt,_,QQ,….l.t,fro,---,---,---,---,---,,,,"<lb/><gap reason=""damage""/>"
48,10,1,10,"CantQuSol, l. 10",rget,…rget,_,0RVVQ,….r.g.e.t,fro,---,---,,---,---,,,,"<add place=""margin""><lb/><lg n=&quot;4&quot; type=&quot;stanza&quot; met=&quot;decasyllable,tetrasyllable&quot; rhyme=&quot;aab&quot;><l n=&quot;10&quot;><gap reason=""damage""/>"
56,11,4,11,"CantQuSol, l. 11",auenable,avenable…,|,VQVNVQRV0,a.v.e.n.a.b.l.e.…,fro,---,---,---,---,---,,,"<gap reason=""damage""/></l>",
54,11,2,11,"CantQuSol, l. 11",respon,respon…,|,RVQQVN0,r.e.s.p.o.n.…,fro,---,---,---,---,---,,,,
178,30,1,30,"CantQuSol, l. 30",a,a,+,A,a,fro,PRE,PRE,,à,DMF,à,,,<l n=&quot;30&quot;><q>
365,59,5,59,"CantQuSol, l. 59",a,a,+,A,a,fro,PRE,PRE,,à,DMF,à,,,
368,60,2,60,"CantQuSol, l. 60",a,a,+,A,a,fro,PRE,PRE,,à,DMF,à,,,
406,66,1,66,"CantQuSol, l. 66",a,a,+,A,a,fro,PRE,PRE,,à,DMF,à,,,<l n=&quot;66&quot;><q>
540,91,5,91,"CantQuSol, l. 91",a,a,+,A,a,fro,PRE,PRE,,à,DMF,à,,,
460,75,2,75,"CantQuSol, l. 75",abia,abia,;,Abia,a.b.i.a,fro,NOMcom,NOMcom,smn,Abijam,wikipedia.fr,,,</q></l></lg>,
