wd_id,line_id,line_wd,textlineid,ref,dipl,word,wd_div,lang,pos,morph,lemma,lemma_src,phil_note,tei_right,tei_left
1,1,1,1,"ChansLas, stanza 1, l.1",las,las,_,fro,ADJqua,smn,las,DMF,,,<text><group><text><body><pb/><lb/><lg type=&quot;stanza&quot;><l n=&quot;1&quot;>
2,1,2,1,"ChansLas, stanza 1, l.1",qui,qui,_,fro,PRNrel,smn,qui,DMF,pos_Moelk96:48,,
3,1,3,1,"ChansLas, stanza 1, l.1",n[on],non,_,fro,ADVneg,,ne,DMF,,,
4,1,4,1,"ChansLas, stanza 1, l.1",sun,sun,_,fro,VERcjg,indpst1,être,DMF,,,
5,1,5,1,"ChansLas, stanza 1, l.1",sparuir,sparvir,_,fro,NOMcom,smr,épervier,DMF,,,
6,1,6,1,"ChansLas, stanza 1, l.1",astur,astur,_,fro,NOMcom,smr,autour,DMF,,</l>,
7,2,1,2,"ChansLas, stanza 1, l.2",qui,qui,_,fro,PRNrel,smn,qui,DMF,,,<l n=&quot;2&quot;>
8,2,2,2,"ChansLas, stanza 1, l.2",podis,podis,_,fro,VERcjg,,pouvoir2,DMF,,,
9,2,3,2,"ChansLas, stanza 1, l.2",a,a,+,fro,PRE,,à,DMF,,,
10,2,4,2,"ChansLas, stanza 1, l.2",li,li,+,fro,PRNper,3sfr,li,DMF,,,
11,2,5,2,"ChansLas, stanza 1, l.2",uorer,vorer,|,fro,VERinf,,voler,DMF,,</l>,
12,3,1,3,"ChansLas, stanza 1, l.3",la,la,+,fro,DETdef,3sfr,le,DMF,,,<lb/><l n=&quot;3&quot;>
13,3,2,3,"ChansLas, stanza 1, l.3",sintil,sintil,_,fro,ADJqua,3sfr,gentil,DMF,,,
14,3,3,3,"ChansLas, stanza 1, l.3",imbracher,imbracher,_,fro,VERinf,,embrasser,DMF,,</l>,
15,4,1,4,"ChansLas, stanza 1, l.4",se,se,+,fro,DETpos,3sfr,son4,DMF,,,<l n=&quot;4&quot;>
16,4,2,4,"ChansLas, stanza 1, l.4",buch,buch,_,fro,NOMcom,sfr,bouche,DMF,word_Moelk96:48,,
17,4,3,4,"ChansLas, stanza 1, l.4",schi,schi,_,fro,ADVgen,,si4,DMF,,,
18,4,4,4,"ChansLas, stanza 1, l.4",duls,duls,_,fro,ADJqua,sfr,doux,DMF,,,
19,4,5,4,"ChansLas, stanza 1, l.4",baser,baser,_,fro,VERinf,,baiser2,DMF,,</l>,
20,5,1,5,"ChansLas, stanza 1, l.5",dus,dus,+,fro,ADJqua,snn,doux,DMF,word_Moelk96:48,,<l n=&quot;5&quot;>
21,5,2,5,"ChansLas, stanza 1, l.5",si|rie,sirie,_,fro,VERcjg,con---3,être,DMF,word_Moelk96:48,,
22,5,3,5,"ChansLas, stanza 1, l.5",repasar,repasar,+,fro,VERinf,,repaisier,DMF,lemma_Moelk96:48,,
23,5,4,5,"ChansLas, stanza 1, l.5",tu,tu,_,fro,DETind,smr,tout,DMF,,,
24,5,5,5,"ChansLas, stanza 1, l.5",dulur,dulur,.–|,fro,NOMcom,smr,douleur,DMF,morph_Lazzerini93:131,</l></lg></body></text></group>,
25,6,1,6,"ChansLas, stanza 2, l.1",Sacramente,sacramente,_,---,---,---,---,---,,,<group><text><body><lb/><lg type=&quot;stanza&quot;><l n=&quot;1&quot;>
26,6,2,6,"ChansLas, stanza 2, l.1",n[on],non,_,---,---,---,---,---,,,
27,6,3,6,"ChansLas, stanza 2, l.1",ualent,valent,_,---,---,---,---,---,,</l>,
28,7,1,7,"ChansLas, stanza 2, l.2",tu,tu,+,fro,DETind,---,tout,DMF,,,<l n=&quot;2&quot;>
29,7,2,7,"ChansLas, stanza 2, l.2",spiure,spiure,_,fro,NOMcom,---,épieur,DMF,,,
30,7,3,7,"ChansLas, stanza 2, l.2",current,current,_,fro,VERcjg,indpst6,courir,DMF,,</l>,
31,8,1,8,"ChansLas, stanza 2, l.3",multe,multe,_,---,---,---,---,---,,,<l n=&quot;3&quot;>
32,8,2,8,"ChansLas, stanza 2, l.3",vel,vel,_,---,---,---,---,---,,,
33,8,3,8,"ChansLas, stanza 2, l.3",edent,...edent,_,---,---,---,---,---,,</l>,
34,9,1,9,"ChansLas, stanza 2, l.4",p[er],per,_,---,---,---,---,---,,,<l n=&quot;4&quot;>
35,9,2,9,"ChansLas, stanza 2, l.4",amor,amor,|,---,---,---,---,---,,</l>,
36,10,1,10,"ChansLas, stanza 2, l.5",inclusi,inclusi,_,---,---,---,---,---,,,<l n=&quot;5&quot;>
37,10,2,10,"ChansLas, stanza 2, l.5",schevaler,schevaler,_,fro,NOMcom,---,chevalier,DMF,,,
38,10,3,10,"ChansLas, stanza 2, l.5",iuch,juch,_,fro,---,---,---,---,lemma_Moelk96:50,,
39,10,4,10,"ChansLas, stanza 2, l.5",tradur,tradur,_,fro,NOMcom,---,traître,DMF,lemma_Moelk96:50,</l></lg></body></text></group></text>,
