wd_id,line_id,line_wd,textlineid,ref,dipl,word,phon,map,wd_div,lang,pos,pos_syn,morph,lemma,lemma_src,lemma_dmf,phil_note,tei_right,tei_left
4,2,1,1,"EpSEt, l. 1",por,por,por,p.o.r,_,fro,PRE,PRE,,pour,DMF,pour,,,<l n=&quot;1&quot;>
5,2,2,1,"EpSEt, l. 1",amor,amor,Amor,a.m.o.r,_,fro,NOMcom,NOMcom,smr,amour,DMF,amour,,,
6,2,3,1,"EpSEt, l. 1",de,de,dæ,d.e,_,fro,NOMpro,NOMpro,smr,de,DMF,de,,,
7,2,4,1,"EpSEt, l. 1",uos,vos,voS,v.o.s,_,fro,PRCper,PRCper,5pmr,vous,DMF,vous,,,
8,2,5,1,"EpSEt, l. 1",pri,pri,pri,p.r.i,_,fro,VERcjg,VERcjg,indpst1,prier,DMF,prier,,,
9,2,6,1,"EpSEt, l. 1",saignos,saignos,SÆɲoS,s.a.ign.o.s,_,fro,NOMcom,NOMcom,pmn,seigneur,DMF,seigneur,,,
10,2,7,1,"EpSEt, l. 1",baru[n],barun,bArOn,b.a.r.u.n,.,fro,NOMcom,NOMcom,pmn,baron,DMF,baron,,</l>,
11,3,1,2,"EpSEt, l. 2",Seet,seet,SEèT,s.e.e.t,_,fro,VERcjg,VERcjg,imp---5,seoir,DMF,seoir,,,<l n=&quot;2&quot;>
12,3,2,2,"EpSEt, l. 2",uos,vos,voS,v.o.s,_,fro,PRCper,PRCper,5pmr,vous,DMF,vous,,,
13,3,3,2,"EpSEt, l. 2",tuít,tuit,tyiT,t.u.i.t,|,fro,PRNind,PRNind,pmn,tout,DMF,tout,,,
14,3,4,2,"EpSEt, l. 2",escotet,escotet,ESkotæT,e.s.c.o.t.e.t,_,fro,VERcjg,VERcjg,imp---5,écouter,DMF,écouter,,,<lb/>
15,3,5,2,"EpSEt, l. 2",la,la,LA,l.a,+,fro,DETdef,DETdef,sfr,le,DMF,le,,,
16,3,6,2,"EpSEt, l. 2",lecu[n],lecun,LEʦOn,l.e.c.u.n,.,fro,NOMcom,NOMcom,sfr,leçon,DMF,leçon,,</l>,
17,4,1,3,"EpSEt, l. 3",de,de,dE,d.e,+,fro,PRE,PRE,,de,DMF,de,,,<l n=&quot;3&quot;>
18,4,2,3,"EpSEt, l. 3",saint,saint,SÆiNT,s.a.i.n.t,_,fro,ADJqua,ADJqua,smr,saint,DMF,saint,,,
19,4,3,3,"EpSEt, l. 3",esteure,estevre,EStèvrə,e.s.t.e.v.r.e,.,fro,NOMpro,NOMpro,smr,Étienne,DMF,Étienne,,,
20,4,4,3,"EpSEt, l. 3",lo,lo,Lo,l.o,+,fro,DETdet,DETdet,smr,le,DMF,le,,,
21,4,5,3,"EpSEt, l. 3",glorius,glorius,glorioS,g.l.o.r.i.u.s,_,fro,ADJqua,ADJqua,smr,glorieux,DMF,glorieux,,,
22,4,6,3,"EpSEt, l. 3",baru[n],barun,bArOn,b.a.r.u.n,.,fro,NOMcom,NOMcom,smr,baron,DMF,baron,,</l>,
23,5,1,4,"EpSEt, l. 4",escotet,escotet,ESkotèT,e.s.c.o.t.e.t,_,fro,VERcjg,VERcjg,imp---5,écouter,DMF,écouter,,,<l n=&quot;4&quot;>
24,5,2,4,"EpSEt, l. 4",la,la,LA,l.a,_,fro,PRCper,PRCper,3sfa,le,DMF,le,,,
25,5,3,4,"EpSEt, l. 4",par,par,pAr,p.a.r,_,fro,PRE,PRE,,par,DMF,par,,,
26,5,4,4,"EpSEt, l. 4",be[n]ne[n],bennen,bEnEn,b.e.nn.e.n,_,fro,ADJqua,ADJqua,sfr,bénin,DMF,bénin,,,
27,5,5,4,"EpSEt, l. 4",ente[n]ciu[n],entenciun,ENtENʦiOn,e.n.t.e.n.c.i.u.n,;|,fro,NOMcom,NOMcom,sfr,entention,DMF,entention,,</l>,
28,6,1,5,"EpSEt, l. 5",q[u]i,qui,ki,qu.i,_,fro,PRNrel,PRNrel,smn,qui,DMF,qui,,,<lb/><l n=&quot;5&quot;>
29,6,2,5,"EpSEt, l. 5",a,a,A,a,+,fro,PRE,PRE,,à,DMF,à,,,
30,6,3,5,"EpSEt, l. 5",ce,ce,ʦE,c.e,+,fro,DETdem,DETdem,smr,ce2,DMF,ce2,,,
