wd_id,line_id,line_wd,ref,dipl,word,wd_div,lang,pos,morph,lemma,lemma_src,lemma_dmf,phil_note,tei_right,tei_left
1,1,1,"PassAugs, l. 1",a,a,+,fro,PRE,,o,DMF,o,,,<text><body xml:lang=&quot;fro&quot;><pb/><lb/><lg n=&quot;1&quot; type=&quot;stanza&quot;><l n=&quot;1&quot;>
2,1,2,"PassAugs, l. 1",le,le,+,fro,DETdef,pfr,le,DMF,le,,,
3,1,3,"PassAugs, l. 1",spins,spins,_,fro,NOMcom,pfr,épine,DMF,épine,,,
4,1,4,"PassAugs, l. 1",batraunt,batraunt,_,fro,VERcjg,indfut6,battre,DMF,battre,,,
5,1,5,"PassAugs, l. 1",sos,sos,_,fro,DETpos,3smr,son4,DMF,son4,,,
6,1,6,"PassAugs, l. 1",caus,caus,_,fro,NOMcom,smr,chef,DMF,chef,,</l>,
7,2,1,"PassAugs, l. 2",et,et,+,fro,CONcoo,,et,DMF,et,,,<l n=&quot;2&quot;>
8,2,2,"PassAugs, l. 2",ab,ab,+,fro,PRE,,o,DMF,o,,,
9,2,3,"PassAugs, l. 2",es,es,_,fro,DETdef,pfr,le,DMF,le,,,
10,2,4,"PassAugs, l. 2",lan,lan,_,fro,NOMcom,pfr,lance,DMF,lance,lemma_Berschin81:262,,
11,2,5,"PassAugs, l. 2",staudiraunt,staudiraunt,_,fro,VERcjg,indfut6,estaudir,Berschin81,---,lemma_Berschin81:263,,
12,2,6,"PassAugs, l. 2",sos,sos,_,fro,DETpos,3smr,son4,DMF,son4,,,
13,2,7,"PassAugs, l. 2",lad,lad,_,fro,NOMcom,smr,lez,DMF,lez,,</l>,
14,3,1,"PassAugs, l. 3",[et],et,_,fro,CONcoo,,et,DMF,et,,,<l n=&quot;3&quot;>
15,3,2,"PassAugs, l. 3",en,en,+,fro,PRE,,en,DMF,en,,,
16,3,3,"PassAugs, l. 3",la,la,+,fro,DETdef,sfr,le,DMF,le,,,
17,3,4,"PassAugs, l. 3",crux,crux,_,fro,NOMcom,sfr,croix,DMF,croix,,,
18,3,5,"PassAugs, l. 3",l,l,+,fro,PRCper,3sma,le,DMF,le,,,
19,3,6,"PassAugs, l. 3",apenderaunt,apenderaunt,_,fro,VERcjg,indfut6,appendre,DMF,appendre,,</l>,
20,4,1,"PassAugs, l. 4",et,et,,fro,CONcoo,,et,DMF,et,,,<lg n=&quot;2&quot; type=&quot;stanza&quot;><l n=&quot;4&quot;> 
21,4,2,"PassAugs, l. 4",ob,ob,+,fro,PRE,,o,DMF,o,,,
22,4,3,"PassAugs, l. 4",l,l,+,fro,DETdef,smr,le,DMF,le,,,
23,4,4,"PassAugs, l. 4",aeid[=acid],acid,_,fro,NOMcom,smr,aisil,DMF,aisil,dipl_Berschin81:263,,
24,4,5,"PassAugs, l. 4",lo,lo,+,fro,PRCper,3sma,le,DMF,le,,,
25,4,6,"PassAugs, l. 4",potaraunt,potaraunt,_,fro,VERcjg,indfut6,poto,wiktionary,---,lemma_Berschin81:263,</l>,
26,5,1,"PassAugs, l. 5",si,si,_,fro,ADVgen,,si4,DMF,si4,,,<l n=&quot;5&quot;> 
27,5,2,"PassAugs, l. 5",greu,greu,_,fro,ADJqua,snn,grief2,DMF,grief2,,,
28,5,3,"PassAugs, l. 5",est,est,_,fro,VERcjg,indpst3,être,DMF,être,,,
29,5,4,"PassAugs, l. 5",a,a,+,fro,PRE,,à,DMF,à,,,
30,5,5,"PassAugs, l. 5",pærlær,paerlaer,_,fro,VERinf,,parler,DMF,parler,,</l>,
31,6,1,"PassAugs, l. 6",et,et,+,fro,CONcoo,,et,DMF,et,,,<l n=&quot;6&quot;> 
32,6,2,"PassAugs, l. 6",en,en,+,fro,PRE,,en,DMF,en,,,
33,6,3,"PassAugs, l. 6",la,la,+,fro,DETdef,sfr,le,DMF,le,,,
34,6,4,"PassAugs, l. 6",crux,crux,_,fro,NOMcom,sfr,croix,DMF,croix,,,
35,6,5,"PassAugs, l. 6",l,l,+,fro,PRCper,3sma,le,DMF,le,,,
36,6,6,"PassAugs, l. 6",apenderat[=apenderaunt],apenderaunt,|,fro,VERcjg,indfut6,appendre,DMF,appendre,,</l></lg></body></text>,
